ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,main_17
__chapter__,,Chapter Name,obt/main/level_main_tr28_end,无权责问
,,,,
char-1,普瑞赛斯,普瑞赛斯,普瑞赛斯,Прицесса
char-2,阿米娅,阿米娅,阿米娅,Амия
char-3,魔王,魔王,魔王,Король демонов
char-4,可露希尔,可露希尔,可露希尔,Клозер
char-5,Mon3tr,Mon3tr,Mon3tr,Mon3tr
char-6,华法琳,华法琳,华法琳,Варфарин
char-7,别乔克,别乔克,别乔克,Бечоке
char-8,憔悴的感染者,憔悴的感染者,憔悴的感染者,Измученный зараженный
char-9,？？？,？？？,？？？,???
char-10,阿洛伊泽,阿洛伊泽,阿洛伊泽,Алоиз
char-11,Raidian,Raidian,Raidian,Райдиан
char-12,坚雷,坚雷,坚雷,Дур-нар
char-13,赫拉格,赫拉格,赫拉格,Хеллаг
char-14,斯韦特兰纳,斯韦特兰纳,斯韦特兰纳,Светлана
char-15,卡特斯,卡特斯,卡特斯,Катас
char-16,利落的近侍,利落的近侍,利落的近侍,Помощник
char-17,希尔达,希尔达,希尔达,Хильда
char-18,隐约的声音,隐约的声音,隐约的声音,Тихий голос
char-19,愤怒的军官,愤怒的军官,愤怒的军官,Разгневанный офицер
char-20,坚定的军官,坚定的军官,坚定的军官,Стойкий офицер
,,,,
line-8,普瑞赛斯,一个没有痛苦的永恒之地......那是古老神话对未来的终极期许。,一个没有痛苦的永恒之地......那是古老神话对未来的终极期许。,Место вечности без страданий... таков главный идеал будущего в древних мифах.
line-9,普瑞赛斯,可是谁也没有料到，当我们的目光触及宇宙的边界时才发现，“未来”本身已经是奢求。,可是谁也没有料到，当我们的目光触及宇宙的边界时才发现，“未来”本身已经是奢求。,"Но никто и предположить не мог, что, коснувшись границ Вселенной, мы осознаем, что само «будущее» — это уже непозволительная роскошь."
line-10,普瑞赛斯,Dr.{@nickname}......现在的你，亲眼见证了这颗星球上满目疮痍的你——,Dr.{@nickname}......现在的你，亲眼见证了这颗星球上满目疮痍的你——,"Доктор {@nickname}... нынешний ты, воочию узревший все опустошение на этой планете —"
line-11,普瑞赛斯,到底还在期待什么样的未来？,到底还在期待什么样的未来？,на какое будущее ты всё еще надеешься?
line-23,普瑞赛斯,唉......,唉......,Ох...
line-25,普瑞赛斯,PRTS功能受限，PCS系统被彻底破坏，DWDB-221E也已经遗落......我们所能利用的手段已经不多了。,PRTS功能受限，PCS系统被彻底破坏，DWDB-221E也已经遗落......我们所能利用的手段已经不多了。,"Функционал PRTS ограничен, система PCS полностью разрушена, DWDB-221E тоже утерян... у нас осталось не так уж много способов что-либо предпринять."
line-26,普瑞赛斯,你们曾经预想过这样的结果吗？,你们曾经预想过这样的结果吗？,Вы когда-нибудь задумывались о таком исходе?
line-27,普瑞赛斯,弗里斯顿、艾德、陆......,弗里斯顿、艾德、陆......,"Фристон, Эд, Лу..."
line-29,普瑞赛斯,我怀念我们曾经共事的时光，我也的确期待过你们可以得出能够带来希望的答案。,我怀念我们曾经共事的时光，我也的确期待过你们可以得出能够带来希望的答案。,"Я скучаю по тем временам, когда мы работали вместе, и я действительно надеялась, что вы сможете найти ответ, который принесет надежду."
line-30,普瑞赛斯,只是很可惜，时间已经证明了你们的努力徒劳无果......虽然值得尊敬。,只是很可惜，时间已经证明了你们的努力徒劳无果......虽然值得尊敬。,"Увы, время доказало, что ваши усилия оказались тщетны... хотя они и заслуживают уважения."
line-31,普瑞赛斯,......我感到遗憾。,......我感到遗憾。,...Мне жаль.
line-33,普瑞赛斯,就让我最后再借用一下你们的遗产吧。也许你们直到最后也不全然认同我所设计的未来，但至少，我们还可以拥有一个“未来”。,就让我最后再借用一下你们的遗产吧。也许你们直到最后也不全然认同我所设计的未来，但至少，我们还可以拥有一个“未来”。,"Позвольте мне в последний раз воспользоваться вашим наследием. Возможно, вы до самого конца не одобряли созданное мной будущее, но, по крайней мере, у нас всё еще может быть «будущее»."
line-34,普瑞赛斯,也许，我们会在未来再见的。,也许，我们会在未来再见的。,"Возможно, мы еще увидимся в будущем."
line-42,,“天堂支点”中枢网络接入中......,“天堂支点”中枢网络接入中......,Подключение к центральной сети «Точки опоры рая»...
line-43,,管理权限ID：,管理权限ID：,ID прав доступа:
line-44,,......,......,...
line-45,,......,......,...
line-46,,......,......,...
line-47,,AMa-10,AMa-10,AMa-10
line-54,,<p=1>罗德岛新基地，干员宿舍</><p=2>1101年12月初</>,<p=1>罗德岛新基地，干员宿舍</><p=2>1101年12月初</>,"Новая база «Родос», общежитие операторов. Начало декабря 1101 года."
line-60,阿米娅,......,......,...
line-62,,夜已经深了。,夜已经深了。,Ночь уже глубока.
line-63,,阿米娅默然坐在床沿，她无法入睡。,阿米娅默然坐在床沿，她无法入睡。,Амия молча сидела на краю кровати. Она не могла уснуть.
line-64,,房间是新的，空气也很干净。,房间是新的，空气也很干净。,"Комната была новой, и воздух был чистым."
line-65,,这方狭小的空间几乎原封不动地保留了原本的布局，阿米娅完全不用改变过去每一个无意识积累下来的小习惯。,这方狭小的空间几乎原封不动地保留了原本的布局，阿米娅完全不用改变过去每一个无意识积累下来的小习惯。,"Это маленькое пространство практически полностью копировало прежнюю планировку, так что Амии не нужно было избавляться от старых привычек, выработанных бессознательно."
line-66,,可是自从阿米娅搬入这里后，她还从来没有睡过一个好觉。,可是自从阿米娅搬入这里后，她还从来没有睡过一个好觉。,"Но с тех пор, как Амия въехала сюда, она еще ни разу нормально не выспалась."
line-67,,一声轻微的叹息。,一声轻微的叹息。,Тихий вздох.
line-68,魔王,阿米娅......,阿米娅......,Амия...
line-70,阿米娅,特蕾西娅小姐？不，我没有在呼唤您......,特蕾西娅小姐？不，我没有在呼唤您......,"Леди Тереза? Нет, я не звала вас..."
line-77,阿米娅,......您......您还是，听到了？,......您......您还是，听到了？,...Вы... вы всё-таки... услышали?
line-79,魔王,阿米娅，我就住在你的意识里，你没有必要对自己说谎呀。,阿米娅，我就住在你的意识里，你没有必要对自己说谎呀。,"Амия, я живу в твоем сознании, тебе незачем лгать самой себе."
line-81,阿米娅,我......,我......,Я...
line-83,魔王,现在已经很晚了，你不应该睡觉吗？,现在已经很晚了，你不应该睡觉吗？,"Уже очень поздно, не пора ли тебе поспать?"
line-85,阿米娅,Mon3tr、可露希尔小姐......她们正在做带回凯尔希医生最后的理论实验。,Mon3tr、可露希尔小姐......她们正在做带回凯尔希医生最后的理论实验。,"Mon3tr, мисс Клозер... они сейчас проводят финальный теоретический эксперимент, чтобы вернуть доктора Кель'си."
line-86,阿米娅,我没办法直接帮上什么忙，可我也做不到就这样去休息......虽然我答应过博士要休息的。,我没办法直接帮上什么忙，可我也做不到就这样去休息......虽然我答应过博士要休息的。,"Я не могу ничем помочь напрямую, но и просто пойти отдыхать я не в силах... хотя я обещала доктору, что отдохну."
line-88,阿米娅,可是......,可是......,Но...
line-90,魔王,阿米娅，如果你想要倾诉的话，我一直都在。,阿米娅，如果你想要倾诉的话，我一直都在。,"Амия, если тебе хочется выговориться, я всегда рядом."
line-92,阿米娅,我知道，为了把凯尔希医生带回来，大家每个人都拼尽全力了，我也应该坚定的。,我知道，为了把凯尔希医生带回来，大家每个人都拼尽全力了，我也应该坚定的。,"Я знаю, каждый выложился на полную, чтобы вернуть доктора Кель'си, и я тоже должна быть стойкой."
line-93,阿米娅,这种感受真的很奇怪......那一天意外发生的时候，我以为我们真的永远失去凯尔希医生了。,这种感受真的很奇怪......那一天意外发生的时候，我以为我们真的永远失去凯尔希医生了。,"Это странное чувство... В тот день, когда произошел инцидент, я думала, что мы навсегда потеряли доктора Кель'си."
line-94,阿米娅,可是后来Mon3tr小姐出现了，她告诉我们，还有带回凯尔希医生的可能，还有一点希望......,可是后来Mon3tr小姐出现了，她告诉我们，还有带回凯尔希医生的可能，还有一点希望......,"Но потом появилась Mon3tr и сказала нам, что есть шанс вернуть доктора Кель'си, что еще теплится надежда..."
line-96,阿米娅,这种感觉就像......我第一次在伦蒂尼姆的废墟中见到......特蕾西娅小姐。,这种感觉就像......我第一次在伦蒂尼姆的废墟中见到......特蕾西娅小姐。,"Это чувство такое же, как... когда я впервые встретила... леди Терезу в руинах Лондиниума."
line-98,阿米娅,我还记得很清楚，那个时候自己心里的感受，绝对不是喜悦......,我还记得很清楚，那个时候自己心里的感受，绝对不是喜悦......,"Я хорошо помню, что чувствовала тогда, и это точно была не радость..."
line-99,阿米娅,对不起......特蕾西娅小姐......,对不起......特蕾西娅小姐......,Простите меня... леди Тереза...
line-101,魔王,没关系的，阿米娅。,没关系的，阿米娅。,"Ничего страшного, Амия."
line-103,魔王,我们已经与特蕾西娅好好告别过了，不是吗？,我们已经与特蕾西娅好好告别过了，不是吗？,"Мы ведь уже достойно попрощались с Терезой, разве не так?"
line-105,阿米娅,嗯......,嗯......,Да...
line-107,阿米娅,我不确定，也不敢相信......假使我们真的“带回”了凯尔希医生，那个回来的人，还是凯尔希医生吗？,我不确定，也不敢相信......假使我们真的“带回”了凯尔希医生，那个回来的人，还是凯尔希医生吗？,"Я не уверена, я боюсь даже верить... Если мы правда «вернем» доктора Кель'си, будет ли это всё еще она?"
line-109,魔王,阿米娅，你应该知道，凯尔希是与众不同的。,阿米娅，你应该知道，凯尔希是与众不同的。,"Амия, ты должна знать, что Кель'си уникальна."
line-110,魔王,Mon3tr也说过，这样的事情之前也在凯尔希身上发生过。,Mon3tr也说过，这样的事情之前也在凯尔希身上发生过。,"Mon3tr тоже говорила, что подобное уже случалось с Кель'си раньше."
line-112,魔王,也许我们认为的奇迹，真的有可能存在呢？,也许我们认为的奇迹，真的有可能存在呢？,"Может быть, чудо, в которое мы верим, действительно возможно?"
line-114,阿米娅,可是这么久以来，凯尔希医生一直像我的亲人一样，我没有办法想象她与我们有什么区别。,可是这么久以来，凯尔希医生一直像我的亲人一样，我没有办法想象她与我们有什么区别。,"Но всё это время доктор Кель'си была мне как родная, я не могу представить, что она чем-то отличается от нас."
line-116,阿米娅,特蕾西娅小姐，您能不能再跟我讲讲，在更早的时候，您和凯尔希医生的故事？,特蕾西娅小姐，您能不能再跟我讲讲，在更早的时候，您和凯尔希医生的故事？,"Леди Тереза, не могли бы вы рассказать мне еще о том, что происходило раньше, о вашей истории с доктором Кель'си?"
line-117,阿米娅,我想知道，特蕾西娅小姐眼中的凯尔希医生，又是什么样的人呢......,我想知道，特蕾西娅小姐眼中的凯尔希医生，又是什么样的人呢......,"Я хочу знать, каким человеком видел доктор Кель'си в глазах леди Терезы..."
