ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,naoshka_v
__language__,,Language,en_US,ru_RU
char-1,格拉尼,格拉尼,Grani,Грани
char-2,赏金猎人,赏金猎人,Bounty Hunter,Охотник за головами
char-3,斯卡蒂,斯卡蒂,Skadi,Скади
char-4,粗暴的赏金猎人,粗暴的赏金猎人,Violent Bounty Hunter,Жестокий охотник за головами
char-5,？？？,？？？,???,???
,,,,
line-9,格拉尼,呃......！,Gah...!,Ха...!
line-11,赏金猎人,你，你这个碍事的混蛋小子！,You... You meddling brat!,Ты... Надоедливый мальчишка!
line-12,赏金猎人,都、都头破血流成这样了，还敢在这挡我们的好事——！,"Your head's practically split open, just do what's good for you and get out of our way!","Весь истекаешь кровью, но всё продолжаешь мешать нам...!"
line-14,格拉尼,区区这点伤，连日常训练都算不上！,"Heh, this is nothing. I've been through worse in my daily training!","Хех, это ерунда. На моих ежедневных тренировках бывало и похуже!"
line-26,赏金猎人,咕——,Guh—,Гх—
line-28,格拉尼,还剩多少人？,How many of them are left...?,Сколько их ещё...?
line-29,格拉尼,算了，记不清了，反正已经全都挡住——,"Forget it, I lost track. As long as they don't make it inside...","Неважно, я уже давно потеряла счёт. До тех пор пока они не прорвутся внутрь..."
line-43,格拉尼,发、发生地震了？,E-Earthquake?,З-землетрясение?
line-50,格拉尼,欸？那边的山岩怎么崩塌了？,Huh? Is that an avalanche over there? Why though?,А? Неужели случился обвал? Но почему?
line-60,斯卡蒂,......,...,...
line-66,格拉尼,骗人的吧？她居然打破了那么厚的石壁？,You've gotta be kidding... She can even smash through a stone wall that thick?,Да вы шутите... Она пробила каменную стену такой толщины?
line-72,赏金猎人,入口被打开了一条新的路！赶紧进去！,"A new entrance opened up over there! Hurry, let's go in there!",С той стороны открылся новый проход! Бежим туда!
line-77,格拉尼,糟了，那些人一定会从斯卡蒂打出的通道涌进来！,"Damn it, those guys are definitely going to swarm in through that new passageway Skadi just created!","Чёрт побери, эти парни теперь хлынут через новый проход, который проделала Скади!"
line-78,格拉尼,得赶快去帮可——,I have to find Carol—,Нужно найти Кэрол—
line-80,斯卡蒂,站住。,Stop right there.,"Стой, где стоишь."
line-82,格拉尼,斯卡蒂——,Skadi...,Скади...
line-89,格拉尼,......,...,...
line-90,格拉尼,居然能直接破坏山体，强行穿过去，罗德岛的异闻果然是真的啊。,Unbelievable... Not even a mountain can stand in her way. Those rumors really were true.,Невероятно... Ей даже горы не преграда. Слухи действительно не врали.
line-92,斯卡蒂,那个女孩在哪？,Where's the girl?,Где девушка?
line-94,格拉尼,我不能告诉你。,I'm not telling you.,Не скажу.
line-96,斯卡蒂,盯上那东西的人不止我一个。,I'm not the only one after that... thing.,Не я одна охочусь за... той вещицей.
line-97,斯卡蒂,难道我非要把你好好教训一顿，你才不会碍事？,You ought to cooperate before I'm forced to do things the hard way.,"Мне преподать тебе урок, чтобы ты не мешала?"
line-99,格拉尼,你突然就要带走可萝尔，我怎么也不能轻易把她交给你啊！,I can't just hand Carol over to you if you don't tell me what's going on!,"Я не могу просто передать тебе Кэрол, даже не зная причину!"
line-101,斯卡蒂,你要......阻碍罗德岛的任务？,So... you intend to impede a mission from Rhodes Island?,Тогда... Ты собираешься помешать миссии от Родос Айленд?
line-103,格拉尼,你也没告诉我罗德岛给你分配了什么任务啊！,What mission? You didn't even tell me anything about that!,Какой миссии? Ты мне об этом ничего не говорила!
line-104,格拉尼,除非你......,Unless you...,Или ты...
line-111,格拉尼,不要突然攻击同伴啊！,"Hey, don't just start swinging at your comrades!","Эй, не маши оружием на своего товарища!"
line-113,斯卡蒂,谁是你的同伴？,I'm not your comrade.,Я тебе не товарищ.
line-114,斯卡蒂,我最后一次问，带我去见那个女孩。,This is your last chance. Take me to see that girl.,Это твой последний шанс. Приведи меня к той девушке.
line-116,格拉尼,只要她还是我的委托人，我就绝不会这么做。,No chance in hell. My mission is to keep her safe.,Ни в коем случае. Моя миссия – обеспечить её безопасность.
line-118,斯卡蒂,......,...,...
line-131,格拉尼,呜呃......,Aaaaghh...,Аааагх...
line-132,格拉尼,可恶，她只是用剑随手碰了下我的枪而已啊，可我的胳膊好像要断了......,"Damn... All she did was tap her sword against my lance, but it feels like my arm is about to snap...","Чёрт... Она только ударила мечом о моё копьё, а мои руки будто вот-вот сломаются..."
line-134,斯卡蒂,只凭你这种能力，你真的认为自己保护得了她？,Do you think you can really protect her with abilities of this caliber?,"Думаешь, сможешь защитить её со способностями такого уровня?"
line-136,格拉尼,能不能做到，和去不去做是两回事！,Whether or not I can... has nothing to do with whether or not I will!,"Могу или нет... не повлияет на то, сделаю я это или нет!"
line-138,斯卡蒂,————,...,...
line-141,格拉尼,嗯？先等等！,Huh? Wait a second!,А? Подожди секунду!
line-142,格拉尼,小心！,Watch out!,Берегись!
line-155,赏金猎人,嘁，这下总该打中了吧！,"Tch, that ought to have done the trick!","Тч, этого должно хватить!"
line-157,粗暴的赏金猎人,好像有，不对，好像没有！那家伙还好好的！,"Yeah, we... no, we didn't get her?! She's still unscathed!","Да, мы... нет, мы не попали в неё?! На ней ни царапины!"
line-161,斯卡蒂,......又来？,...You again?,...Опять вы?
line-163,赏金猎人,呃......！,Gah...!,Гах...!
line-165,粗暴的赏金猎人,灾、灾星！把上尉打伤的，就是你吧！你今天就别想从这里——,The l-living Catastrophe! You're the one who hurt the captain! We can't let you leave alive—,Ж-живая Катастрофа! Это ты ранила капитана! Мы не позволим тебе уйти живой—
line-167,格拉尼,好机会，趁现在！,Now's my chance!,Это мой шанс!
line-169,赏金猎人,你也别想过去！,Don't you even think about it!,Даже не думай об этом!
line-171,格拉尼,你们还是想想办法先拦住她吧！,You guys really should worry about holding her back first!,"Вам, ребята, сейчас стоит волноваться о том, как удержать её!"
line-179,赏金猎人,——咦？,...Huh?,...Ха?
line-180,赏金猎人,什么情况？！那个小个子，从我们头上跳过去了？,What just happened?! That kid just vaulted over our heads?,Что это только что было?! Эта малявка перепрыгнула через наши головы?
line-182,格拉尼,斯卡蒂，我先走一步了！,"See you later, Skadi!","Увидимся, Скади!"
line-184,斯卡蒂,你......,You...,Ты...
line-186,格拉尼,不好意思！等你想清楚，准备告诉我事实了，我再考虑可萝尔的事！,"Sorry! When you're ready to explain to me what's going on, maybe then we can talk about Carol!","Прости! Когда будешь готова объяснить мне, что происходит, может быть мы поговорим о Кэрол!"
line-188,斯卡蒂,站住，你去哪里！,"Stop, get back here!","Стой, вернись сюда!"
line-190,格拉尼,抱歉！,Sorry again!,Ещё раз прости!
line-193,粗暴的赏金猎人,你怎么就放她走了！,How could you just let her go like that?!,Как вы могли так просто дать ей уйти?!
line-195,赏金猎人,她跑得太快了，我们追不上她啊！,She's too fast for us to catch!,Она слишком быстрая!
line-197,斯卡蒂,......,...,...
line-199,粗暴的赏金猎人,没事，这不是还有一个吗。,"Whatever, let's just deal with this one first.","Неважно, давайте сначала разберёмся с этой."
line-200,粗暴的赏金猎人,你个子那么大，不可能也跳过去吧？,"With how much bigger you are, I bet you can't leap over us.","Учитывая насколько ты больше, спорю, ты не сможешь нас так легко перепрыгнуть."
line-202,斯卡蒂,你们完蛋了。,...You're all dead.,...Вам всем конец.
