ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
char-1,近卫干员,近卫干员,Guard,Гвардеец
char-2,整合运动成员,整合运动成员,Reunion Member,Участник Воссоединения
char-3,阿米娅,阿米娅,Amiya,Амия
char-4,？？？,？？？,???,???
char-5,杜宾,杜宾,Dobermann,Доберман
char-6,医疗干员,医疗干员,Medic,Медик
char-7,PRTS,PRTS,PRTS,PRTS
,,,,
line-5,近卫干员,最后一个！,This is the last one!,Последний!
line-11,整合运动成员,呃啊！,Ugh!,А-а-ах!
line-18,近卫干员,剩余目标已清除。敌方小队溃退了！,Target eliminated. The enemy squad is retreating!,Оставшиеся цели уничтожены. Вражеский отряд отступил!
line-19,近卫干员,......Dr.{@nickname}的指挥确实和阿米娅说的一样，让人放心。,"Dr. {@nickname}'s commands were perfect, just like Amiya said. How reassuring!","...Командование Доктора {@nickname} и вправду такое надёжное, как и говорила Амия."
line-21,阿米娅,是吧，轻轻松松吧？,"See, that wasn't too bad, right?","Видите? Проще простого, верно?"
line-22,阿米娅,博士曾经经历的，可不只是这种程度的战斗。,"Doctor, compared to everything you've been through, this is a walk in the park.","Сражения, через которые раньше проходил Доктор, были куда серьёзнее этого."
line-28,整合运动成员,咳......怎么会出现......乌萨斯人以外的阻碍......,*cough*...Why are you here... You're not from Ursus...,Кха... Откуда... взялась помеха... кроме людей Урсуса...
line-29,整合运动成员,不会......让你们阻挠我们的事业！,We won't... let you get in the way of our duties!,Мы не... позволим вам помешать нашему делу!
line-38,？？？,别想得逞！,Don't even think about it!,И не надейтесь!
line-40,近卫干员,杜，杜宾教官！,Instructor!,Ин-инструктор Доберман!
line-42,杜宾,你在发什么呆！差一点，你就要被打成筛子了！,What are you spacing out for? You almost got yourself killed!,О чём ты только думал! Тебя чуть в решето не превратили!
line-44,近卫干员,对，对不起！,I'm... I'm sorry!,П-простите!
line-46,杜宾,快！重整队形！,Quick! Get back into formation!,Живо! Перегруппироваться!
line-48,近卫干员,是！,Yessir!,Есть!
line-50,阿米娅,杜宾！你来了！,Dobermann! You made it!,Доберман! Ты пришла!
line-52,杜宾,情况紧急。我的小组也遭到了攻击，敌人同样是整合运动。,It's an emergency. My team was attacked by Reunion as well.,"Ситуация критическая. Мой отряд тоже подвергся нападению, и враг — тоже Воссоединение."
line-53,杜宾,所以我才立刻赶过来跟你们汇合。,I rushed over to join you as soon as I could.,"Поэтому я немедленно поспешила сюда, чтобы объединиться с вами."
line-55,阿米娅,整合运动为什么会攻击我们......？,Why would Reunion attack us...?,Почему Воссоединение напало на нас...?
line-57,杜宾,一个感染者权益组织......本来我觉得他们只是有点盲目激进————,An organization made up of the Infected... I've always thought they were a bit extreme...,"Организация по защите прав заражённых... Раньше я думала, что они просто слепо радикальны..."
line-58,杜宾,————现在居然开始使用暴力，还是在乌萨斯的城市？真是自寻死路。,"...and now they've resorted to violence, and in an Ursus city no less? That's a death wish.","...но теперь они прибегли к насилию, да ещё и в городе Урсуса? Это чистое самоубийство."
line-59,杜宾,接下来，这里只会变得更加混乱。,The situation is only going to get more chaotic from here on out.,Дальше здесь станет только хаотичнее.
line-60,杜宾,阿米娅，我们必须立刻撤离切尔诺伯格。,"Amiya, we need to leave Chernobog right now.","Амия, мы должны немедленно покинуть Чернобог."
line-62,阿米娅,好的。我们已经成功救出博士，之后按照计划撤退就可以了。,"Okay. We've already rescued the Doctor, so we can retreat according to plan.","Хорошо. Мы успешно спасли Доктора, теперь осталось только отступить по плану."
line-65,杜宾,——这位就是Dr.{@nickname}？,...And this is Dr. {@nickname}?,"— Значит, это и есть Доктор {@nickname}?"
line-67,阿米娅,是，是的。,Yes.,Д-да.
line-69,杜宾,Dr.{@nickname}，你可能不认识我，但你认识阿米娅，为了你的安全着想——,"Dr. {@nickname}, you probably don't know who I am, but you know Amiya. For your safety...","Доктор {@nickname}, возможно, вы меня не помните, но вы знаете Амию. Ради вашей же безопасности—"
line-71,阿米娅,不不......,"No, no...",Нет-нет...
line-72,阿米娅,唔，杜宾，博士目前的状态并不是很好。,"Um, Dobermann, Doctor isn't doing very well right now.","М-м, Доберман, Доктор сейчас не в лучшем состоянии."
line-73,阿米娅,简单地说，博士......失忆了。,"To put it simply, Doctor... has amnesia.",Проще говоря... Доктор потерял память.
line-75,杜宾,失忆？,Amnesia?,Потерял память?
line-76,杜宾,......这怎么办？你还准备将指挥权交给这个......,...What are you going to do now? Weren't you planning to transfer leadership to—,...И что теперь? Ты всё ещё собираешься передать командование этому...?
line-78,阿米娅,博士依然有能力指挥小队。,Doctor still has the capacity to command.,Доктор всё ещё способен командовать отрядом.
line-79,阿米娅,......至少，在刚才的战斗中，我已经确认了。,"...At least, I've confirmed that from the previous battle.","...По крайней мере, в недавнем бою я в этом убедилась."
line-81,杜宾,......,...,...
line-82,杜宾,我还是不能这么简单就相信一个陌生人。,I can't bring myself to trust a stranger so easily.,Я всё ещё не могу так просто доверять незнакомцу.
line-83,杜宾,但我相信你，阿米娅。,"But I trust you, Amiya.","Но я верю тебе, Амия."
line-85,阿米娅,......我知道了。,...I understand.,...Я поняла.
line-87,杜宾,Dr.{@nickname}， 我是行动组E1组长，杜宾。,"Dr. {@nickname}, I am Dobermann, captain of Op Team E1.","Доктор {@nickname}, я Доберман, командир оперативной группы E1."
line-88,杜宾,我们将把你从这座乌萨斯的城市——切尔诺伯格，护送到罗德岛。,"We are going to escort you from Chernobog, which is the Ursus city we're currently in, back to Rhodes Island.",Мы сопроводим вас из этого города Урсуса — Чернобога — до самого Родоса.
line-93,杜宾,身处切尔诺伯格城的核心区废弃设施，现在的我们理应向西撤退。,We're in an abandoned facility in Chernobog and should now head west.,Мы находимся в заброшенном комплексе в центральном районе Чернобога. Сейчас нам следует отступать на запад.
line-96,阿米娅,但......和凯尔希医生通讯中断时，我和杜宾教官都需要先带领着各自的小组，去西边的集结地汇合然后确认撤出信号。,"But... since we're cut off from Dr. Kal'tsit, Dobermann and I have lead our separate teams westward to a rendezvous point before confirming our signal to retreat.","Но... когда связь с доктором Кальцит прервалась, и мне, и инструктору Доберман нужно было сначала привести свои группы к месту сбора на западе, а затем подтвердить сигнал к отступлению."
line-97,阿米娅,按照计划，原本是这样的......,"That is, assuming everything goes according to plan.",Таков был изначальный план...
line-98,杜宾,如果能这么顺利就好了。,It'd be nice if things went that smoothly.,Если бы только всё прошло так гладко.
line-99,杜宾,今天是我们从石棺救走你的最后机会，Dr.{@nickname}。,"Today is our last opportunity to get you out of here, Dr. {@nickname}.","Сегодня был наш последний шанс вызволить вас из Саркофага, Доктор {@nickname}."
line-100,杜宾,只是......我总有种不祥的预感。,But... I have a bad feeling about this.,Только вот... у меня нехорошее предчувствие.
line-107,医疗干员,阿，阿米娅！,A-Amiya!,А-Амия!
line-109,阿米娅,怎么了?,What's the matter?,Что случилось?
line-111,医疗干员,是......是来自罗德岛的对话请求！,It's... it's a call from Rhodes Island!,Это... это запрос на связь с Родоса!
line-113,阿米娅,通讯接上了吗！难道说，是凯尔希医......,Are our communications back on? Is it Dr. Kal'tsit...?,Связь установлена?! Неужели это доктор Кальц...
line-116,？？？,很抱歉，并不是。,"Sorry, but not quite.","К сожалению, нет."
line-121,阿米娅,PRTS......？,PRTS...?,PRTS...?
line-123,PRTS,应急神经连接请求被意外触发了。,The Emergency Neural Connection Request System was activated.,Был случайно активирован запрос на экстренное нейронное соединение.
line-124,PRTS,罗德岛号方面也受到干扰，只有神经连接可以勉强进行。,"Interference has also been detected from Rhodes Island's end, and only partial Neural Network connection is possible.",На стороне наземного судна Rhodes Island также наблюдаются помехи. Возможно только нейронное соединение.
line-125,PRTS,无法用电波通讯联系到尚未回到罗德岛的凯尔希。,"Currently unable to establish communication with Kal'tsit, who has yet to return to Rhodes Island.","Не удаётся связаться по радио с Кальцит, которая ещё не вернулась на Родос."
line-126,PRTS,已经确认过阿米娅您的安全，那么我的任务就已经完成了。,"Your safety is confirmed; therefore, my mission is now complete.","Ваша безопасность, Амия, подтверждена. На этом моя миссия завершена."
line-128,杜宾,这东西......,This piece of...,Эта штука...
line-129,杜宾,现在真的是时候吗？,Do we really have time for this...?,Сейчас и вправду подходящее время?
line-131,PRTS,不需要使用您的神经连接操作罗德岛的话，我将在稍后断开连接。,"If you do not need to connect to Rhodes Island, communication will be severed momentarily.","Если вам не требуется нейронное соединение для управления системами Родоса, я отключусь через некоторое время."
line-132,PRTS,如果打扰到了您的派对，万分抱歉。,I am sincerely sorry for having interrupted your party.,"Приношу глубочайшие извинения, если прервала вашу вечеринку."
line-134,阿米娅,不不！别挂断......我需要你帮个忙。,"Wait, wait! Don't hang up, I need your help still.",Нет-нет! Не отключайся... Мне нужна твоя помощь.
line-135,阿米娅,杜宾，博士需要这些帮助。,"Dobermann, Doctor still needs some assistance.","Доберман, Доктору нужна эта помощь."
line-137,杜宾,了解了，抓紧时间。,"I know, but make it quick.","Поняла, поторапливайся."
line-139,阿米娅,博士，PRTS也是我们的......同伴，它会指导你下一步的动作。,"Doctor, PRTS is also one of our... partners. It will show you what to do next.","Доктор, PRTS — тоже наш... союзник. Она подскажет вам, что делать дальше."
line-140,阿米娅,虽然时间很紧张，但现在，我要为你重新连接至罗德岛的后勤系统。,"Time is of the essence, so I'm going to reconnect you to the Rhodes Island backup system.","Хоть времени и в обрез, сейчас я заново подключу вас к системе логистики Родоса."
line-141,阿米娅,"这样在我们作战的时候，你也能利用它为我们取得优势。 ","This way, we'll have an edge in battle. ","Так вы сможете использовать её, чтобы дать нам преимущество во время боя."
line-142,阿米娅,可能会很难习惯，和说话不太一样，但只要好好使用，就一定能使整个救援作战更加顺利，所以请你......,"It's different from giving verbal commands and might be a bit hard to get used to, but once you learn how to use it, the entire operation will be much smoother.","К этому может быть трудно привыкнуть, это не совсем то же самое, что разговор, но при должном использовании это определённо поможет операции по спасению пройти гладко. Поэтому, пожалуйста..."
line-143,阿米娅,......相信我吧。按你想要的那样，按你熟悉的那样......,...Please trust me. Just like how you used to.,"...Доверьтесь мне. Сделайте так, как считаете нужным, как вам привычно..."
line-144,阿米娅,PRTS......开始吧。,PRTS... Let's start.,PRTS... Начинай.
line-146,PRTS,需要确认管理员身份，请选择识别方式。,Identity verification required. Select verification method.,"Требуется подтверждение личности администратора. Пожалуйста, выберите метод идентификации."
line-148,阿米娅,啊，博士......请你说句话。,"Ah, Doctor... Please say something.","А, Доктор... Пожалуйста, скажите что-нибудь."
line-149,,（说话）,(Speak),(Сказать что-нибудь)
