ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,ilarhion
__language__,,Language,en_US,ru_RU
char-1,简妮,简妮,Janie,Дженни
char-2,干员奥利弗,干员奥利弗,Operator Oliver,Оператор Оливер
char-3,干员碎纸机,干员碎纸机,Operator Shredder,Оператор Шреддер
char-4,干员威尔,干员威尔,Operator Will,Оператор Вилл
char-5,焦急的孩子A,焦急的孩子A,Anxious Child A,Взволнованный ребенок А
char-6,克雷格,克雷格,Craig,Крейг
char-7,？？？,？？？,???,???
char-8,Outcast,Outcast,Outcast,Ауткаст
char-9,干员弗雷德,干员弗雷德,Operator Fred,Оператор Фред
,,,,
line-9,,7:11 A.M. 天气/阴,7:11 A.M. \ Overcast,07:11. Погода: Облачно
line-10,,罗德岛驻小丘郡办事处,Rhodes Island County Hillock Branch Office,Офис Родос Айленда в графстве Хиллок
line-20,简妮,大家早上好！今天天气真不错，你说是不是呀，奥利弗叔叔？,"Morning, everyone! The weather's not bad at all today, wouldn't you say, Uncle Oliver?","Всем доброго утра! Сегодня отличная погода, не правда ли, дядя Оливер?"
line-22,干员奥利弗,是你啊，我就说，还有谁会一大早来这里敲门呢？不过啊，今天明明是个阴天，哪来的天气不错？,"Oh, it's you. I was just asking, who else could it be knocking at the crack of dawn? But it's a gloomy day today no matter where you look. What's to appreciate?","А, это ты. Я-то думал, кто это стучится в дверь спозаранку? Но сегодня ведь пасмурно, с чего ты взяла, что погода хорошая?"
line-24,简妮,只要不下雨，都是好天气。这可是在小丘郡。再说了，您怎么知道过一会不会转晴呢？,"Any time it's not raining is good weather. That's what you get in County Hillock. For that matter, how do you know the day's not going to turn clear skies?","Пока нет дождя — любая погода хорошая. Мы же в графстве Хиллок. К тому же, откуда вам знать, вдруг скоро прояснится?"
line-26,干员奥利弗,行吧，说不过你。碎纸机，你也别磨磨蹭蹭的了，并没有客户上门，只是天天偷懒的小简妮而已。,"Fine, you've got me there. Shredder, you stop dilly-dallying. We haven't got anyone dropping in, it's just Janie, daily ditcher.","Ладно, тебя не переспоришь. Шреддер, кончай возиться. Клиентов нет, это просто малышка Дженни опять отлынивает от службы."
line-28,简妮,瞧您说的。碎纸机大哥，你也一起过来吧。,"You're one to talk. Shredder, you come over here with us.","Ну что вы такое говорите. Братец Шреддер, иди тоже сюда."
