ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act7mini
__chapter__,,Chapter Name,activities/act7mini/level_act7mini_st05,异类
,,,,
char-1,贵族侍从,贵族侍从,Noble Attendant,Прислужник дворянина
char-2,卡涅利安,卡涅利安,Carnelian,Карнелиан
char-3,少女,少女,Girl,Девушка
char-4,？？？,？？？,???,???
char-5,卫兵A,卫兵A,Guard A,Стражник А
char-6,卫兵B,卫兵B,Guard B,Стражник Б
char-7,莱塔尼亚术师,莱塔尼亚术师,Leithanian Caster,Маг Лейтании
char-8,罗德岛干员,罗德岛干员,Rhodes Island Operator,Оперативник Родоса
,,,,
line-9,贵族侍从,请您在此稍作等待，相关合约稍后将有专人送上。,Please wait here for a moment. We'll have someone bring you the contract.,"Пожалуйста, подождите здесь, соответствующие контракты будут доставлены вам позже."
line-10,贵族侍从,关于这次合作的相关细节都整理在这里了，还请您带回，令伯爵大人过目。,All the fine points of this collaboration are detailed in here. Please bring it back and have the Count read it over.,"Все детали нашего сотрудничества изложены здесь. Прошу, возьмите их с собой, чтобы граф мог ознакомиться."
line-11,贵族侍从,如果您还有任何问题，随时可以向在下提出......卡涅利安小姐？您在听吗？,"If you have any other questions, please feel free to ask... Miss Carnelian? Are you listening?","Если у вас возникнут вопросы, вы можете в любой момент обратиться ко мне... Госпожа Карнелиан? Вы слушаете?"
line-15,卡涅利安,嗯？,Hmm?,М-м?
line-17,卡涅利安,啊......抱歉，一时有点走神。,"Oh... Sorry, I spaced out a little.","Ах... прошу прощения, немного отвлеклась."
line-19,贵族侍从,......,......,...
line-20,贵族侍从,那么关于这次的合作，请问，您还有任何疑问吗？,"So, as I was saying, do you have any questions about this collaboration?","Так вот, насчёт этого сотрудничества... остались ли у вас какие-либо вопросы?"
line-22,卡涅利安,暂时没什么问题，我会带给霍恩洛厄大人，一切都将由伯爵本人定夺。,Not for the moment. I will bring this back to Count Hohenlohe so that he may make his decision.,"Пока что вопросов нет. Я передам всё лорду Хоэнлоэ, и окончательное решение останется за самим графом."
line-24,贵族侍从,这太好了。相信伯爵大人会做出令我们双方受益的决断。,Wonderful. I look forward to the Count arriving at a decision that will benefit us both.,"Это прекрасно. Верю, что граф примет решение, выгодное для обеих сторон."
line-25,贵族侍从,您接下来便要回程了？若没有什么其他安排，费尔巴哈大人命我送您......,"Are you leaving already? If you have no other plans, Sir Feuerbach told me to accompany...","Вы уже собираетесь в обратный путь? Если у вас нет других планов, лорд Файербах велел мне проводить вас..."
line-27,卡涅利安,送就不必了，还请替我向爵士转达感激之情，感谢他的慷慨。,You needn't worry. Do let Sir Feuerbach know how thankful I am for his generosity.,"Провожать не нужно. Пожалуйста, передайте сэру мою признательность за его щедрость."
line-28,卡涅利安,难得来一趟，之后我还会在城里逛逛，参观一下。,"Since I am here, I will take a stroll around the city to see the sights.","Раз уж я выбралась сюда, то немного прогуляюсь по городу, посмотрю окрестности."
line-30,贵族侍从,啊，那么需要为您派一位向导吗？我这就吩咐下去。,"Ah, would you like a guide, then? I can arrange for one right away.","О, тогда не хотите ли вы взять проводника? Я сейчас же распоряжусь."
line-32,卡涅利安,不劳您费心。我自己随意转转就好。,Please don't worry yourself. I will just be strolling about.,Не утруждайте себя. Я предпочту походить одна.
line-33,卡涅利安,......说起来，前一次合作时也是由我代表伯爵前来拜访，那还是上一回女皇们宫廷设宴之前吧？,"Oh, this reminds me... I visited before when I represented the Count on our last collaboration. I believe that was before the Empresses' last banquet?","...К слову, в прошлый раз я тоже представляла графа, когда приезжала с визитом. Это было ещё до того, как императрицы устроили тот банкет, верно?"
line-35,贵族侍从,正是。,Precisely.,Именно так.
line-37,卡涅利安,记得那时这里还摆满了异族的犄角作为装饰，现在是换了另一种风格？,"If I remember correctly, this place was filled with the horns of other species as decorations. Are we trying out new style?","Помню, тогда всё здесь было украшено рогами иноземных существ. Теперь решили сменить стиль?"
line-38,卡涅利安,唔，比如这件台座摆饰，像这样的质地和光泽可不是常见的货色，我猜猜，莫非这些都是固化源石结晶的精制品？,"Hmm, take this ornament for example. You don't see its quality and lustrousness every day. If I have to guess, they must be made from Solidified Origincrystals.","М-м, например, это настольное украшение. Подобная текстура и блеск — не самая частая вещь. Дай угадаю, неужели это изделия из застывших кристаллов Ориджиниума?"
line-40,贵族侍从,您猜的不错。,That is correct.,Вы оказались правы.
line-41,贵族侍从,卡涅利安小姐，不得不说，您比之前要更有眼光了。,"Miss Carnelian, I must say, you have a good eye, and far more so than before.","Госпожа Карнелиан, должен признать, ваш вкус стал куда лучше, чем прежде."
line-43,卡涅利安,......过奖了。,You flatter me.,...Вы мне льстите.
line-44,卡涅利安,据我所知，这一类稳定的结晶，基本只在源石矿脉深处才能挖掘出，而且多半被包裹在源石内部，可以说是有价无市。,"As far as I know, stable crystals such as these can only be mined in the deepest parts of Originium veins, and most of them are buried inside the Originium itself. That makes them extraordinarily rare.","Насколько мне известно, стабильные кристаллы такого типа можно добыть только глубоко в недрах Ориджиниумных жил, и чаще всего они спрятаны внутри самой руды. Можно сказать, товар бесценный."
line-45,卡涅利安,而且这种结晶，比岩石还要坚硬得多，一般的雕刻工艺可奈何不了它。,And these crystals are far harder than stone. Normal carving processes cannot so much as make a dent on them.,"К тому же, такие кристаллы куда твёрже камня, и обычная резьба по ним просто не сработает."
line-46,卡涅利安,算上加工的难度，想要拿出这么多工艺如此精美的装饰品，费尔巴哈爵士一定也费了不少功夫吧？,"Considering the difficulty of the process, I suppose it must have taken Sir Feuerbach some effort to amass such a massive collection of fine decorations?","Учитывая сложность обработки, сэр Файербах должно быть приложил немало усилий, чтобы заполучить столько украшений столь изысканной работы, не так ли?"
line-48,贵族侍从,没有您说的那样困难。费尔巴哈大人前阵子勤勉地巡视治下的土地，无意中发现了这些脱胎自源石深处的珍藏。,It's not actually that difficult. Master Feuerbach found this collection of Originium art pieces by coincidence when he diligently inspected his territory.,"Всё было не так сложно, как вы полагаете. Лорд Файербах недавно усердно инспектировал свои земли и случайно обнаружил эти сокровища, извлечённые из глубин Ориджиниума."
line-49,贵族侍从,大人认为，这种黑色的光泽富有意趣且别有一些隐意，十分适合观赏，因此便下令将之装饰在这里，好让前来拜访的客人也能一同赏玩。,"He thought that their black luster is full of appeal and mystique, making them prime for viewing, and so he had us place them here so that they may be appreciated by all our visitors.","Лорд посчитал, что этот чёрный блеск полон интереса и скрытых смыслов, отлично подходящих для созерцания, поэтому и приказал украсить ими это место, чтобы гости тоже могли насладиться их видом."
line-51,卡涅利安,这样看来，我们很该为爵士的慷慨举杯。,"In that case, I guess we should raise a glass to his generosity.",В таком случае нам стоит выпить за щедрость сэра.
line-53,贵族侍从,卡涅利安小姐，您好像对此很有了解。,"Miss Carnelian, you seem to be familiar with the subject.","Госпожа Карнелиан, вы, кажется, неплохо в этом разбираетесь."
line-55,卡涅利安,了解称不上，只是......唔，我曾见过一次这东西的出产过程，个人确实对此有些感慨。,"I can't say I'm familiar with them... Though... Hm... I've seen how these are produced before, so it does stir my emotions a little.","Разбираюсь — громко сказано. Просто... хм, однажды я видела процесс добычи этого материала, и это оставило во мне определённый след."
line-56,卡涅利安,您看，这么一小块固化结晶，想要采掘往往得深入地下百米、千米，一不小心便会失足落下，尸骨无存。,"Take a look at this. For just a small chunk of Origincrystal like this, you must dig several hundreds, if not thousands of meters deep. If you lose your footing on your way down, you will most certainly die.","Видите ли, чтобы добыть такой маленький кусочек застывшего кристалла, зачастую приходится спускаться на сотни, а то и тысячи метров под землю. Одно неловкое движение, и человек падает вниз, превращаясь в ничто."
line-57,卡涅利安,听闻，近期贵领矿区也出了不少事故？这东西啊，就这么一小块，上面凝结的鲜血，说不定就能填满爵士的浴池呢。,"I heard the mining sites in this territory have had quite a few accidents of late? It's such a small trinket, but the amount of blood spilled for its mining could perhaps fill the knight's bathtub.","Я слышала, что недавно в вашем владении на рудниках произошло немало происшествий? Хм, крови, впитавшейся в эту маленькую безделушку, вполне хватило бы, чтобы наполнить ванну вашего сэра."
line-59,贵族侍从,......,......,...
line-60,贵族侍从,卡涅利安小姐，我想您或许还不太明白......,"Miss Carnelian, I believe you are mistaken...","Госпожа Карнелиан, боюсь, вы чего-то не понимаете..."
line-62,卡涅利安,哦？,Oh?,О?
line-64,贵族侍从,在他人看来，这些东西也许确实难得，但于费尔巴哈大人，不过就只是一季的装饰罢了。,"For most, these items are indeed difficult to obtain, but they are merely seasonal decorations for Sir Feuerbach.","В глазах других эти вещи, быть может, и правда редки, но для лорда Файербаха они — лишь сезонное украшение."
line-65,贵族侍从,费尔巴哈大人不必考虑您说的那些。,Such considerations simply do not matter to him.,"Лорду Файербаху нет нужды беспокоиться о том, о чём говорите вы."
line-66,贵族侍从,大人想要什么，只是一句吩咐的事。我们这些人，便是为此才站在这里。,"Whatever his wish is, all he has to do is give the order. That is why we stand here.","Всё, чего желает господин, исполняется по одному его слову. Мы здесь только для того, чтобы это стало возможным."
line-68,卡涅利安,嚯......,Heh...,Хо-хо...
line-70,贵族侍从,怎么，卡涅利安小姐有不同见解？,Do you perhaps see it differently?,"Что такое, у госпожи Карнелиан иное мнение?"
line-72,卡涅利安,阁下恐怕不会想听我的见解。,I'm afraid you wouldn't want to know how I see it.,"Боюсь, вам не захочется его слушать."
line-74,贵族侍从,......恕我直言。您蒙受了伯爵大人天大的恩情，卡涅利安小姐。,"With all due respect, Miss Carnelian... You are indebted to the Count's kindness.","...Прошу прощения за прямоту. Вы получили колоссальную милость от графа, госпожа Карнелиан."
line-76,卡涅利安,唔。,Hm.,М-м.
line-78,贵族侍从,两年前，当得知尚未成年的霍恩洛厄伯爵大人身边，突然多出一个身世未知的外乡人时，大家都对此感到吃惊，这可是从来没有过的事情。,"The world was shocked when, two years ago, we found an outsider whom none of us have heard of serving the then-underage Count Hohenlohe as his attendant. This has never happened before.","Два года назад, когда стало известно, что вокруг несовершеннолетнего графа Хоэнлоэ появился чужестранец с туманным прошлым, все были крайне удивлены. Такого ещё никогда не бывало."
line-79,贵族侍从,您本应当多顾及伯爵大人的立场及颜面，更加谨慎地行事才是。,You should be more careful and consider the Count's position and reputation before you act.,Вам следовало бы больше думать о позиции и репутации графа и действовать осмотрительнее.
line-81,卡涅利安,您的口气听起来像是对我很不满意。,It sounds like you're not very fond with the way I do things.,"Ваш тон даёт понять, что вы мной недовольны."
