ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,naoshka_v
__language__,,Language,en_US,ru_RU
char-1,大鲍勃,大鲍勃,Big Bob,Большой Боб
char-2,格拉尼,格拉尼,Grani,Грани
char-3,可萝尔,可萝尔,Carol,Кэрол
char-4,？？？,？？？,???,???
char-5,“上尉”,“上尉”,'Captain',Капитан
char-6,整合运动A,整合运动A,Reunion Member A,Член Воссоединения А
char-7,整合运动B,整合运动B,Reunion Member B,Член Воссоединения Б
char-8,整合运动,整合运动,Reunion Member,Член Воссоединения
,,,,
line-3,,"晴 \ 能见度 14公里 ","Clear \ Visibility: 14 km ",Ясно \ Видимость: 14 км
line-4,,塔拉特山坑道,Mt. Terrat tunnel,Туннель горы Террат
line-9,大鲍勃,进了这个坑道就安全了。前面出去就是莫蒂卡山，从那里开始赏金猎人的数量会明显减少。,"We'll be safe after we enter this tunnel. At the other end of this tunnel is Mt. Mortica, which won't have very many bounty hunters.","Мы будем в безопасности, когда войдём в туннель. На другой стороне гора Мортика, там охотников за головами не много."
line-10,大鲍勃,至于斯卡蒂————以前听到其他人把她形容成山崩，我一直都笑得很大声。结果我今天才见识到。,"As for that Skadi... I used to scoff at those rumors that described her as a living avalanche. Turns out, I learned the truth today.","Что касается Скади... Раньше я насмехался над слухами, где её описывали как живую лавину. Как оказалось, сегодня я узнал правду."
line-11,大鲍勃,本来以为只是一个比一般人强一点点的家伙，真没想到那些风言风语竟然不是在开玩笑。,"I was expecting her to be a bit stronger than your average shmuck, but those rumors turned out to not be exaggerated after all.","Я ожидал, что она будет сильнее обычного бандита, но те слухи оказались вовсе не преувеличением."
line-12,大鲍勃,难怪在酒吧里，我笑的时候他们都一脸惊恐地看着我。,No wonder why the guys at the bar always looked at me like I'm crazy when I laughed at them for being terrified of her.,"Неудивительно, что те парни в баре всегда смотрели на меня как на сумасшедшего, когда я смеялся над ними за то, что они от неё в таком ужасе."
line-13,大鲍勃,现在轮到我惊恐了，哈。,"Now it's my turn to be terrified, hah.","Теперь моя очередь ужасаться, ха."
line-15,格拉尼,是真的！在罗德岛的时候，大家也都是这么传来传去的啊。,It's true! I heard those same rumors going around in Rhodes Island too.,Это точно! Я тоже слышала такие слухи на борту Родос Айленд.
line-16,格拉尼,我也没和她一起出过任务，只知道她很厉害就是了，根本没想到会变成今天这样......,"I've also never been sent on a mission with her before. I knew that she was really powerful, but I never expected this to happen...","Меня раньше никогда не отправляли на миссию с ней. Я знала, что она очень сильна, но я не думала, что настолько..."
line-17,格拉尼,我是头次知道她是赏金猎人。,I didn't even know that she was a bounty hunter before.,"Я даже не знала, что она охотница за головами."
line-19,大鲍勃,赏金猎人中的大明星之一了。,She's one of the most infamous bounty hunters out there.,Она одна из самых известных охотников за головами из всех.
line-20,大鲍勃,这次，就连她也是冲着宝藏来的，就真的太麻烦了。,"Now that she's also after the treasure, we're going to have our work cut out for us.","Теперь, когда она тоже охотится за сокровищами, у нас большие проблемы."
line-21,大鲍勃,我们两个能不能从她嘴里抢到一成，都很难说。,I have no idea if the two of us will be able to beat her to it.,"Я понятия не имею, сможем ли мы опередить её."
line-23,可萝尔,那样的话，我的村子岂不是......,"If that's the case, does that mean my village...","В таком случае, моя деревня..."
line-25,大鲍勃,别担心，我觉得她会赶走所有赏金猎人的。,Don't worry. I think she'll drive the rest of the bounty hunters away.,"Не переживай. Думаю, она разгонит всех остальных охотников за головами."
line-26,大鲍勃,顺带，再毁掉几个村子吧。,Though... she might destroy a few villages in the process.,Хотя... она может уничтожить пару-тройку деревень в процессе.
line-28,可萝尔,呜......,Ugh...,Угхх...
line-30,格拉尼,我觉得她并不是冲着宝藏来的，我不能让这种事发生。,I don't think she's here for the treasure. I can't let something like that happen.,"Я не думаю, что она здесь за сокровищем. Я не могу позволить такому произойти."
line-32,大鲍勃,所以，你们这个什么罗德岛，收人也是来者不拒啊？,"So, your Rhodes Island or whatever, will hire just about anyone?","Получается, ваш Родос Айленд или как его там, принимает всех без разбора?"
line-34,格拉尼,没有一个罗德岛干员会为了私人的利益，去毫无顾忌地伤害别人。,No Rhodes Island operator would ever harm others recklessly for their own selfish gain.,Ни один оперативник Родос Айленд никогда не станет безрассудно причинять вред другим ради личной наживы.
line-36,大鲍勃,哼，你帮过我，谢谢你。但是你们罗德岛又养着斯卡蒂这种只懂得破坏的灾星，我看也未必真的是为感染者好。,"Hmph. Well, you seem nice enough, and even did me a favor. However, the fact that your Rhodes Island is enabling Skadi, an entity who knows only destruction, makes me question whether your organization truly seeks to help the Infected.","Хмпф. Ну, ты кажется довольно порядочная, даже помогла мне. Однако, тот факт, что Родос Айленд работает с Скади, кто только и знает, что разрушать, заставляет сомневаться, действительно ли вы хотите помочь Заражённым."
line-37,大鲍勃,而且，我一个得了矿石病的人，也没见你们罗德岛做了啥能给我们好处的事，还不是四处被人追打。,"Furthermore, as someone stricken with Oripathy, I've never seen Rhodes Island do anything to help those like me. We're still abused wherever we go.","Более того, как страдающий от Орипатии, я никогда не видел, чтоб Родос Айленд делал что-то, чтобы помочь таким, как я."
line-39,格拉尼,鲍勃大叔......,Big Bob...,Большой Боб...
line-41,大鲍勃,怎么，哑口无言了？我是不知道你到底相信你们那个罗德岛什么地方。,"What, got nothing to say to that? Honestly, I have no idea why you have so much faith in an organization like that.","Что, нечего сказать на это? Честно скажу, я не понимаю, почему ты так веришь в эту организацию."
line-42,大鲍勃,照我看来，嘴上说着为感染者争取这个那个的，到头来，都是见钱眼开。,"As far as I can tell, their claim of wanting to help the Infected is just lip service. In the end, all they see is money.","В моих глазах, их намерение помочь Заражённым – это просто пустые слова. А на самом деле, их интересуют только деньги."
line-43,大鲍勃,哼，什么罗德岛，在这个世上，再没有比我手上这个小小金币更重要的东西！,"Hmph, what's the deal with Rhodes Island anyway? In this world, there's nothing that speaks louder than the coins in my hand!","Хмф, кому нужен Родос Айленд? В этом мире, единственная правда – это монеты в моей руке!"
line-45,格拉尼,抱歉。,Sorry...,Прости...
line-47,大鲍勃,抱什么歉？你还是个小孩子，弄不清理想和现实的年纪，不知道自己究竟几斤几两，这无所谓，都很正常。,"What are you apologizing for? You're still a kid, and you still can't tell between ideals and reality, nor do you know your worth. But all of this is perfectly normal.","За что ты извиняешься? Ты ещё молодая, и не можешь отличить идеалы от действительности, не знаешь чего ты стоишь. Но это всё абсолютно нормально."
line-49,格拉尼,不，我不是要说这个。我知道自己的力量还不足。,"No, that's not what I meant. I know that I'm still lacking.","Нет, я не это имела в виду. Я знаю, что мне многого не достаёт."
line-50,格拉尼,不管是作为骑警，还是作为罗德岛干员，我都接触过很多感染者。,"It's just that... whether as a police officer, or as an operator, I've met a lot of Infected.","Просто... будь то как офицер полиции, или оперативник, я встречала многих Заражённых."
line-51,格拉尼,......我没能救下他们所有人，这都是我力量还不足的缘故。,"...I wasn't able to save them all, because I was lacking.","...Я не смогла спасти их всех, потому что меня было недостаточно."
line-52,格拉尼,罗德岛也是一样的。,Rhodes Island is the same.,Тоже самое с Родос Айленд.
line-54,大鲍勃,也就是没什么用？哈!,"In other words, they're useless? Hah!","Другими словами, они бесполезны? Ха!"
