ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,main_15
__chapter__,,Chapter Name,obt/main/level_main_15-15_end_variation02,“她”
,,,,
char-1,预言家,预言家,Oracle,Пророк
char-2,AMa-10,AMa-10,AMa-10,AMa-10
char-3,Mon3tr,Mon3tr,Mon3tr,Mon3tr
char-4,普瑞赛斯,普瑞赛斯,Priestess,Присейс
char-5,凯尔希,凯尔希,Kal'tsit,Келси
char-6,阿米娅,阿米娅,Amiya,Амия
char-7,Mechanist,Mechanist,Mechanist,Mechanist
char-8,Logos,Logos,Logos,Logos
char-9,煌,煌,Blaze,Blaze
char-10,Raidian,Raidian,Raidian,Raidian
char-11,阿斯卡纶,阿斯卡纶,Ascalon,Ascalon
char-12,？？？,？？？,???,???
,,,,
line-17,预言家,我们已经走出去很远了，恐怕再继续探索，也没有太大的意义了。,"We've traveled far enough, and I fear there's no longer a point in continuing our exploration.","Мы уже ушли очень далеко, боюсь, продолжать исследования нет особого смысла."
line-18,预言家,离我进入休眠已经过去了一万个自然日，泰拉的变化依然有限。,"Ten thousand day cycles have passed since I entered hibernation, but Terra's changes have been limited.","Прошло десять тысяч природных дней с тех пор, как я погрузилась в сон, но изменения на Терре по-прежнему незначительны."
line-19,预言家,来自塔卫二的生命的火种还没有壮大。我往日的同伴，他们埋下的那几颗希望的种子，也迟迟没有发芽的迹象。,The spark of life from Talos-II is still weak. The other seeds of hope planted by my former companions have shown no signs of sprouting either.,"Искры жизни из Та-Ва-2 еще не разгорелись. Семена надежды, посеянные моими прежними товарищами, так и не подали признаков того, что они прорастут."
line-24,AMa-10,"（表示沮丧的动作） ",(Expressing dismay),"(Жест, выражающий подавленность)"
line-27,预言家,失望吗？不......对这个结果，我也早有预期就是了。,"Are you disappointed? No... I have expected this result long ago, actually.",Разочарована? Нет... Я ожидала подобного исхода.
line-28,预言家,我错估了一切发展的进度，这是一个错误的时间，我所能做的事也十分有限。,"I miscalculated the pace at which everything would develop. It's not the right time, and there's only so much I can do.","Я неверно оценила темпы прогресса. Сейчас неподходящее время, и мои возможности весьма ограничены."
line-29,预言家,时间......我需要更多的时间。,Time... I just need more time.,Время... Мне нужно больше времени.
line-30,预言家,我不能继续浪费这具身体的寿命了，我必须要回那座石棺继续沉睡，等待更成熟的时机。,"I can't continue wasting the life of this body. I have to return to sleep inside the sarcophagus, and wait for an opportunity more ripe than this.","Я не могу больше растрачивать жизнь этого тела. Я должна вернуться в саркофаг, чтобы снова погрузиться в сон в ожидании более подходящего момента."
line-31,预言家,......我不得不承认，我违背了诺言，这的确是一种背叛。,"...I have to admit, I broke my promise, and this is a sort of betrayal.","...Вынуждена признать, я нарушила данное обещание. Это, несомненно, предательство."
line-32,预言家,只是因为我依然热爱着生命，我没有办法做出希望以外的选择。,But it is because I still love life that I must have hope. There is no other way.,"Но лишь потому, что я всё ещё люблю жизнь, у меня нет иного выбора, кроме как питать надежду."
line-33,预言家,但是恐怕，她已经预料到了我提前苏醒的举动。,Though I fear she's already anticipated my early awakening.,"Хотя боюсь, она уже предвидела, что я проснусь раньше времени."
line-34,预言家,我在我休眠的石棺中，发现了修改灰质销钉的程序。,"Inside that sarcophagus, I discovered a lynchpin-modifying program.","Внутри своего саркофага я обнаружила программу, изменяющую штифты серого вещества."
line-36,AMa-10,（表示疑问的动作）,(Expressing confusion),"(Жест, выражающий недоумение)"
line-38,预言家,那是诞生在失落时代的技术，用以坚定我们的思维还有信念，若非如此，许多人的意志恐怕不足以支撑过那段没有尽头的绝望。,"Technology born in a lost age, used to strengthen our thoughts and conviction. Without it, many would lose the will needed to make it through that period of endless despair.","Это технология ушедшей эпохи, предназначенная для укрепления нашего разума и убеждений. Если бы не она, воли многих людей едва ли хватило бы, чтобы пережить бесконечное отчаяние."
line-39,预言家,我和她共同度过了那段时间......,"She and I, we went through it together...",Я провела с ней то время вместе...
line-40,预言家,毫无疑问，她是最了解我的人，也是最理解我的人。也正因如此，与她的分歧，是我最深的遗憾。,"She knows and understands me best, of course, but it is also why our differing opinions are my deepest regret.","Несомненно, она знала меня лучше всех и понимала лучше всех. И именно поэтому разногласия с ней стали моим самым глубоким сожалением."
line-41,预言家,她预料到了我的举动，隐藏在石棺中的程序随着我的苏醒而启动。它会修改我的认知，还有“辩论”的目的......,"She anticipated my actions, and the hidden program within the sarcophagus activated when I woke up. It can modify my cognition, and the purpose of our 'debates'...","Она предвидела мои действия, и программа, скрытая в саркофаге, активировалась вместе с моим пробуждением. Она изменит мое восприятие и саму цель «дискуссии»..."
line-42,预言家,而我必须回到那座唯一的石棺来延续我的生命，尽管那意味着......,"And I must return to that same sole sarcophagus to extend my life, even if that means...","А я обязана вернуться в тот единственный саркофаг, чтобы продлить свою жизнь, хотя это означает..."
line-43,预言家,......我的时间不多了。,I don't have much time left.,...У меня осталось мало времени.
line-44,预言家,AMa-10......,AMa-10...,AMa-10...
line-45,预言家,不，我不应该再这样称呼你了。,"No, I shouldn't call you by that anymore.","Нет, мне не следует называть тебя так."
line-46,预言家,这是一个代号，一种机械造物的代号。我应该给你起一个真正的名字。,"It's a code name, an identifier for a mechanical creation. I should give you a true name.","Это лишь кодовое обозначение, название механического изделия. Я должна дать тебе настоящее имя."
line-47,预言家,方解石......光线在晶体中折射出两种不同的偏振光，那是很美丽的现象，和你很像。,"Calcite... birefringent crystals capable of refracting a single light source into two polarized lights. A beautiful phenomenon, like you.","Кальцит... Свет преломляется в кристалле, образуя две разные поляризации. Это прекрасное явление, очень похожее на тебя."
line-48,预言家,Calcite......Kal'tsit......就叫你凯尔希吧。你喜欢这个名字吗？,Calcite... Kal'tsit... that'll do. Do you like this name?,Кальцит... Келси... Пусть тебя зовут Келси. Тебе нравится это имя?
line-50,AMa-10,"（表示喜悦的动作） ",(Expressing joy),"(Жест, выражающий радость)"
line-52,预言家,还有一些我来不及做到的事，我希望，能由你代我去完成。,There are some things I won't have time to do. I hope you can finish them for me.,"Есть еще кое-что, что я не успела сделать, и я надеюсь, что ты сможешь завершить это за меня."
line-53,预言家,......,......,...
line-54,预言家,凯尔希，我希望你能去保护这片大地上的生命。,"Kal'tsit, I hope you can protect the life on this great land.","Келси, я хочу, чтобы ты защищала жизнь на этой земле."
line-55,预言家,新生的文明总是脆弱，艰难的环境却绝不会因此多半分仁慈。,"New civilizations are always fragile, but harsh environments will show no mercy.","Новорожденные цивилизации всегда хрупки, а суровая среда никогда не будет к ним милосердна."
line-56,预言家,插手文明的发展是一种傲慢，但我们的机会已经不多了，我也不知道这是否是我们仅有的机会。,"It is arrogant to interfere with a civilization's development, but we don't have many chances left. This may be our last opportunity.","Вмешательство в развитие цивилизации — это высокомерие, но у нас осталось не так много шансов, и я даже не знаю, наш ли это единственный шанс."
line-57,预言家,文明循环往复，总是不可避免地重复歧路。他们会陷入暴力的争斗，无法自证的思维陷阱，自我怀疑的绝路......,"Civilizations tend to repeat the same mistakes—sinking into violence, unverifiable thought pitfalls, and dead ends of self doubt...","Цивилизации цикличны и неизбежно повторяют ошибки прошлого. Они будут ввергнуты в насильственные конфликты, в ловушки мышления, из которых нет выхода, в тупики самобичевания..."
line-58,预言家,这些事情都没有办法避免，但只是一点微小的偏差就足以让一个文明万劫不复。文明存在本身就是一种奇迹......,"There's no escaping all of that, but just a tiny deviation is enough to wreck a whole civilization. The existence of civilization itself is already a sort of miracle...","Этого не избежать, но малейшее отклонение может привести цивилизацию к краху. Само существование цивилизации — это чудо..."
line-59,预言家,所以凯尔希，我希望你可以去指引他们。,"So, Kal'tsit, I hope you will guide them.","Поэтому, Келси, я хочу, чтобы ты направляла их."
line-60,预言家,双生循环的结构可以让你拥有近乎无限的生命，你可以陪伴拙稚的文明发展，你可以运用你的知识，去引导他们走上可以前行的道路。,"Your gemini cycle grants you a practically infinite life. You can follow immature civilizations as they develop, and guide them onto a path forward with your knowledge.","Структура двойного цикла позволит тебе обладать почти бесконечной жизнью. Ты сможешь сопровождать развитие юных цивилизаций, использовать свои знания, чтобы направить их на путь дальнейшего прогресса."
line-61,预言家,这是一项艰难的使命，但是你或许可以做到，你应该——,"It's an arduous mission, but you might manage it, you should—","Это тяжелая миссия, но, возможно, ты справишься. Ты должна—"
line-63,,一阵沉默。,A moment of silence.,Минута молчания.
line-64,,富于激情的演说戛然而止，预言家沉默地看了看眼前纤细精巧的机械生命，又看了看远处半隐藏在风沙中的群山。,"The passionate speech comes to a halt. Oracle looks at the slender, delicate mechanical life, then gazes at the distant mountains half buried by sandstorms.","Страстная речь внезапно оборвалась. Пророк в молчании посмотрела на изящную механическую форму перед собой, а затем на горы, полускрытые в песках вдалеке."
line-66,预言家,......,......,...
line-67,预言家,不......,No...,Нет...
line-68,预言家,......忘了我刚才说的吧，凯尔希，忘了它们。,"...Forget what I just said, Kal'tsit. All of it.","...Забудь, что я только что сказала, Келси. Забудь об этом."
line-69,预言家,走吧。凯尔希。先去周围看看，再去远一些的山那头看看。去寻找生命的痕迹，去寻找存在的形式。,"Go, Kal'tsit. Go look around you, then see what lies by the most distant of mountains. Go seek what forms existence takes.","Иди. Келси. Сначала осмотри окрестности, а потом отправляйся за те далекие горы. Ищи следы жизни, ищи формы существования."
line-70,预言家,......我得回去了。等到你需要的时候，就唤醒我吧。,...I must go back. Wake me up when you need to.,"...Мне пора вернуться. Когда я понадоблюсь тебе, разбуди меня."
line-71,预言家,凯尔希，我希望你去做的事，或者说，我赋予你的使命，只有一个。,"Kal'tsit, I hope you'll... Or maybe I should say, the only mission I assign you now, is this:","Келси, то, что я хочу, чтобы ты сделала, или, если угодно, миссия, которую я тебе поручаю, только одна."
line-72,预言家,去找到你自己吧。,Find yourself.,Найди саму себя.
line-73,预言家,去寻找生命的痕迹，去寻找希望与未来。,Search for traces of life. Search for hope and a future.,"Ищи следы жизни, ищи надежду и будущее."
line-74,预言家,凯尔希......自己去得出答案吧。,Kal'tsit... Go find your own answer.,Келси... Приди к ответу сама.
line-82,,......凯尔希。,...Kal'tsit.,...Келси.
line-83,,你已经寻找到自己生命的意义了吗？,Have you found the meaning of your life yet?,Нашла ли ты уже смысл своей жизни?
line-94,Mon3tr,（兴奋的咆哮）,(Excited roar),(Взволнованный рык)
line-96,普瑞赛斯,......,......,...
line-102,,Mon3tr出现在你的身前，它的姿态却稍不同于往常。,"Mon3tr appears by your side, but its stance is slightly different than usual.","Mon3tr появился перед тобой, но его поза немного отличалась от обычной."
