ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,neksi0762
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act33side
__chapter__,,Chapter Name,activities/act33side/level_act33side_st01,未完成的告别
,,,,
char-1,？？？,？？？,???,???
char-2,阿斯卡纶,阿斯卡纶,Ascalon,Аскалон
char-3,“疤眼”,“疤眼”,Scareye,Шрамоглазый
char-4,特雷西斯,特雷西斯,Theresis,Терезис
char-5,刺杀者,刺杀者,Assassin,Ассасин
char-6,曼弗雷德,曼弗雷德,Manfred,Манфред
char-7,尤莉叶,尤莉叶,Julie,Джули
char-8,凯尔希,凯尔希,Kal'tsit,Кальцит
char-9,Mon3tr,Mon3tr,Mon3tr,Mon3tr
char-10,无名的刺客,无名的刺客,Nameless Assassin,Безямянный убийца
,,,,
line-9,,男孩在梦中哭泣，女孩将男孩裹在自己抵挡风雪的斗篷中，为他拭去了眼泪。,"A boy cries in his dreams. To weather the blizzard, a girl wraps him within her cloak, and wipes his tears away.","Мальчик плачет во сне. Чтобы пережить метель, девочка заворачивает его в свой плащ и вытирает его слезы."
line-10,,冰冷。断续。呼啸。,Freezing. Gusting. The air screams on.,Холод. Порывы ветра. Вой стихии.
line-11,,巨人轻轻讲述一部遥远的史诗......,"Softly, the Cyclops tells of an epic tale. Far, far away...",Циклоп тихо рассказывает далёкую легенду...
line-12,,她的声音穿越了风雪的裂隙。,"Through the snowstorm's seams, her voice comes.",Её голос проникает сквозь снежные метели.
line-13,,众魂的呼唤为其和音，男孩的呜咽敲打着节拍。,"The myriad souls' calls become harmony with it, the boy's whimpers the drum of their beat.","Зов бесчисленных душ становится ей аккомпанементом, а всхлипы мальчика отбивают ритм."
line-14,,女孩在梦中的酷寒中微微喘息，她捂住了男孩的眼睛，然后闭上了眼。,"This dream is bitter cold. Within, the girl seizes a faint breath. She covers the boy's eyes, and closes her own.","В леденящем холоде сна девушка едва переводит дыхание. Она закрывает мальчику глаза, а затем закрывает свои."
line-15,,千年前的歌谣仍在他们眼前演绎。,"Even now, even here, for them, the ballad from a thousand years ago is still playing.",Перед ними по-прежнему разыгрывается баллада тысячелетней давности.
line-20,,......,......,......
line-23,,我见远方的军队袭来家园，,"Armies fell upon our home; them I saw from afar,","Я видел, как издалека войска обрушились на нашу родину,"
line-24,,从河谷到山岗，从高山到平原。,"From valleys to hills, our lands they scarred.","Как из долин к холмам, от высоких гор до равнин, они оставляли за собой шрамы на нашей земле."
line-28,,君王授首，众魂恸哭。,"The King slaughtered, the myriad souls did lament.","Король пал, и бесчисленные души зарыдали."
line-31,,我见六位英雄跨过魔王尸骸，,"Yet one sovereign fell, six heroes rose.","Я видел, как шестеро героев переступили через труп Короля,"
line-32,,吹响号角，率万部回击。,"They blew the horn, led the fight, faced their foes.",Затрубили в рога и повели за собой тысячи воинов в ответный бой.
line-36,,可惜，可叹，烈怒火光汹涌澎湃，,"Alas, the wanderers' city collapsed,","К сожалению, это печальное, жалкое зрелище: бушующее пламя ярости вздымалось и ревело."
line-37,,流浪者的城市灭于一旦。,"To ruin swift, as the fleeting peace elapsed.",И город странников в одно мгновение был уничтожен.
line-41,,我见黑色的冠冕浮现，,"When all seemed lost, a black crown appeared,","Я видел, как возникла чёрная корона,"
line-42,,荣耀、恩典与救济悉数归于双子。,The twins brought hope where dread had reared.,"И близнецы вселили надежду там, где раньше царил страх."
line-46,,裂隙扩散，新诞的一切尽数背叛。,"Spreads the rift, giving birth to betrayal.","Разлом ширится, и всё рождённое оборачивается предательством."
line-49,,我见风暴降临，风暴中央的，,"An assassin in the heart of tempest; them I saw from afar,","Я видел приближение бури, и в самом её эпицентре..."
line-50,,乃是弑君之刀剑，诛王之枪矛，,"A sword to slay the regent king, a spear to pierce the royal ring.","Был клинок, предназначенный убить регента, и копьё, предназначенное пронзить короля."
line-51,,终结传说皆是按照公义。,"Legend ends as justice calls. To righteous fate, the mighty falls.","Легенда обрывается, когда взывает справедливость. И падут великие пред судьбой."
line-58,,“这就是此章的结尾。”,'That is how this episode ends.',«Так заканчивается этот эпизод».
line-59,,巨人淡入了梦中的风雪中，将孩子抛弃在身后。,"The Cyclops fades into the blizzard of the dreamscape, leaving the child behind her.","Циклоп постепенно растворяется в снежной буре сновидения, оставляя ребёнка позади."
line-60,,男孩渐渐不再听到自己啼哭的声音。,The boy's own cries grow distant from his ears.,"Мальчик всё дальше слышит собственный плач, пока тот наконец не стихает вдали."
line-61,,他醒了。,He wakes.,Он просыпается.
line-67,,1094年夏,"Summer, 1094",Лето 1094 года
line-68,,卡兹戴尔地区，荒废小镇外,"Outskirts of an abandoned town, Kazdel","Окраина заброшенного города, Каздель"
line-69,？？？,这就是此章的结尾，阿斯卡纶。我的故事说完了。,"That is how this episode ends, Ascalon. My story is over.","Вот так заканчивается эта глава, Аскалон. Моя история окончена"
line-70,？？？,这是我的族人......独眼巨人深入北境前，最后望向卡兹戴尔的所见。,"That is what my people... the Cyclopes bound for the deep north, saw as they gazed their last of Kazdel.","Это то, что видели мои соплеменники... Циклопы, направлявшиеся в дальние северные земли, в последний раз взглянув на Каздель"
line-71,？？？,这一章是已然逝去的未知历史，是尚未临近的可能未来，抑或是毫无意义的呓语？,Was that a page from long-lost history? A possible future yet to come...? Or plain meaningless gibbering?,"Была ли эта глава частью давно забытой истории? Возможным будущим, которое ещё не наступило?.. Или всего лишь бессмысленным бредом?"
line-72,？？？,近千年来，无人知晓......,None knew for the past millennium...,Никто не знал об этом на протяжении последнего тысячелетия...
line-73,？？？,直到他们出现，命运的湍流开始岔进更窄、更确定的河道......,"Until they came, and fate's rapids begin to narrow, into a surer course...","Пока они не появились, и потоки судьбы не начали сужаться, вливаясь во всё более узкое и определённое русло..."
line-74,？？？,现在，她所见的命运，已经近在眼前。,"And now, the fate she saw has drawn before our eyes.","А теперь судьба, которую она увидела, уже совсем близко"
line-84,阿斯卡纶,......,......,......
line-85,阿斯卡纶,我不关心。,I don't care.,Мне всё равно.
line-90,“疤眼”,咳，难得你有耐心听我说完。,*cough* I'm surprised you'd even hear me out.,"Кхем... Надо же, ты всё-таки выслушала меня до конца"
line-92,,红色的鲜血慢慢沿着他的面具下沿滑落到了他的胸口。,"Bright red blood creeps along his mask, trickling down his chest.",Ярко-красная кровь медленно стекает по краю его маски на грудь.
line-93,,阿斯卡纶微微眯眼，他已走投无路。,Ascalon's eyes narrow a hair. He's out of luck.,Аскалон слегка прищуривается. Ему уже некуда отступать.
line-95,阿斯卡纶,你会死，所以我给你最后的尊重。,You're about to die. So I gave you one last token of respect.,Ты умрёшь. Поэтому я оказываю тебе последнее уважение.
line-97,“疤眼”,咳。呵。,*cough*... *hack*...,*кашель*... *кашель*...
