ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act17d0
__chapter__,,Chapter Name,activities/act17d0/level_act17d0_01_beg,外勤记录
,,,,
char-1,黑,黑,Schwarz,Хэй
char-2,巡林者,巡林者,Rangers,Рейнджер
char-3,芙兰卡,芙兰卡,Franka,Франка
char-4,雷蛇,雷蛇,Liskarm,Лисенг
char-5,雷蛇&芙兰卡,雷蛇&芙兰卡,Franka & Liskarm,Лисенг&Франка
char-6,丑陋的变异生物,丑陋的变异生物,Hideous Monstrosity,Уродливое мутировавшее существо
,,,,
line-11,黑,我回来了。,I'm back.,Я вернулась.
line-13,巡林者,没什么问题吧？,"No problems, I take it?",Все в порядке?
line-15,黑,前方三十公里范围内没有值得注意的目标，这片区域目前暂定是安全的。,Nothing of particular note within a thirty kilometer range. The area is safe for now.,В радиусе тридцати километров впереди нет заслуживающих внимания целей. Эта зона на данный момент относительно безопасна.
line-17,巡林者,很好，让老夫看看地图。,Very good. Let me take a look at the map.,Отлично. Позволь-ка мне взглянуть на карту.
line-18,巡林者,嗯......,Hmm...,Хм...
line-19,巡林者,方向不会有错，继续向北走，就能看到一个被本地人叫做喇叭山的地标。,"We're on the right track. Keep north, and we should see a waypoint the locals called Trumhill before long.","Направление верное. Продолжим двигаться на север, и мы увидим ориентир, который местные называют Гора-Рупор."
line-20,巡林者,我们可以在山脚下休息，然后再向西走两天的路程，就能到达费坤。,"We'll have an opportunity to rest at its base. From there, we can start moving west, and we'll be at Phecon within two days.","Мы можем отдохнуть у подножия горы, а затем, после двух дней пути на запад, доберемся до Фэкуна."
line-22,黑,费坤城是我们的目的地吗？,Is Phecon our destination?,Фэкун — наша конечная цель?
line-24,巡林者,当然不是，但它是最合适的中转站。费坤有哥伦比亚人的大篷车商队，我们可以跟着商队一起去双河城，那边有罗德岛的办事处。,"Of course not, but it's the most suitable transfer station. Phecon sees a lot of Columbian caravans, which we can follow one to reach Twinriver. There, we have a Rhodes Island branch office.","Конечно, нет, но это наиболее подходящий перевалочный пункт. В Фэкуне бывают караваны колумбийских торговцев; мы сможем присоединиться к одному из них, чтобы добраться до Двуречья, там есть представительство Родос Айленда."
line-25,巡林者,只要到了办事处，就能想办法弄到交通工具，剩下的事情就很好办了。,"If we can get to the branch office, we'll be able to secure ourselves some transportation. From there, the rest will be much easier.","Как только мы доберемся до представительства, сможем найти транспорт, а остальное уладить будет проще."
line-30,芙兰卡,太好了！终于可以结束这次徒步远征了，我的鞋底都要磨平了。,Music to my ears! Can't wait to wrap up this on-foot odyssey. My shoe soles are worn straight flat.,"Отлично! Наконец-то этот пеший поход закончится, у меня уже подошвы скоро протрутся."
line-32,雷蛇,多在外面走一走对你的身体有好处，你也不用老惦记着减肥了。,"You ought to walk outside more. It's good for your health, and you won't need to keep worrying so much about your weight.","Больше прогулок на свежем воздухе полезно для твоего здоровья, да и не придется постоянно думать о похудении."
line-35,芙兰卡,你！,Hey!,Ты!
line-40,黑,通讯器怎么样了，能联系到信号节点吗？,What about the communicator? Any linkable signal nodes?,Что с коммуникатором? Удалось связаться с узлом связи?
line-42,雷蛇,还是不行，看这个情况，直到费坤之前都很难和罗德岛本舰取得直接联系。,"Still no good. The way I see it, we're not going to get any direct contact with the Rhodes Island landship until we reach Phecon.","Все еще нет. Судя по всему, до самого Фэкуна нам будет трудно связаться с основным кораблем Родос напрямую."
line-43,雷蛇,除非我们能弄到一个功率更大的发射器......,Not unless we can get our hands on a more powerful transmitter...,Если только мы не раздобудем передатчик помощнее...
line-45,芙兰卡,别想了，这附近没有其他移动城市。,You can forget about that. There's no other nomadic city to be found around here.,Забудь. Поблизости нет других мобильных городов.
line-47,巡林者,是，到达费坤之前我们都很难得到补给，所以老夫之前让你们带上足够多的食物和水。,Quite. That's why I made sure to ask you to bring more than enough food and water. It's a tall order to find any supplies on the way to Phecon.,"Да, до Фэкуна нам вряд ли удастся пополнить запасы, поэтому я и просил вас взять побольше еды и воды."
line-48,巡林者,我印象中这附近有其他小型聚落，但是这么多年了，这些城镇是否还在原来的地方，老夫可说不准。,"I do remember little settlements dotted around here and there, but after all these years, I could hardly say whether any of them are still where they used to be.","Мне помнится, поблизости были небольшие поселения, но прошло столько лет... не ручаюсь, что эти городки остались на своих местах."
line-53,雷蛇,巡林者先生对这片区域很熟悉啊。,"So you're pretty familiar with this area, Mr. Rangers.","Вы так хорошо знакомы с этой местностью, мистер Рейнджер."
line-55,巡林者,哈哈哈......老夫年轻的时候可能会更熟悉一点。其实这片荒地我已经很久没来过了。,"Hah-hah-hah... I might've been a tad more familiar in my sprightlier days. Truth is, I haven't been around these wastelands in a long, long time.","Ха-ха... Возможно, я лучше знал ее, когда был моложе. На самом деле я давно не бывал в этой пустоши."
line-57,雷蛇,那张地图，是巡林者先生自己画的？,"You drew that map yourself, Mr. Rangers?",Эту карту вы нарисовали сами?
line-59,巡林者,是，每个巡林者都会绘制自己的地图，只是我没想到这张地图现在还能用。这里的地貌没被天灾改变太多，算是我们运气好吧。,"Indeed. Any good ranger can draw their own maps, though I never would've guessed this one would still be useful even now. The topography around here hasn't been marred by Catastrophes too badly, so we might count ourselves lucky.","Да, каждый рейнджер рисует свои собственные карты, только я не ожидал, что она еще пригодится. Ландшафт здесь не сильно изменился из-за катастроф — можно сказать, нам повезло."
line-61,雷蛇,很抱歉，这次又麻烦您了。,I'm sorry for all the bother we've made for you.,"Прошу прощения, мы снова доставили вам неприятности."
line-63,巡林者,放宽心，照顾你们这些年轻人是老夫的职责所在。,Don't you worry about it. It's this old man's duty to look out for you young'uns.,"Не бери в голову, заботиться о молодых — мой долг."
line-64,巡林者,这次意外我也有责任。如果提前想好预备方案，就不至于如此狼狈了。,"I share the responsibility for this mess, anyway. We wouldn't be in such a tight spot now if I had made the proper preparations beforehand.","В этом инциденте есть и моя вина. Если бы я заранее продумал запасной план, мы бы не оказались в таком плачевном состоянии."
line-66,雷蛇,一群来历不明的雇佣兵袭击了仓库，又恰好抢走了我们的车？,"What, the band of mysterious mercenaries that raided the warehouse and by rotten luck just happened to make off with our car?",Группа неизвестных наемников напала на склад и заодно угнала нашу машину?
line-67,雷蛇,这种故事，谁会信啊！？,Who's going to believe a story like that? ?,Кто в такое поверит!?
line-69,芙兰卡,我怀疑那个商人是偷偷拆了我们的车拿去卖，然后随便编了个理由来糊弄。,"I think it was the trader, actually. Pulled our car apart to sell off the parts, then fed us some random explanation to cover up after the fact.","Я подозреваю, что тот торговец тайком разобрал нашу машину на продажу, а потом выдумал причину, чтобы нас одурачить."
line-71,雷蛇,我难得同意你的观点。,"I actually agree with you, for once.","Редкий случай, когда я с тобой согласна."
line-73,芙兰卡,难得两个字很多余。,You didn't need the 'for once'.,Слово «редкий» здесь лишнее.
line-75,雷蛇,以黑钢佣兵的习惯，放在以前我不会这么轻易饶了他。,"The old me wouldn't have let him off as kindly as that, if we were going by our old Blacksteel mercenary customs.","По привычкам «Блэкстил», раньше я бы не оставила ему это так просто."
line-77,巡林者,但是以罗德岛干员的身份，老夫还是希望你们尽量不要和本地人发生冲突。,But you are Rhodes Island operators now. I'd much rather not see you get into fights with the locals.,"Но как оперативник Родос, я все же надеюсь, что вы постараетесь избежать конфликтов с местными."
line-78,巡林者,药品安全送达，那个商人也没有在报酬上耍花招，我们也不能要求太多。,"The medical supplies made it safely, and the trader didn't try to cook the books when paying us. We can't really ask for too much more.","Медикаменты доставлены в целости, торговец не схитрил с оплатой, большего мы требовать не можем."
line-80,黑,但是提着一袋精炼源石锭徒步走在荒地上，实在是太危险了。,Carrying a sack of refined Originium Ingots across the barrenlands by foot is incredibly dangerous.,Но идти по пустоши пешком с мешком слитков рафинированного ориджиниума — это слишком опасно.
line-82,巡林者,他们的解释充满漏洞，你也不能指望瓦伊凡的本地雇佣兵说实话，下一次老夫就得多长个心眼了。,"I won't deny how... perforated their explanations were. We can't count on the local Vouivre mercenaries to be totally honest with us, so I'll keep an eye out for that next time.","Их объяснение полно дыр, но и не стоит ждать, что местные наемники-виверны скажут правду. В следующий раз я буду осмотрительнее."
line-83,巡林者,不过回去之后得向后勤报告一下财物损失。,"But in the meantime, once we get back, you do have to report the property loss to Logistics.","Впрочем, по возвращении нужно будет доложить в отдел снабжения о потере имущества."
line-85,雷蛇,唉......瓦伊凡就是这样的地方。,"*Sigh*... Yeah, this is just how Vouivre is.",Да уж... Саргон — это такое место.
line-90,巡林者,不过......,That said...,Однако...
line-91,巡林者,就算没有地图和法术，老夫也能想办法找到方向，但是那样会耗费太多时间。我们人太多，水和食物坚持不了那么久。,"I could likely find our way there even without any maps or Arts, but we'd be taking time we don't have. I worry we're too many for that, and our water and food wouldn't last us.","Даже без карты и магии я смогу найти верный путь, но это отнимет слишком много времени. Нас слишком много, воды и еды на такой долгий срок не хватит."
line-93,黑,在萨尔贡荒地中不依靠工具就能判断方向？您要如何做到呢？,You can navigate the Sargon barrens without any tools? May I ask how?,Ориентироваться в пустошах Саргона без инструментов? Как вы собираетесь это сделать?
line-95,巡林者,以后有机会我可以教教你，都是经验而已。,"If we ever have the time in future, I can teach you a thing or two. It's all nothing more than my experience.","Если представится случай, я научу тебя. Все дело в опыте."
line-100,芙兰卡,该怎么说呢......,How do I put it...,Как бы сказать...
line-101,芙兰卡,不愧是那位“红色山谷的游侠”。,"You're very worthy of the 'Ranger of the Red Valley' title, if I do say so.",Не зря вы — тот самый «Следопыт красной долины».
line-103,巡林者,哈哈哈哈，原来你们年轻人也会讲这些老故事。,"Hah-hah-hah-hah. So you youngsters know how to tell an old tale or two as well, then.","Ха-ха-ха, оказывается, молодежь до сих пор пересказывает эти старые истории."
line-104,巡林者,那只是个言过其实的称号。,That's just an exaggerated title.,Это лишь преувеличенный титул.
line-106,芙兰卡,所以那些故事是真的吗？一天之内把詹金斯七兄弟全数抓捕归案，单枪匹马挡下整支锈锤劫匪纵队......,"Aren't those tales all true, though? Like how you rounded up and brought all of the Jenkins Seven to justice in a single day, or how you held off an entire column of Rusthammer Bandits all by yourself...","Значит, истории — правда? За один день взяли под стражу всех семерых братьев Дженкинс, в одиночку сдержали целый отряд мародеров «Ржавого молота»..."
line-108,雷蛇,用一支箭击中十个目标，凌空射下拉特兰人的连发铳弹......,"How you struck ten targets with just a single arrow, or how you shot down a Lateranan's bullets while high up in the sky...","Одной стрелой поразили десять целей, на лету сбили пули латеранского автомата..."
line-110,巡林者,有趣，这些故事现在都变成这样了。,My word. So this is what the stories are like now.,"Забавно, вот во что превратились эти истории сейчас."
