ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act13d0
__chapter__,,Chapter Name,activities/act13d0/level_act13d0_st01,归处
,,,,
char-1,史尔特尔,史尔特尔,Surtr,Суртур
char-2,陨星,陨星,Meteorite,Метеор
char-3,瘦弱的小孩,瘦弱的小孩,Scrawny Kid,Худой ребенок
char-4,顽皮的小孩,顽皮的小孩,Mischievous Kid,Озорной ребенок
char-5,村长,村长,Village Headman,Староста
char-6,凯尔希,凯尔希,Kal'tsit,Кель'цит
,,,,
line-9,,7:10 A.M.  天气/晴,7:10 A.M. \ Clear,07:10. Погода: Ясно.
line-10,,卡兹戴尔远郊,Kazdel exurbs,Пригороды Каздели
line-18,史尔特尔,任务目的地是这儿？,This is the mission location?,Это и есть пункт назначения?
line-23,陨星,按照图像指示看来，应该就是这里，移动村庄——贝罗尼村。,"Judging by the image, this should be the place. The nomadic hamlet Bellony Village.","Судя по изображениям, это должно быть здесь. Передвижная деревня — деревня Берони."
line-24,陨星,比起移动村庄，不如说整个村子就是一个大型矿车。,Though I think you could just call the entire village an oversized minecart instead.,"Это скорее не деревня, а одна большая горнодобывающая машина."
line-25,陨星,依靠源石驱动自带的钻井进行采掘，达成自给自足的同时，多余资源出售给附近的其他城市也能获得营收。,It's a mining town that carries around its own Originium-powered drills to keep itself going. The people bring in some revenue just selling the excess resources to nearby cities.,"Она использует энергию Ориниума для работы буров, обеспечивая себя ресурсами, а излишки продает соседним городам."
line-26,陨星,如果发现了大型遗迹更是能向周围的大型移动城市寻求开采的赞助费。,"If they find any big ruins, they even ask the larger nomadic cities to front the excavation costs.","А если находят крупные руины, то могут запросить спонсорскую помощь для их разработки у крупных передвижных городов поблизости."
line-28,史尔特尔,就算你这么说，这村子也太破了吧。,"Maybe, but this place still looks pretty rough.","Даже если так, деревня выглядит слишком ветхой."
line-29,史尔特尔,遍地的灰尘，栅栏也破破烂烂。明明有人来往，但是却不愿意翻修翻修。,"There is dust everywhere and the fences are all run-down. There are obvious signs of habitation, but no one cares to do maintenance?","Всюду пыль, заборы разваливаются. Люди здесь живут, но никто не хочет заняться ремонтом."
line-30,史尔特尔,看起来也并不是什么很有趣的地方。,I don't see anything worth investigating.,"Не похоже, что это интересное место."
line-32,陨星,泰拉的大部分地方都不有趣，但是那些居住在无趣地方的人也有他们自己的生活。,"Most of Terra isn't very interesting, but the people living in these uninteresting places still have their own unique lifestyles.","Большая часть мест на Терре неинтересна, но у людей, живущих в таких местах, есть своя жизнь."
line-36,瘦弱的小孩,等一下，还给我！,"Wait, give that back!","Подожди, верни обратно!"
line-37,顽皮的小孩,干嘛！不是你说好的这些雪糕要大家分着吃的吗！,What?! You said you'd share your ice cream!,"Да чего такого! Ты же сам обещал, что мы поделим это мороженое на всех!"
line-38,瘦弱的小孩,别跑！都还没到家你都要把它捏化了！,Stop running! You're gonna squish it before we get home!,"Не беги! Мы еще не дошли до дома, ты же всё помял и оно растает!"
line-39,瘦弱的小孩,白痴，快给我！,"Idiot, give that back!","Дурак, отдай!"
line-40,顽皮的小孩,那不行，我比你跑得更快，得让我来把这些带回去给老爸！,No way! I'm faster than you anyway. I'll be the one to bring it back to Dad!,"Ни за что, я бегаю быстрее тебя, так что я принесу это папе!"
line-41,瘦弱的小孩,等等我啊！！,Wait up!,Подожди меня!!
line-47,陨星,在这样糟糕环境中努力生存着的人们不少，但是这并不意味着他们不幸福。,"There are many who struggle to survive in such terrible environments, but that doesn't mean they're unhappy.","Многие люди пытаются выжить в таких ужасных условиях, но это не значит, что они не счастливы."
line-49,史尔特尔,为了一份普通的雪糕跑来跑去，不顾周围的人吵吵嚷嚷，一直到长大成人也都是这样。,They chase after one another for a mere ice-cream without regard to the commotion they are causing. To think they will be the same when they grow up...,"Бегать туда-сюда из-за обычного мороженого, не обращая внимания на крики вокруг, и так всю жизнь до самой старости."
line-50,史尔特尔,这样也幸福？,You call this happiness?,Это по-твоему счастье?
line-52,陨星,......你是不是生气了。,Are you angry?,……Ты злишься?
line-54,史尔特尔,我怎么会因为被这些小孩子不顾别人胡乱跑过扬起灰尘发脾气。,"Why would some inconsiderate kids running around, kicking up dust anger me?","С чего бы мне злиться из-за того, что эти дети бегают как попало и поднимают пыль?"
line-56,陨星,（这可不就是生气了吗。）,(She's totally angry.),(Да она же злится.)
line-62,村长,不好意思不好意思，两位就是罗德岛特派过来的干员吗。,Sorry. Are you the operators from Rhodes Island?,"Прошу прощения, вы двое — оперативники, присланные Родос Айленд?"
line-63,村长,让两位久等了。,Real sorry to keep you waiting.,Заставил вас ждать.
line-65,陨星,啊是的，您好，请问您就是本地的对接人员吗。,"Yes, we are. Nice to meet you, are you the local liaison?","Да, здравствуйте. Вы местный контакт?"
line-67,村长,啊啊是的，敝人就是现在贝罗尼村的村长。由我来给大家带路，来，别在这里站着，咱们往里走吧，这边。,"Ah, yeah, that's right. I'm the leader of Bellony Village. Come with me. No need to stand around out here, let's go in. This way.","Да-да, всё верно. Я староста деревни Берони. Я провожу вас, не стойте здесь, пойдемте внутрь, сюда."
line-69,陨星,麻烦您了。,Thank you.,Беспокою вас.
line-75,,任务出发前,Before the mission,Перед началом задания
line-76,,罗德岛指挥室,Rhodes Island Command Center,Командный центр Родос Айленд
line-79,凯尔希,地处卡兹戴尔边界的贝罗尼村是典型的矿区村庄，几个月前因为开采导致了塌方，矿场完全封闭了起来。,Bellony Village is a typical mining community located at the edge of Kazdel. A cave-in a few months ago completely sealed off the mines.,"Деревня Берони на границе Каздели — типичное шахтерское поселение. Несколько месяцев назад там произошел обвал, и шахта была полностью закрыта."
line-80,凯尔希,塌方不仅破坏了矿场，还封住了村子的移动路线，贝罗尼村一直以来的通商通道也被阻拦。,"Not only were the mines ruined, the village's travel route and trading channels were also blocked.","Обвал не только разрушил шахту, но и перекрыл путь передвижения деревни, заблокировав торговые пути."
line-81,凯尔希,村子近几个月以来一直在向临近的移动城市求助，不过并没有愿意去帮他们解决情况的城市出现。,"For the past few months, the village has been requesting aid from nearby nomadic cities, but there has not yet been any city willing to help.","Последние несколько месяцев деревня просила помощи у близлежащих передвижных городов, но никто не захотел помогать."
line-82,凯尔希,这次希望陨星你能去现场进行初步探查，确定当地受困情况。,"Meteorite, I would like you to carry out preliminary investigations and report on the situation.","Метеор, я хочу, чтобы ты отправилась на место для предварительной разведки и оценила ситуацию."
line-83,凯尔希,将第一波数据带回来后，我们就可以展开救助计划。,We will organize a rescue mission based on that report.,"Как только получим первые данные, мы начнем спасательную операцию."
line-85,陨星,了解，听起来并不是特别困难的任务。,Understood. This doesn't sound like a particularly tough mission.,"Поняла, звучит не как особо сложное задание."
line-87,凯尔希,村子的问题看起来并没有牵扯到天灾和矿石病，但是也要小心行事。,"The village's problems don't appear to be related to Catastrophes or Oripathy, but don't let your guard down.","Похоже, проблемы деревни не связаны со стихийными бедствиями или Орипато, но будьте осторожны."
line-89,陨星,收到，不过......,Roger that. But...,"Принято, но…"
line-91,史尔特尔,......,......,……
line-93,陨星,史尔特尔也要一起？这次任务没有这么困难吧。,Is Surtr going too? I don't think I'll need much help.,Суртур тоже едет? Задание вроде бы не такое сложное.
line-95,史尔特尔,这次任务地点有我想去确认的东西。,There is something I want to investigate in that area.,"В месте этого задания есть кое-что, что мне нужно проверить."
line-97,凯尔希,史尔特尔因为一些个人需求申请了任务的同行，经过确认我们通过了此次申请。,Surtr asked to go along for personal reasons. We've approved her request.,"Суртур подала запрос на участие по личным причинам, мы одобрили его после проверки."
line-99,史尔特尔,我不会成为累赘，不用在意我就行。,"I won't be a burden to you, just pay me no mind.","Я не буду обузой, не обращай на меня внимания."
line-101,陨星,......,......,……
line-108,村长,村子不大，麻烦两位先在这里等一等，我进去先拿一些工具。,"We're a small village. Just wait here for a moment, I'll go and grab some tools first.","Деревня небольшая, подождите здесь, я схожу за инструментами."
line-110,陨星,啊，基本的勘探工具我们都携带好了。,"Oh, we have some basic prospecting tools with us.","А, все базовые инструменты для разведки у нас уже есть."
line-112,村长,村子边缘的矿区入口现在被我们用特殊的锁定设备封锁了。,"No good, the mine entrance at the edge of the village has been sealed off with our own special tools.",Вход в шахту на краю деревни сейчас заблокирован специальными устройствами.
line-113,村长,如果不是特殊解锁工具的话是没办法打开的，倒不是我自夸，咱们村子在采掘方面还是很有经验的。,"Without these unlocking tools, it can't be opened. Our village is pretty good at excavation, if I do say so myself.","Без специального ключа открыть его невозможно. Не хочу хвастаться, но у нас в деревне большой опыт в горном деле."
line-115,史尔特尔,可是不也困在这里了。,"Even with all that experience, you still got yourselves stuck here.",И всё равно вы здесь застряли.
line-117,村长,哈哈哈确实是这样。,"Hahaha, that's true.","Ха-ха, верно."
line-119,陨星,啊啊抱歉她不是有心的。喂这也太没礼貌了吧。,"Aah! Please forgive her, she doesn't mean it. Hey, don't be rude!","Ой, прошу прощения, она не хотела грубить. Эй, это было слишком невежливо."
line-121,村长,也是惭愧，村子虽然在采掘方面有经验，但是确实没有预料到如此大规模的塌方事件。,"No, we are really ashamed that for all our experience excavating, we still couldn't stop a major cave-in.","Мне стыдно признаться, но хоть мы и опытны в добыче, мы не ожидали такого масштабного обвала."
line-122,村长,钻井部分陷在塌方区域里面，为了安全着想，村子也不敢安排人员接近。,"Part of the drill sunk into the collapsed area, so it's not safe to send anyone else over there.","Буровая установка застряла в зоне обвала, и ради безопасности мы не решаемся посылать туда людей."
line-123,村长,即使这次能得到罗德岛的帮助，以后我们也得多钻研钻研应对手段。,"Even with Rhodes Island's help, we're going to put some new precautions in place.","Даже если Родос нам поможет, в будущем нам стоит получше изучить способы борьбы с подобным."
line-124,村长,两位先休息休息，稍等我去准备准备。,"Just rest here a minute, I'll get the stuff.","Отдохните пока, я скоро вернусь."
line-126,陨星,好的，您先去忙吧。,"Alright, please do.","Хорошо, идите."
line-132,陨星,......,......,……
line-134,史尔特尔,......,......,……
line-136,陨星,所以，你对别人也太不客气了吧。,"You know, you could stand to be a little more polite.","Слушай, ты слишком груба с окружающими."
line-138,史尔特尔,只不过说说事实而已。,I'm just stating facts.,Я просто констатировала факт.
line-140,陨星,唔......唔......,Ah... Err...,М-да…… м-да……
line-141,陨星,（好尴尬啊。）,(This is so awkward.),(Как неловко.)
line-142,陨星,（虽然早就听说史尔特尔很难相处了，但是没想到根本找不到话说。）,"(I've heard Surtr is tough to get along with, but I thought we'd at least have something to talk about.)","(Хотя я слышала, что с Суртур трудно общаться, но не думала, что вообще не смогу найти темы для разговора.)"
line-144,史尔特尔,......（记录）,......(Recording),……(записывает)
