ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,shkav_05596
__language__,,Language,en_US,ru_RU
char-1,？？？,？？？,???,???
char-2,赏金猎人,赏金猎人,Bounty Hunter,Охотник за головами
char-3,粗暴的赏金猎人,粗暴的赏金猎人,Violent Bounty Hunter,Жестокий охотник за головами
char-4,可萝尔,可萝尔,Carol,Кэрол
char-5,村民,村民,Villager,Житель деревни
char-6,格拉尼,格拉尼,Grani,Грани
,,,,
line-5,？？？,......,......,.....
line-13,？？？,......好热......,(...It burns...),(...Так жарко...)
line-14,？？？,好痛......,(...It hurts...),(...Так больно...)
line-17,赏金猎人,这女人，还不肯说吗？,"So, the wench still won't speak up?","Эта девка, всё ещё отказывается говорить?"
line-22,？？？,好渴......喉咙像是被火烤着......,(So thirsty... My throat feels like it's on fire...),(Как же хочется пить... Горло словно горит...)
line-23,？？？,......究竟有多长时间了......？,( ...How long have I been here...?),(...Сколько времени уже прошло...?)
line-33,赏金猎人,真厉害啊，都被吊在这一天多了，真亏她能忍得住啊。,"Hah, what a trooper... She's been dangling here for more than a day, but still won't crack.","Надо же... Она висит здесь уже больше суток, удивительно, что она всё ещё держится."
line-35,粗暴的赏金猎人,喂，你们可别把她搞死了，宝藏的位置她还没说呢！,"Oi, don't kill her off just yet. She still hasn't told us where the treasure is!","Эй, не убивайте её пока. Она ещё не сказала нам, где находится сокровище!"
line-43,可萝尔,......我不会.....不会告诉你的......,...I'm not... telling you anything...,...Я...  я ничего вам не скажу...
line-45,赏金猎人,别给她水喝，直到她说了为止！,Have it your way then. Don't give her any water until she decides to cooperate!,"Хорошо, будь по-твоему. Не давайте ей воды, пока она не решит говорить!"
line-55,可萝尔,我会死......吗？,(Am I... going to die?),(Я... умру?)
line-63,？？？,......,......,......
line-64,？？？,没想到就算到了卡西米尔。,"So, even in Kazimierz...","Так значит, даже в Казимеже..."
line-65,？？？,胡作非为的歹徒也是哪里都有。,...the ruffians run amok everywhere.,...повсюду бесчинствуют разбойники.
line-69,赏金猎人,嗯？哪里来的家伙，不想活了吗？,Hmm? Huh? Who the hell are you? You got a death wish?,А? Это что за парень? Помереть захотел?
line-71,粗暴的赏金猎人,喂，小子，你赶紧给我——,"Oi, kiddo, hurry and scram before...","Эй, пацан, а ну быстро..."
line-79,粗暴的赏金猎人,唔，好，好疼。,Gaaah! That... that hurt...!,Ааагх! Как... больно...!
line-80,粗暴的赏金猎人,仔细看，他这身装扮......不像是当地人啊。,That outfit of his... He's not from these parts.,Посмотрите на его наряд... Он не из местных.
line-82,赏金猎人,管他是哪里来的！他就一个人，不过是来送死的！,Who the hell cares where he's from! The moron sure doesn't value his life if he wants to fight us all by himself!,"Какая разница, откуда он! Он явно жизнью не дорожит, раз припёрся сюда один!"
line-87,？？？,所以，得把你们全部解决掉才行？,"So, I'm guessing the diplomatic approach isn't going to work?","Полагаю, придётся со всеми вами разобраться?"
line-94,粗暴的赏金猎人,噗啊！,Unngh!,Аангх!
line-100,赏金猎人,咕......,Guhh...,Гхха...
line-108,？？？,好了，他们一时半会还醒不过来，我们赶紧离开这里。,Good. They won't be bothering us for a while. Let's leave while we still can.,"Хорошо. Какое-то время они нас не побеспокоят. Давай убираться, пока можем."
line-110,可萝尔,你......你是......,Who... are you...?,Ты... Кто ты...?
line-112,？？？,别怕，没有人能再伤害你了，我会带你离开。,"Don't be afraid, nobody's going to hurt you anymore. I'll get you out of here.","Не бойся, никто не сможет больше причинить тебе вред. Я заберу тебя отсюда."
line-114,可萝尔,——,...,...
line-115,可萝尔,抱歉，我、我的头......好晕......,I'm sorry... My head is... still spinning...,"Извини, я... У меня... голова так кружится..."
line-117,？？？,你脸色不太好。没关系，让我抱着你。,"You look pretty pale. Don't worry, let me carry you then.","Выглядишь плохо. Ничего страшного, я понесу тебя."
line-118,？？？,请抓紧了。,Hold on tight.,Держись крепче.
line-120,可萝尔,嗯.....,Mm...,Мм...
line-127,,"晴 \ 能见度 14公里 ","Clear \ Visibility: 14 km ",Ясно \ Видимость: 14 км
line-128,,某村庄内,Nearby Village,Близлежащая деревня
line-133,赏金猎人,你有没有看到一个拿长枪的小子？,Have any of you seen a kid with a spear?,Видели пацана с длинным копьём?
line-135,村民,我一直待在家里，外面发生什么我不知道。,I was inside the whole time. I didn't see what was going on outside.,"Я всё время был дома. И не видел, что происходит за окном."
line-137,赏金猎人,要是让我知道你窝藏了他们，有你好看的！,You're gonna be real damn sorry if I find out you've been hiding them!,"Если узнаю, что ты их прячешь, ты у меня пожалеешь!"
line-146,村民,————,...,...
line-150,村民,那群家伙已经离开了，格拉尼骑警小姐，你们可以从壁橱里出来了。,"They've left, Miss Grani. It's safe for you two to come out now.","Они ушли, мисс Грани. Можете выходить."
line-157,格拉尼,嘿~！,Hup~!,Хоп~!
line-158,格拉尼,又被大叔帮了大忙啊。,"Looks like I owe you another one, Mister!","Вы снова меня выручили, дядя!"
line-160,村民,可萝尔你没事吧？真是苦了你了。,"Are you okay, Carol? I'm sorry you had to go through that.","Ты в порядке, Кэрол? Тебе пришлось через такое пройти..."
line-162,可萝尔,卢克大叔，多谢你，我现在好多了。,"Thank you, Luke. I'm doing much better now.","Дядя Люк, большое вам спасибо. Мне уже намного лучше."
line-164,格拉尼,因为有大家的帮助，我才能救出你。,I wouldn't have been able to rescue you without everyone's help.,"Без помощи жителей, мне бы не удалось тебя спасти."
line-166,村民,可萝尔，不要担心！,"Don't worry, Carol!","Не волнуйся, Кэрол!"
line-167,村民,骑士小姐已经和我们商量好了！她一定会拯救整个村子的！,We've been helping out this young knight here! She promised that she'd save our village!,Мисс Рыцарь уже рассказала нам! Она обязательно спасёт нашу деревню.
line-169,可萝尔,啊？小姐？,Huh? She?,"А? ""Она""?"
line-171,格拉尼,这，是啊，我是女孩子啊。,"Ah, that's right. I'm a girl.","А, да, я девушка."
line-173,可萝尔,啊？,Huh?,А?
line-175,格拉尼,唔！就算是我，也是有女孩子的自尊心的！,"Aww, come on! I might not look it, but I'm a proper maiden on the inside!",Хм! У меня тоже есть девичья гордость~!
line-177,可萝尔,欸、欸，对不起。,"Ah, um, sorry...","Ах, эм, извините..."
line-178,可萝尔,......,...,...
line-179,可萝尔,虽然看穿着不像......,"It's hard to tell from your outfit, but...","По Вашей одежде не скажешь, но..."
line-180,可萝尔,请问，您是......新受封的卡西米尔骑士大人吗？,"Excuse me, are you... the knight from Kazimierz... who was recently anointed?","Простите, Вы... новоназначенный рыцарь Казимежа?"
line-181,可萝尔,在您解救我们村子之后，会向我们征税吗？,After you save our village... Will you make us pay tribute?,"После того, как спасёте нашу деревню... Вы заставите нас платить налог?"
line-183,格拉尼,不不不，我可并不是卡西米尔人，更不是什么骑士。,"No, no. I'm not actually a knight, nor am I even from Kazimierz.","Нет-нет-нет, я не рыцарь, и я даже не из Казимежа."
line-184,格拉尼,虽然维多利亚也有骑士，但我之前是骑警啦！,"Even though Victoria does have knights, I was actually just a member of the Mounted Police!","Хотя в Виктории тоже есть рыцари, я была только офицером конной полиции!"
line-185,格拉尼,骑警和骑士不一样，是公务治安职务。骑警做事，不图回报，可不会向你们征什么税！,"Unlike the knights, our only job is to maintain public security. We don't ask for any payment in our line of duty, so of course we wouldn't tax you!","В отличие от рыцарей, наша единственная задача - обеспечивать общественную безопасность. Конная полиция не берёт плату, и не будет взимать с вас налоги!"
line-187,可萝尔,维多利亚？,Victoria?,Виктория?
line-189,格拉尼,是在卡西米尔外面的地方，我的祖辈也都是从卡西米尔迁到那里去的库兰塔人。,It's the land that lies beyond Kazimierz. My ancestors were actually all Kurantas who moved there from Kazimierz.,"Это место за пределами Казимежа. Мои предки все были курантами, переехавшими туда из Казимежа."
line-190,格拉尼,这次接到了你们的委托，也是想来卡西米尔看一看，父母的家乡是什么样......没想到会是这么严重的事态。,"I came after receiving your village's request for aid. I also wanted to see what my parents' homeland was like, but... I didn't expect the situation to be so dire.","Я приехала, получив просьбу о помощи от вашей деревни. Я также хотела увидеть родину своих родителей, но... Не ожидала, что ситуация окажется настолько серьёзной."
line-192,可萝尔,......我本来以为，交给信使的那些委托信都石沉大海了。,...Sending those pleas for help... felt like leaving messages in the bottle.,...Отправка этих мольб о помощи... была сродни оставлению посланий в бутылке.
line-193,可萝尔,毕竟那些民间互助组织从来不会在意我们这偏僻的地方。,We're used to most non-governmental organizations ignoring us because we're in such a remote location...,"В конце концов, неправительственные организации никогда не заботились о нашем отдалённом уголке..."
line-195,格拉尼,不过，为什么卡西米尔政府没有伸出援手？,"I wonder, why didn't the Kazimierz government send out any assistance?",Однако почему правительство Казимежа не предложило никакой помощи?
line-197,可萝尔,哼......首都的骑士大人们怎么会关注我们这种偏远的村子？,Hmph... Why would those high-and-mighty knights even bother coming all the way out here?,"Хм... Зачем рыцарям столицы обращать внимание на такую ​​отдалённую деревню, как наша?"
