ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,neksi0762
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act33side
__chapter__,,Chapter Name,activities/act33side/level_act33side_10_beg,再见，再见
,,,,
char-1,特蕾西娅,特蕾西娅,Theresa,Тереза
char-2,博士,博士,Doctor,Доктор
,,,,
line-10,,特蕾西娅很庆幸阿米娅睡着了。,Theresa is glad to see Amiya asleep.,"Тереза была рада, что Амия уснула."
line-11,,阿米娅没有看见博士的背叛，也没有看见特蕾西娅最后的悲伤。,"Amiya did not see the Doctor's betrayal, nor Theresa's final bout of sorrow.",Амия не видела предательства Доктора и не видела последней печали Терезы.
line-12,,在特蕾西娅将议长室中的最后一名刺客抹除的同时，那顶黑色的王冠终于安稳地传递到了阿米娅的手中。,The Black Crown finally lands neatly in Amiya's hands as Theresa takes down the final assassin in the room.,"В тот самый момент, когда Тереза устранила последнего убийцу в кабинете председателя, эта чёрная корона наконец надёжно легла в руки Амии."
line-15,特蕾西娅,没事了，阿米娅，没事了......,"It's alright, Amiya. Everything's fine...","Всё хорошо, Амия, всё хорошо..."
line-16,特蕾西娅,已经结束了。,It's over.,Всё закончилось.
line-18,,她没有看向那个已经僵直在原地的人，只是轻轻拍了拍怀中孩子的后背，在那张稚嫩的小脸上，落下一吻。,Theresa does not look at the one frozen in place before her. She gently pats the back of the child in her arms and leaves a kiss on her puerile cheek.,"Она не взглянула на того, кто застыл на месте, лишь нежно погладила ребёнка в своих объятиях по спине и поцеловала в милое детское личико."
line-22,博士,......,......,......
line-23,博士,特蕾西娅。我没办法放弃亿万生命和万年时间才换来的机会。,Theresa. I can't throw away this opportunity I spent millions of lives and myriads of years to reach.,"Тереза. Я не могу отказаться от возможности, добытой ценой бесчисленных жизней и тысячелетий."
line-24,博士,我没办法允许你们突破源石的规划。没办法允许你......将这片大地变成一个美好但短暂的梦。,I can't let you ruin the plan for Originium. I can't... let you turn this great land into a beautiful but fleeting dream.,"Я не могу позволить тебе нарушить план развития Ориджиниума. Не могу позволить тебе... превратить эту землю в прекрасный, но мимолётный сон."
line-26,特蕾西娅,所以，你伤害了阿米娅。,And that's why you put Amiya in harm's way.,Поэтому ты причинил боль Амии.
line-28,博士,......,......,......
line-29,博士,......既然魔王已看过了我的记忆，那我们多说无益。,"...Seeing as the King of Sarkaz has already seen my memories, I believe there's no need for any further explanation.","......Раз уж Король Сарказов уже видела мои воспоминания, нам больше не о чем говорить."
line-30,博士,你恨我吗？,Do you hate me?,Ты ненавидишь меня?
line-32,特蕾西娅,你伤害了阿米娅，你也即将伤害凯尔希，和那些信任你的将士。,"You hurt Amiya. You're about to hurt Kal'tsit, and the fighters who trust you so deeply.","Ты причинил боль Амии, и скоро причинишь боль Кальцит, и тем воинам, что доверяли тебе."
line-34,特蕾西娅,这是你对待如今这些生命的方式吗？,Is this how you treat those lives?,"Это твой способ обходиться с жизнями, которые существуют сейчас?"
line-36,博士,我会尽全力保证他们不在接下来的冲突中丧命。这也是特雷西斯给我的承诺。,I'll do what I can to ensure their safety in the ensuing conflict. This is what Theresis swore to me as well.,"Я сделаю всё возможное, чтобы они не погибли в грядущем конфликте. Это обещание, данное мне Терезисом."
line-37,博士,只要......你的死亡。,We only... need you to die.,При условии... твоей смерти.
line-39,特蕾西娅,......博士，你是出于此刻的愧疚而来到我面前的吗？,Doctor... did you present yourself before me out of guilt?,"......Доктор, ты пришёл ко мне из-за нынешнего чувства вины?"
line-41,博士,比起我所做的事情，愧疚的分量......太轻。,"Guilt... is too light of a word, compared to everything I've done.","Вина... это слишком мягкое слово по сравнению со всем тем, что я сделал."
line-42,博士,在凯尔希都不熟知的年代里，我们做出了太多选择。,We made too many choices in a time that even Kal'tsit isn't familiar with.,"В те времена, о которых не знает даже Кальцит, мы сделали слишком много выборов."
line-43,博士,我只是......,I just...,Я просто...
line-45,特蕾西娅,等阿米娅长大后，若她还记得我，若她问起我，你是否会如实告知她......我是怎样离去？,"When Amiya grows up, if she remembers me, if she asks about me, will you tell her the truth... of how I left her?","Когда Амия вырастет, если она будет помнить меня и спросит о том, как я ушла... скажешь ли ты ей правду?"
line-47,博士,不会。,No.,Нет.
line-48,博士,我会帮助他们寻找另一种生活。,I'll help them search for another way to live.,Я помогу им найти другой путь жизни.
line-50,特蕾西娅,寻找在源石毁灭泰拉之前最后的安稳？,You'll help them search for a final moment of peace before Originium destroys Terra?,"Найти последний покой перед тем, как Ориджиниум погубит Терру?"
line-52,博士,......抱歉。这无法改变。,I'm sorry... That's the one thing that's set in stone.,......Прости. Этого не изменить.
line-54,特蕾西娅,你明知道这是无用功......你却仍旧，想治好阿米娅的病。,You know it's futile... and yet you still wish to cure Amiya's sickness.,"Ты прекрасно знаешь, что это бесполезно... но всё равно хочешь вылечить болезнь Амии."
line-55,特蕾西娅,哪怕在不远的未来，阿米娅的家人、家乡，和你们未来可能建立起联系的那些人和事，都将成为不变的源石。,"Even if her family and homeland will all turn into the same hunks of Originium in the not-too-distant future, along with anyone and anything you'll ever know...","Даже если в недалёком будущем семья Амии, её родной дом и те люди и вещи, с которыми вы могли бы связать свою судьбу, станут лишь куском Ориджиниума."
line-56,特蕾西娅,你也不忍看着眼前的孩子受苦。,You still don't want the girl before your eyes to suffer.,"Ты всё ещё не хочешь, чтобы ребёнок перед тобой страдал."
line-58,特蕾西娅,这是你的真心。是你的纯洁。是你的本性。,That's what you sincerely feel. Your purest thoughts. Your innate nature.,Это твоя искренность. Твоя чистота. Твоя истинная природа.
line-60,博士,......,......,......
line-62,特蕾西娅,我其实......很欣慰，博士。,"And actually... I'm glad, Doctor.","На самом деле я... рада, Доктор."
line-63,特蕾西娅,我很高兴，凯尔希愿意相信的那个你，愿意相信我们的那个你，是真实存在的。,"I'm glad you're real and true—the one who Kal'tsit willingly trusts, and in turn trusts us.","Я счастлива, что тот Доктор, которому готова верить Келси, тот, кому готовы верить мы — действительно существует."
line-65,特蕾西娅,你......源石的缔造者......{@nickname}。你是毁去一切的毒，也可以是一切的解药。,"You... the creator of Originium... {@nickname}. You are the poison that ruins everything, but also the antidote to it all.","Ты... создатель Ориджиниума... {nickname}. Ты — яд, разрушающий всё, но ты же и противоядие."
line-67,博士,......什么？,...What?,......Что?
line-71,,看见特蕾西娅强撑着站起，将双手伸向自己，博士本能地想要后退。,"Theresa strains to stand up, stretching her arms towards the Doctor, instilling in the latter an instinctive urge to retreat.","Увидев, как Тереза, превозмогая слабость, встала и протянула к нему руки, Доктор инстинктивно захотел отступить."
