ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,main_12
__chapter__,,Chapter Name,obt/main/level_main_12-07_end,火线重逢
,,,,
char-1,推进之王,推进之王,Siege,Королева Сигнал
char-2,“灰礼帽”,“灰礼帽”,'Trilby Asher',«Серый цилиндр»
char-3,阿米娅,阿米娅,Amiya,Амия
char-4,伊内丝,伊内丝,Ines,Инес
char-5,因陀罗,因陀罗,Indra,Индра
char-6,摩根,摩根,Morgan,Морган
char-7,重伤的市民,重伤的市民,Maimed Citizen,Тяжелораненый горожанин
char-8,达格达,达格达,Dagda,Дагда
char-9,贝尔德,贝尔德,Baird,Бэрд
char-10,饥饿的暴徒,饥饿的暴徒,Starving Thug,Голодный бандит
char-11,愤怒的暴徒,愤怒的暴徒,Angry Thug,Разъяренный бандит
char-12,雷德,雷德,Red,Рэд
char-13,萨卡兹士兵,萨卡兹士兵,Sarkaz Soldier,Сарказ-солдат
char-14,明椒,明椒,Paprika,Минцзяо
char-15,曼弗雷德,曼弗雷德,Manfred,Манфред
char-16,卡铎尔,卡铎尔,Cador,Кадор
char-17,戴菲恩,戴菲恩,Delphine,Дельфина
,,,,
line-13,推进之王,......,...,……
line-14,推进之王,这里变了很多。,It's really changed around here.,Здесь многое изменилось.
line-16,“灰礼帽”,废墟，尸体，还有死人身上飘来的源石粉尘。,"Ruins, corpses, and Originium dust floating from the dead.","Руины, трупы и вездесущая пыль ориниума, принесенная от тел умерших."
line-17,“灰礼帽”,想必，作为矿石病专家的罗德岛，不需要我为各位操心防护问题。,"I imagine you Rhodes Islanders don't need me worrying about your protection, being Oripathy specialists and all.","Полагаю, раз уж вы — «Родос», эксперты по Орипатии, мне не стоит беспокоиться о ваших средствах защиты."
line-19,阿米娅,这场战争在不断催生新的感染者......他们在这种处境下只会更加艰难。,This war has been creating new Infected without end... and life under these circumstances can only make it harder.,Эта война постоянно порождает новых зараженных... В таких условиях им приходится еще тяжелее.
line-21,伊内丝,他们突然被丢入了这片混乱之中，对这种残忍的坠落恍若未觉，无论是疾病的苦痛，还是战争的伤痕......,"They've been thrown into this chaos without warning, and they may not realize how cruel a fall it is yet. That goes for the pain of their illness, and the scars of war...","Их внезапно бросили в пучину этого хаоса, они даже не успели осознать всю жестокость этого падения — ни муки болезни, ни шрамы войны…"
line-22,伊内丝,但他们很快就会了解这些，加倍了解。,"But they'll know soon enough, and twice over.",Но очень скоро они поймут всё. Поймут вдвойне.
line-23,伊内丝,我们都能想象得到它会怎样感染溃烂，人们会在迷茫中死去，或者因愤恨而集结。,"We all have a clear picture of how it infects and festers, how the people die in their confusion, or amass in their hatred.","Мы все можем представить, как эта язва будет распространяться: люди будут погибать в смятении или объединяться ради мести."
line-25,伊内丝,这种愤恨的归宿，你曾经见过，博士。,"And you've seen where that hatred leads, Doctor.","Ты уже видел, к чему приводит подобная ненависть, Доктор."
line-28,,整合运动。,Reunion.,Воссоединение.
line-31,伊内丝,战争给了人们例外的借口，没有了生活的遮掩，结果也许会更糟。,"War's given people a great excuse. Without the veil of daily life, things could get even worse.","Война дает людям оправдание для исключительных мер, а когда исчезает завеса нормальной жизни, результаты могут стать куда хуже."
line-33,阿米娅,不论是出于何种原因，我们都必须阻止特雷西斯。,"Whatever reason it is, we need to stop Theresis.","По какой бы причине это ни происходило, мы должны остановить Терезиса."
line-35,阿米娅,......还有特蕾西娅。,...And Theresa.,……и Терезию.
line-41,“灰礼帽”,......收到。,...Roger.,……принято.
line-42,“灰礼帽”,看来，我们的同行要暂时结束了，工作就是这样，总有数不清的琐事需要你去忙。,It looks like we'll have to part ways for the moment. So goes our line of work—always piles of things nagging at you to deal with them.,"Похоже, наше сотрудничество временно завершено. Работа есть работа, всегда найдется бесконечное множество мелочей, требующих внимания."
line-43,“灰礼帽”,那么，我需要稍稍告辞一下。,Right. I think I'll be seeing you in a bit.,"Что ж, мне пора откланяться."
line-44,“灰礼帽”,各位，别偷懒。,"Stay productive, now.","Дамы и господа, не бездельничайте."
line-51,因陀罗,他让我感觉......毛骨悚然。,"Bleeding hell, he... he makes my hairs stand on end.",От него меня… бросает в дрожь.
line-52,因陀罗,我连当年见着惠特曼警长都没有这么犯恶心。,Not even old PC Whitman ever made me feel so sick.,Меня даже от шерифа Уитмена в свое время так не тошнило.
line-54,因陀罗,好啦，各位，都高兴点，欢迎来到我们格拉斯哥帮的地盘，起码是曾经的地盘。,"Alright, everyone, chin up. Welcome to the HQ of we merry Glasgow Gangers. I mean, I can guarantee it WAS at least.","Ладно, народ, повеселее! Добро пожаловать на территорию нашей банды Глазго — ну, по крайней мере, на ту, что была ею раньше."
line-56,因陀罗,真不知道我们走后，贝尔德把拳馆打理得怎么样......,Don't know how Baird's been running the gym since we left...,"Интересно, как там Бэрд управлялся с боксерским залом, пока нас не было…"
line-58,因陀罗,......,...,……
line-59,因陀罗,推进之王，摩根，你们怎么都不说话？,"Siege, Morgan, you not got anything to say?","Королева Сигнал, Морган, почему вы молчите?"
line-61,摩根,我......,I...,Я…
line-63,摩根,因陀罗......我好像踩到什么东西了......,"Indra, love... I think I stepped on something...","Индра… кажется, я на что-то наступила…"
line-65,因陀罗,啊？难道不是哪家养的宠物，又在大街上......,Eh? Probably just someone's pet scarpering for the street aga...,А? Это не чей-нибудь питомец снова наделал дел посреди улицы…
line-67,因陀罗,——,—,——
line-68,因陀罗,那是什么......一只......,The hell is... is that a...?,Что это… какая-то…
line-71,,阿米娅，别看。,"Amiya, don't look.","Амия, не смотри."
line-74,阿米娅,......,......,……
line-75,阿米娅,我已经看见了，博士。我在那些来自过去的幻影中，看到过比这里还要悲惨得多的境遇。,"I've seen already, Doctor. In those illusions from the past, I've seen sights still more tragic than the ones here.","Я уже видела, Доктор. В тех призраках из прошлого мне доводилось наблюдать ситуации куда более печальные, чем эта."
line-76,阿米娅,我们正是为事态不至于发展到那一步而来。,We're here precisely to ensure the situation doesn't unfold that far.,"Мы здесь как раз для того, чтобы дела не зашли так далеко."
line-78,阿米娅,那位戴着礼帽的先生把我们带到这里，准许我们在那项交易之外按照自己的意愿行动，我们都清楚他的目的。,"The hatted man led us here, then permitted us to act freely on our own wishes outside of the deal we made. His goal is clear to us.","Тот джентльмен в цилиндре привел нас сюда и позволил действовать по нашему усмотрению, помимо той сделки. Мы все прекрасно понимаем, какова его цель."
line-79,阿米娅,他知道我们不会坐视不管，他希望这里的人把我们的行动归功于他服务的公爵。,"He knows we won't be content with letting all this be, and he hopes the people here will credit the Duke he serves with our actions.","Он знает, что мы не будем стоять в стороне, и хочет, чтобы местные жители приписали наши действия герцогу, которому он служит."
line-81,阿米娅,但是我不在乎。,But I don't care.,Но мне все равно.
line-82,阿米娅,我不在乎她想怎么利用我们，我不在乎她希望积累什么样的名望。,I don't care how the Duke wants to use us. I don't care what kind of prestige she's hoping to rake in.,"Мне не важно, как она хочет нас использовать, не важно, какой славы она стремится достичь."
line-83,阿米娅,我不在乎这会不会影响其他哪位公爵对人心的争夺，又会迫使他们对我们采取什么行动。,"I don't care if this will impact some other duke's fight for their people's affections, or compel them to act in whatever way.","Мне не важно, повлияет ли это на борьбу других герцогов за влияние, или вынудит их предпринять какие-то шаги против нас."
line-85,阿米娅,我只是不能坐视不管。,All that matters is I cannot let this be.,Я просто не могу стоять в стороне.
line-86,阿米娅,这不是与我们无关的某个国家，某个城市，某个街区的灾难。,"This isn't some disaster taking place in a country, in a city, in a neighborhood unrelated to us.","Это не просто катастрофа в какой-то стране, городе или квартале, не имеющая к нам отношения."
line-87,阿米娅,这发生在每一个活生生的人身上。,This is happening to each and every living person.,Это происходит с живыми людьми.
line-88,阿米娅,信任向来是脆弱的，一旦崩塌，想要重建便更难。,"Trust has always been a fragile thing, collapsed in a moment, ever harder to rebuild.","Доверие всегда было хрупким, и стоит ему рухнуть, восстановить его будет еще сложнее."
line-90,阿米娅,快些，博士，我随身带了些药品，虽然不多，但我们仍需尽己所能。,"Quickly, Doctor. We might not have that many pharmaceuticals on us, but we have to make all the use of them that we can.","Скорее, Доктор, у меня с собой есть немного лекарств. Их мало, но мы должны сделать всё, что в наших силах."
line-104,重伤的市民,......,......,……
line-106,阿米娅,好，这样应该就可以了。,"There, that should be okay now.","Хорошо, так будет лучше."
line-108,阿米娅,对不起，我不是个专业的医生，这只是些最基本的应急处理。,"Sorry, I'm not a professional doctor. This is just some basic first-aid.","Простите, я не профессиональный врач, это лишь базовая первая помощь."
line-109,阿米娅,稳定你的矿石病感染症状，防止伤口进一步恶化，现在能做的，也就这些了。,"We've stabilized your Oripathy symptoms, and stopped your wounds worsening. That's all we can do for now.","Я стабилизировала симптомы вашей Орипатии, чтобы раны не усугубились. Сейчас это всё, что я могу сделать."
line-110,阿米娅,你需要休息与加强营养，剩下的就得看运气了。,"You need rest, and supplements. After that, it's down to luck.","Вам нужен отдых и усиленное питание, остальное зависит от удачи."
line-112,阿米娅,需要我们送你回家吗？,Do you need us to bring you home?,Нам проводить вас домой?
line-115,重伤的市民,不，不，不要！,"No, no, no need!","Нет, нет, не надо!"
line-116,重伤的市民,我只是饿昏了头，在路边睡了一会儿而已。,"Hunger knocked me out, that's all. Just, was sleeping for a bit on the pavement.",Я просто свалился от голода и прилег отдохнуть у дороги.
line-117,重伤的市民,你们......你们想要什么？我没别的东西了。,What... What'll you be wanting? I've got nothing to my name.,Вы… чего вы хотите? У меня больше ничего нет.
line-119,阿米娅,......什么也不需要。,We don't want anything.,……нам ничего не нужно.
line-121,重伤的市民,什......什么也不需要？,N... Nothing?,Ч… ничего не нужно?
line-123,阿米娅,回去吧，先生。,"Go back home, sir.","Возвращайтесь домой, сэр."
line-132,阿米娅,（这是些吃的，藏好，别被其他人发现。）,(Here's some food. Keep it hidden. Don't let anyone else find out.),"(Вот немного еды. Спрячьте её, чтобы никто не увидел.)"
line-134,重伤的市民,你，你们......,Wh—Who the...?,"Вы, вы…"
line-135,重伤的市民,好的，好的，我得离开这里......,"Alright, alright. I'll be out of here, then...","Хорошо, хорошо, мне нужно уйти отсюда…"
line-137,阿米娅,（你饿得太久了，别吃得太急，要先慢慢让身体机能恢复。）,(You've gone too long without food. Don't eat too quickly. You need to let your bodily functions recover bit by bit first.),"(Вы слишком долго голодали, не ешьте быстро. Нужно постепенно восстанавливать функции организма.)"
line-139,重伤的市民,我知道了。,"Right, got it...",Я понял.
line-140,重伤的市民,......谢谢。,Thank you.,……спасибо.
line-149,伊内丝,阿米娅，在盯着我们的人有很多。,"Amiya, we have a lot of people staring at us.","Амия, за нами наблюдает много людей."
