ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act17d0
__chapter__,,Chapter Name,activities/act17d0/level_act17d0_07_end,地堡防线
,,,,
char-1,皮加尔,皮加尔,Picale,Пигаль
char-2,战车,战车,Tachanka,Чэрио
char-3,巡林者,巡林者,Rangers,Рейнджер
char-4,源石畸变体,源石畸变体,Originiutant,Искаженное существо из ориниума
char-5,雷蛇,雷蛇,Liskarm,Лисп
char-6,芙兰卡,芙兰卡,Franka,Франка
char-7,奥克芬,奥克芬,Occphen,Окфен
char-8,霜华,霜华,Frost,Фрост
,,,,
line-10,皮加尔,滚开！,Away with you!,Убирайся!
line-19,皮加尔,真是没完没了。,This is endless!,Да сколько можно.
line-28,战车,他们到底造了多少这种鬼东西！,How many of these *profanity* things did they make?!,Сколько же этих тварей они наплодили!
line-41,巡林者,雷蛇！小心身后！,Liskarm! Look out behind you!,"Рейнджер! Осторожно, сзади!"
line-43,源石畸变体,噶......,Gaa...,Гр-р...
line-46,雷蛇,！！,! !,!!
line-49,芙兰卡,小心！,Watch out!,Берегись!
line-73,雷蛇,芙兰卡！,Franka!,Франка!
line-74,雷蛇,你在搞什么！,What are you doing?!,Ты что творишь?!
line-75,雷蛇,领主小姐，帮我搭把手！,"Give me a hand, Miss Lord!","Миледи, помогите мне!"
line-77,皮加尔,好，好的!,"Oh, okay!",Хо-хорошо!
line-87,芙兰卡,你......快跑。,You... run!,Ты... беги скорее.
line-89,雷蛇,你不要说话了！,Don't speak!,Перестань болтать!
line-91,芙兰卡,我的腿......你......你，别管我了。,My leg...You... just leave me.,Моя нога... Ты... брось меня.
line-93,雷蛇,不要说蠢话！,Cut the bullshit!,Не говори глупостей!
line-97,雷蛇,我背你，快上来。,"Piggyback, quick!","Я тебя понесу, залезай быстрее."
line-99,皮加尔,它们又冲上来了！,They're coming back!,Они снова наступают!
line-107,战车,趁现在，快跑！,Now! Get out of here!,"Пока есть шанс, бегите!"
line-109,奥克芬,到这来！,Over here!,Сюда!
line-111,雷蛇,奥克芬先生！你怎么上来了！,Mr. Occphen! What are you doing here?,Мистер Окфен! Как вы здесь оказались?
line-113,奥克芬,我实在是做不到待在下面干等着，我可也是罗德岛干员啊！,How could I just wait around down there? I'm a Rhodes Island Operator too!,"Я просто не мог сидеть внизу сложа руки, я ведь тоже оперативник Родос Айленда!"
line-115,雷蛇,太好了！帮大忙了！,Damn straight! You really saved us!,Отлично! Вы очень помогли!
line-117,巡林者,准备引爆爆炸物......,Get ready to blow the engine...,Готовьте взрывчатку...
line-118,巡林者,三、二、一......,"Three, two, one...","Три, два, один..."
line-136,战车,怎么样了？,What's the situation?,Как успехи?
line-138,巡林者,只是短暂被击退，用不了多久它们还会再来的。,"They've been pushed back, for now. But they'll come for us again before long.","Только ненадолго отбросили, они скоро вернутся."
line-140,霜华,它们......好像变少了一点？,There... seems to be less of them?,"Их... кажется, стало меньше?"
line-141,霜华,“迎宾踏垫”已经用完了，我也没有子弹了。,I'm all out of 'welcome mats.' Ammo's gone too.,"Мои «приветственные коврики» кончились, и патронов больше нет."
line-143,霜华,亚历山大，接下来怎么办？,"What's the plan, Alexsandr?","Александр, что теперь?"
line-145,战车,去避难所。,Get to the shelter.,В убежище.
line-147,霜华,什么？,What?,Что?
line-149,战车,去避难所！带着罗德岛的干员，去避难所！,Get to the shelter! Take the Rhodes Island Operators and get to shelter!,В убежище! Забирайте оперативников Родоса и уходите в убежище!
line-151,霜华,那你呢？,What about you?,А как же ты?
line-153,战车,我掩护你们。,I'll cover you.,Я прикрою вас.
line-155,霜华,掩护？那谁掩护你？,Cover? And who's covering you?,Прикроешь? А кто прикроет тебя?
line-157,战车,我不需要掩护。,I don't need cover.,Мне не нужно прикрытие.
line-159,霜华,冷静点，亚历山大！,Hey! Get it together! Alexsandr!,"Остынь, Александр!"
line-163,战车,我很冷静。,I'm all together.,Я спокоен.
line-165,战车,我已经受够了不停地躲藏和撤退了。,I'm tired of all the hiding and running.,С меня довольно вечных бегов и отступлений.
line-166,战车,撤退无法带来战争的胜利，历史无数次证明了这件事。,Running can't win you the war. History's shown.,"Отступление не приносит победы в войне, история это доказала бесчисленное количество раз."
line-168,霜华,但我们不是在打仗。,But this isn't a war.,Но мы ведь не на войне.
line-171,战车,对我来说，这就是在打仗。,It is to me.,Для меня это именно война.
line-172,战车,当他们向感染者掏出武器，想要加害我所熟识之人时，这就是一场战争。,"When they pull weapons on the Infected and try to kill my friends, it's a war.",Когда они поднимают оружие на зараженных и хотят навредить моим близким — это настоящая война.
line-173,战车,我这辈子经历的战争太多了。,I've been through plenty of wars in my time.,Я слишком много войн повидал на своем веку.
line-174,战车,只要我在这里多干掉一只该死的怪物，那些镇民存活下来的几率就会上升。,"If I can kill even one more *profanity* monster here, it'll give the townsfolk a better shot at survival.",Каждая уничтоженная мной тварь — это еще один шанс выжить для здешних жителей.
line-175,战车,我就会守在这里，直到弹尽粮绝，直到天昏地暗。,I'll make my stand here until I run out of ammo. Until the very end.,"Я буду стоять здесь до последнего патрона, пока солнце не скроется за горизонтом."
line-176,战车,战争没有结束，我为什么要撤退？,The battle's not over. How could I retreat?,"Война не окончена, с чего мне отступать?"
line-178,霜华,你自己说过不要逞英雄的！,You're the one who says not to play hero!,Ты сам говорил не лезть в герои!
line-180,战车,但是我不觉得这是“逞英雄”，蒂娜。,"I don't think I'm playing hero, Tina.","Я не считаю, что это «геройство», Тина."
line-181,战车,我只是在做对的事情。,I'm just doing the right thing.,Я просто поступаю правильно.
line-182,战车,无论如何，这一切都得在今天结束。,"No matter what happens, the show ends here, today.","Как бы то ни было, всё закончится сегодня."
line-184,霜华,亚历山大！,Alexsandr! !,Александр!
line-186,巡林者,我会留下来的。,I'm staying too.,Я останусь.
line-188,霜华,老先生，怎么你也......,But why...?,"Старик, и ты туда же..."
line-190,巡林者,事情总归会变成这样，从你们决定留下来帮忙的时候，其实大家都预料到了。,"It was always going to turn out like this. We all knew it, from the moment you decided to stay and fight.","Всё к тому шло. Как только вы решили остаться помочь, мы все это предвидели."
line-191,巡林者,我会留下来，和这位战士协助防守，如果情况太糟，我可以掩护他撤离。,"I'll stay behind and help the warrior hold them back. And if things go bad, I'll cover his retreat.","Я останусь, помогу этому воину держать оборону. А если станет совсем худо, я прикрою его отход."
line-193,霜华,老先生......,Mr. Rangers...,Старик...
line-200,霜华,亚历山大，给你。,"Alexsandr, take this.","Александр, держи."
line-202,战车,这是什么？,What's this?,Что это?
line-204,霜华,我自己试做的源石爆炸物，只剩下这两个了。,An Originium bomb I tried my hand at making. There's only two left.,"Моя экспериментальная ориниумная взрывчатка, остались только эти две."
line-206,战车,......谢谢。,...Thanks.,...Спасибо.
line-208,霜华,活着！,Stay alive!,Выживи!
line-217,战车,......我不敢保证。,...No promises.,...Не могу обещать.
line-221,战车,你没和她说实话，你也没打算撤。,You didn't tell her the truth. You're not going to run.,"Ты сказал ей не всю правду, и отступать не собираешься."
line-223,巡林者,哈哈哈......你就不要戳穿我这个老头子的小算盘了。,Hahaha... You didn't have to go blowing this old man's scheme.,Ха-ха... не стоит раскрывать карты этого старика.
line-224,巡林者,你需要有人帮你顶住那些怪物。,You need someone to hold these monsters back.,"Тебе ведь нужен кто-то, чтобы сдерживать этих тварей."
line-230,,"年迈的游侠拿出一把长刀。 ",The aged ranger takes out a blade.,Пожилой рейнджер вытащил длинный клинок.
line-235,战车,这是......,This is...?,Это...
line-237,巡林者,据说是老领主的佩刀，我借来用了。,The old Lord's blade. I borrowed it.,"Говорят, клинок старого лорда. Я взял его на время."
line-238,巡林者,这把刀很好，老领主的品位很不错。,This is a fine blade. The old Lord had good taste.,"Хороший меч, у старого лорда был отличный вкус."
line-239,巡林者,漂亮的花纹钢，手工镶嵌的松绿石刀柄，不比那些现代工业生产的武器差多少。,"Beautifully decorated steel, and a hand-lain turquoise handle that's as nice as any modern industrially-manufactured weapon.","Прекрасная дамасская сталь, рукоять с бирюзой ручной работы — ничуть не хуже современных заводских поделок."
line-240,巡林者,比起冲在最前线，拿着弓箭在后方要安全得多。,It's a lot safer to stand in the back with a bow and arrow than fighting on the front line.,"В ближнем бою безопаснее, чем размахивать луком в тылу."
line-246,,年迈的萨弗拉游侠舞动了弯刃的长刀。,"The old Savra ranger dances with his long, curved blade.",Пожилой рейнджер-савра взмахнул изогнутым клинком.
line-251,巡林者,我老了，动作迟钝了许多。,I'm so much older and slower than I was.,"Я уже не тот, движения стали медленнее."
line-253,战车,但是这把刀，依旧是锋利的。,"But the blade, she's as sharp as ever.",Но этот клинок по-прежнему остер.
line-255,巡林者,我还一直都不知道你的名字，战士。,"I still don't know your name, warrior.","Я до сих пор не знаю твоего имени, воин."
line-257,战车,亚历山大·塞纳维耶夫。,Alexsandr Senaviev.,Александр Сенавьев.
line-258,战车,叫我亚历山大就行了。,You can call me Alexsandr.,Зови меня просто Александр.
line-260,巡林者,我也应该告诉你我的名字。,I should tell you my name too.,Тогда и я должен представиться.
line-261,巡林者,但是从鲜血涂抹山谷的那天起，我的名字也随着过去的一切掩盖在黄沙之下了。,"But the sands buried my name the day we stained the valley red with blood, along with the past.","Но с того дня, как долина обагрилась кровью, мое имя погребено под песками вместе со всем прошлым."
line-263,战车,没关系。,It's fine.,Ничего страшного.
line-264,战车,你决定留下战斗，这很重要。,You decided to stay and fight. That's what matters.,"Важно то, что ты решил остаться и сражаться."
line-265,战车,“巡林者”。,'Rangers'.,«Рейнджер».
line-270,战车,“当时他们都说我要死了，但是他们错了，我重生了。”,'They told me I'd died. They were wrong. I was reborn. ',"«Тогда они говорили, что я умру, но они ошибались. Я переродился»."
line-271,战车,无论那些怪物有多少只。,No matter how many of those monsters there are.,"Неважно, сколько их там."
line-272,战车,让它们放马过来。,Let them come.,Пусть подходят.
