ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,naoshka_v
__language__,,Language,en_US,ru_RU
char-1,可萝尔,可萝尔,Carol,Кэрол
char-2,格拉尼,格拉尼,Grani,Грани
,,,,
line-8,可萝尔,格拉尼，你要走了吗？那位斯卡蒂小姐呢？,"Grani, are you leaving? What about Miss Skadi?","Грани, ты уезжаешь? Что насчёт мисс Скади?"
line-10,格拉尼,嗯，我该回罗德岛复命了，会找时间回来看你的。斯卡蒂说喜欢独处，一个人先走了。,"Yeah, it's about time I head back to Rhodes Island for my next assignment. I'll find time to come see you. As for Skadi, she's a bit of a loner, so she left by herself.","Да, мне уже пора бы вернуться в Родос Айленд для следующего задания. Я ещё выкрою время навестить тебя. Что касается Скади, она предпочитает быть одной, поэтому уехала первой."
line-11,格拉尼,有斯卡蒂的名声在，不会有赏金猎人再来骚扰你们了。,"With Skadi's infamy well known around here, the bounty hunters should steer clear of this place from now on.","Учитывая репутацию Скади, охотники за головами теперь будут сторониться этого места."
line-13,可萝尔,嘻嘻，是啊，恢复生产可能还需要一点时间，但......这是新生活的开始。,"Hehe, that's true. It might take a while for us to rebuild, but... this is the beginning of our new lives.","Хихи, это правда. Восстановление может занять некоторое время, но... это начало нашей новой жизни."
line-14,可萝尔,路上小心。下次就到丰收的季节再来吧，让我好好招待你。,"Well, take care. Come visit us during the next harvest season. We'll treat you to something special.","Что ж, позаботься о себе. Приезжай к нам в гости в следующий сезон урожая. Мы угостим тебя чем-нибудь особенным."
line-16,格拉尼,嘿嘿，那说定了！,"Hehe, sounds good to me!","Хехе, звучит здорово!"
line-18,可萝尔,对了，信使刚刚送来这封信。虽然说是发给滴水村的，但收信人写的是你。,"Oh right, a messenger just brought this letter. It's addressed to Dewville, but it says here that it's for you.","Ох точно, гонец только что доставил это письмо. Оно адресовано в Капель, но получатель – ты."
line-20,格拉尼,啊，这是罗德岛的信封，应该是从联络处的通讯转录过来的吧。这里几乎收不到讯号，也难为大家了。,"Oh, it's an envelope from Rhodes Island. They must have found me through the liaison office's directory. This place is off the grid, so that probably made it harder for everyone.","О, это конверт Родос Айленд. Должно быть, меня нашли через отдел связи. Здесь не ловит сигнал, так что всем, наверное, пришлось повозиться."
line-21,格拉尼,我看看......,Let's see here...,Посмотрим...
line-23,,（格拉尼启，斯卡蒂已擅自前往滴水村，未任命其任何任务，小心对待。）,(To Grani: Skadi has set off for Dewville without our permission. She's not there on a mission. Be careful.),(К Грани: Скади отправилась в Капель без нашего разрешения. Она не на задании. Будь осторожна.)
line-24,,（祝一切顺利     临光）,"(Good luck, Nearl)","(Удачи, Ниарл)"
line-26,格拉尼,哎呀，这个，我早就清楚啦......,"Come on, tell me something I don't know...","Вот же, я это и сама уже знаю..."
line-28,可萝尔,唔，你在干什么，格拉尼？,"Hey, what are you doing, Grani?","Эй, что ты делаешь, Грани?"
line-30,格拉尼,折纸飞机啊。,Making a paper airplane.,Бумажный самолётик.
line-31,格拉尼,罗德岛的信纸材料很好，能飞很远呢。,Rhodes Island stationery is some high quality stuff. Planes like these fly a long way.,Бумага для писем в Родос Айленд очень высокого качество. Такие самолётики далеко летают.
