ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
char-1,主持人,主持人,Host,Ведущий
char-2,观众,观众,Audience,Зритель
,,,,
line-8,主持人,欢迎你们来到一年一度的汐斯塔黑曜石节！,Welcome to the annual Obsidian Festival!,Добро пожаловать на ежегодный фестиваль Обсидиана в Сиесте!
line-9,主持人,汐斯塔！让我听到你们的声音！！,Siesta! Let me hear you!!,Сиеста! Я хочу услышать ваши голоса!!
line-14,观众,（狂热的欢呼声）,(Thunderous cheering),(Фанатские восторженные крики)
line-16,主持人,无论你是什么种族，从哪个城市来，从今天开始，抛弃自己的身份，忘掉所有的烦恼！,"No matter who you are or where you're from, forget about all that stuff from now on and leave your troubles behind!","К какой бы расе вы ни принадлежали, из какого бы города ни прибыли — отбросьте свои звания и забудьте обо всех тревогах, начиная с сегодняшнего дня!"
line-17,主持人,黑曜石节日需要的是每一个人的参与！！融入！！,"The Obsidian Festival needs each and every one of you to take part in it!! Live it, breathe it, feel it!!",Фестиваль Обсидиана требует участия каждого из вас!! Растворитесь в нём!!
line-18,主持人,把你们每个人的手都举到最高，让我能看到你们每一个人！,Let me see those hands! I want to see all of y'all!,"Поднимите свои руки как можно выше, чтобы я мог видеть каждого из вас!"
line-22,观众,（狂热的欢呼声）,(Thunderous cheering),(Фанатские восторженные крики)
line-24,主持人,老规矩，今年我们也会选出我们黑曜石节的最受欢迎艺人！！,"This year, we're going to select our Hottest Artist, just like we do always do!!","По старой традиции, в этом году мы снова выберем нашего самого популярного артиста фестиваля Обсидиана!!"
line-25,主持人,所以，在狂欢之余，也别忘了给自己最喜欢的音乐艺人进行<color=#ee4321>投票</color>。,"So, while you're having the time of your life during the festival, don't forget to <color=#ee4321>vote</color>!","Поэтому, не забывайте в пылу веселья отдать <color=#ee4321>голос</color> за вашего любимого музыкального исполнителя."
line-26,主持人,注意！你<color=#ee4321>只有一次机会</color>做出选择，选择的结果将不会有机会做变更。,"Attention! You will only have <color=#ee4321>one chance</color>to vote, and you won't be able to change your mind after you've made your decision.","Внимание! У вас есть <color=#ee4321>только одна попытка</color> сделать выбор, и изменить своё решение будет невозможно."
line-27,主持人,但是也请不要担心，投票结果的高低都<color=#ee4321>不会影响</color>大家获得的奖励！,"But don't worry, as the results <color=#ee4321>will not affect</color> the rewards you get!","Но, пожалуйста, не волнуйтесь: количество полученных голосов <color=#ee4321>никак не повлияет</color> на ваши награды!"
line-28,主持人,只要你做出了选择并<color=#ee4321>完成了所有里程碑任务</color>，你将获得相应的里程碑奖励！,"As long as you cast your vote and <color=#ee4321>complete all the milestone missions</color>, you'll receive the milestone rewards corresponding to the artist you voted for!","Как только вы сделаете выбор и <color=#ee4321>выполните все задания этапов</color>, вы получите соответствующие награды!"
line-32,观众,噢噢噢噢噢噢！,Whoooooooooo!,О-о-о-о-о-о!
line-34,主持人,所以，请不要犹豫，为你最喜欢的艺人投上宝贵的一票吧！,Don't hesitate to vote for your favorite artist!,Так что не стесняйтесь отдать свой драгоценный голос за любимого артиста!
line-35,主持人,那么接下来，做出你的选择！！告诉我，你最爱的音乐艺人到底在哪里！！,"Now then, prepare to cast your vote!! Tell me who this year's hottest artist is going to be!!","А теперь, сделайте свой выбор!! Скажите мне, где же ваш любимый музыкальный исполнитель!!"
