ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,neksi0762
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act15d0
__chapter__,,Chapter Name,activities/act15d0/level_act15d0_02_end,另一个视角
,,,,
char-1,A区囚犯A,A区囚犯A,A-Zone Prisoner A,Заключенный А из блока А
char-2,罗宾,罗宾,Robin,Робин
char-3,狱警,狱警,Jailer,Надзиратель
char-4,？？？,？？？,???,???
char-5,杜玛,杜玛,Domma,Домма
char-6,卡夫卡,卡夫卡,Kafka,Кафка
char-7,狱警A,狱警A,Jailer A,Надзиратель А
,,,,
line-9,A区囚犯A,疼疼疼......,Auuggh-gh-gh-gh...,Ой-ой-ой...
line-11,罗宾,忍一忍，一下就好了。,Grit your teeth. It'll be fine in a flash.,"Стисни зубы, сейчас станет легче."
line-14,A区囚犯A,哇啊啊啊啊啊啊！,Wraaaaaaggghhhh!,А-а-а-а-а!
line-19,狱警,叫什么叫！吵死了！,What the hell are you yelling for?! Can it!,Какого чёрта ты разоралась?! Заткнись!
line-20,狱警,受了伤就去停尸间看看，别在这鬼叫。,"If you're injured, go down to the morgue. Quit hollering here.","Если ранена, иди в морг, нечего тут выть."
line-22,罗宾,对不起对不起，那边现在排队的人很多，我就先给他做一些应急措施，马上就好了。,Sorry about that. They're lined up something fierce over there. I'm just giving him some emergency aid first. It'll be fine soon enough.,"Простите за это, там сейчас большая очередь, я просто оказала ей первую помощь, сейчас закончу."
line-24,狱警,啐。,*Spit*.,ТЬфу.
line-26,罗宾,......他说的应该是医务室吧，为什么会叫停尸间？,"He meant to say the clinic, right? Why the morgue?","...Он ведь имел в виду медпункт, да? Почему он назвал его моргом?"
line-28,A区囚犯A,啊，那是因为这里的医务室和停尸间是连着的，而且医生和入殓师是一个人。,"Agh. 'Cause they're next to each other. Doc and mortician are the same person, too.","Ах, это потому, что медпункт здесь совмещен с моргом, и врач с патологоанатомом — один и тот же человек."
line-29,A区囚犯A,那个人给人的感觉比较诡异，别说狱警，其实我们没事都不太愿意靠近那边。,"Weirds anyone out, I swear. Forget the jailers. Even if we're smiles and sunshine, we don't really wanna go near there.","Клянусь, это всех пугает. забудьте про тюремщиков, никто не решается приближаться к тому месту, если нет особой причин."
line-30,A区囚犯A,也只有打群架后没有办法才不得不去那里接受治疗。,"Only, after the gang fights, there's nowhere else to go. Gotta get treatment there.",Только вот после драк идти больше некуда. Придётся лечиться там.
line-31,A区囚犯A,久而久之就叫那边停尸间了。,"Over time, folks just end up calling that whole end the morgue.",Со временем все и стали называть это место моргом.
line-41,？？？,你需要帮忙吗？,Do you need some help?,Вам нужна помощь?
line-43,A区囚犯A,噫！杜玛小姐，你、你怎么来了。,"Eep! Domma, Miss, wh—whatcha doin' over here?","Иик! Госпожа Домма, вы... как вы здесь оказались?"
line-44,A区囚犯A,啊，我刚才都是瞎说的，那个......,"Uh, I was just makin' all that up, I, uh...","А, я... я только что сболтнул лишнего, э-э..."
line-46,杜玛,没事，我也不太在乎。,You're okay. It don't really get to me.,"Ничего, меня это не особо заботит."
line-47,杜玛,比起这个，要来医务室吗？,But this do. Need to come over to the clinic?,Вы бы предпочли прийти в медпункт?
line-49,A区囚犯A,不、不了，有这个小姑娘帮我包扎。,"N—nah, this young lady here helped dress it fine.","Н-нет, спасибо, эта барышня мне уже перевязала рану."
line-51,罗宾,嗯，交给我就好。,Mm. Leave it to me.,"Да, я справлюсь."
line-53,杜玛,......你的包扎手法不错，那就交给你了。,Your bandaging skills ain't half bad. Leave it to you I shall.,...Хорошо перевязано. Тогда оставляю его на тебя.
line-55,罗宾,好。,Yep.,Хорошо.
line-68,A区囚犯A,呼......,*Huff*...,Фух...
line-70,罗宾,你很怕她吗？,That scared of her?,Ты ее боишься?
line-72,A区囚犯A,害怕......不至于，毕竟杜玛小姐还是救了许多人的，但是她确实挺古怪的，就单纯的有些不想接近吧。,"Scared, alright... To her credit, she's saved more people than I can count. But she's a real oddity. Just don't wanna get close to her, simple as that.","Боюсь... скорее нет. Госпожа Доммаспасла многих, но она действительно довольно странная, просто как-то не тянет к ней приближаться."
line-74,罗宾,这样。,I see.,Ясно.
line-75,罗宾,好了，你动一动手臂。,"Alright, try moving your arm.","Готово, попробуй пошевелить рукой."
line-83,A区囚犯A,......呼，好多了。,...Phew. Much better.,"...Фух, намного лучше."
line-84,A区囚犯A,你这法子真灵啊，罗宾，你以前是做什么的？,"You've got fast technique, Robin. What'cha used to do?","У тебя отличная техника, Робин. Кем ты была до этого?"
line-86,罗宾,我以前......是在私人安保公司做事的。,Used to... I used to work for a private security firm.,Я раньше... работала в частной охранной фирме.
line-88,A区囚犯A,私人安保公司？那不是很赚钱吗？,Private security firm? Ain't those pay big bucks?,В частной охране? Разве там мало платят?
line-89,A区囚犯A,而且你性格也挺不错，我都想不出你这样的人会犯罪进监狱。,And you carry yourself good. Can't even imagine what someone like you does to end up in the slammer.,"Да и характер у тебя вроде неплохой, даже не верится, что ты могла совершить преступление и загреметь в тюрьму."
line-91,罗宾,......我的爸爸失业后就一蹶不振，一直酗酒，肝出了很大的问题，医药费要很多钱，所以我就铤而走险......,"All went downhill after my Pop lost his job. Spent all his time drinking. Gave his liver issues. Med bills came in real expensive. I took a risk, and...","...Мой отец потерял работу и пал духом, начал крепко пить, у него возникли серьезные проблемы с печенью. Нужны были деньги на лекарства, вот я и пошла на риск..."
line-93,A区囚犯A,这样啊，啧啧，看来你也不容易。,"I see, yeah. Tch, darn. You ain't had it easy at all.","Вот как. М-да, нелегко тебе пришлось."
line-95,罗宾,你呢？,You?,А ты?
line-97,A区囚犯A,我？嘿，我是做生意的，老婆勾结情夫想把我干掉吞并我的财产，结果最后关头被我反杀了，就这么简单。,"Me? Heh, I was a business guy. Wife 'n' her lover wanted to get rid of me, snatch my assets. End of it all, they took hell to me, and I killed 'em to save my life. Simple as.","Я? Хе, я вел бизнес. Жена с любовником хотели прикончить меня и прибрать имущество к рукам, но в последний момент я их опередил. Вот и все."
line-99,罗宾,......,......,...
line-103,A区囚犯A,总之，我欠你一次。,"Anywho, I owe you one.","Короче говоря, я у тебя в долгу."
line-104,A区囚犯A,我在这边也呆了好几年了，这里的事情多多少少都知道一点，你有什么问题都可以问我。,"I've been here for lord knows how many years. I know a bit about everything that goes on. If you got any questions, ask 'em to me.","Я тут уже несколько лет сижу, так что знаю немало. Если что нужно — спрашивай."
line-106,罗宾,我看到平时会有几个A区或者B区的人会进C区的塔，他们是怎么进去的？,I've seen a few folk from A-Zone or B-Zone enter the C-Zone tower from time to time. How'd they get in?,"Я видела, как некоторые люди из блоков А или B заходят в башню блока C. Как они туда попадают?"
