ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,neksi0762
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act18mini
__chapter__,,Chapter Name,activities/act18mini/level_act18mini_st02,到乌萨斯去
,,,,
char-1,助理,助理,Assistant,Помощница
char-2,主编,主编,Editor,Главный редактор
char-3,塔露拉,塔露拉,Talulah,Талула
char-4,九,九,Nine,Найн
char-5,陈,陈,Ch'en,Чэнь
char-6,整合运动战士,整合运动战士,Reunion Warrior,Боец Воссоединения
char-7,联军士兵,联军士兵,Alliance Soldier,Солдат коалиции
char-8,萨卡兹平民,萨卡兹平民,Sarkaz Civilian,Сарказ-гражданский
char-9,气愤的联军士兵,气愤的联军士兵,Angry Alliance Soldier,Разъяренный солдат коалиции
char-10,冷漠的联军士兵,冷漠的联军士兵,Cold Alliance Soldier,Равнодушный солдат коалиции
char-11,当地村民,当地村民,Local Villager,Местный житель
char-12,报社记者,报社记者,News Reporter,Репортер
char-13,疲惫的萨卡兹,疲惫的萨卡兹,Weary Sarkaz,Уставший Сарказ
char-14,侍者,侍者,Waiter,Слуга
char-15,悠闲的贵族,悠闲的贵族,Carefree Noble,Праздный дворянин
char-16,雷德,雷德,Red,Красный
char-17,匿名电台,匿名电台,Anonymous Radio,Анонимная радиостанция
char-18,行刑的士兵,行刑的士兵,Executioner Soldier,Солдат-палач
char-19,恐惧的青年,恐惧的青年,Frightened Youth,Испуганный юноша
,,,,
line-16,助理,主编先生，这是关于切尔诺伯格的全部资料，我给您放在桌子上了。,"Here's the files on Chernobog, chief. They're on your desk.","Господин главный редактор, это все материалы по Чернобогу, я оставила их у вас на столе."
line-17,助理,希望您能从这些满是灰尘的东西里找到想要的信息。,Hope you can find the info you wanted somewhere in those dusty papers.,"Надеюсь, вы найдете в этой пыльной куче то, что ищете."
line-20,主编,谢谢你的整理，热尼亚。,"Thanks for sorting them out, Zhenya.","Спасибо, что разобрала всё это, Женя."
line-31,,助理离开时习惯性地将门带上，老旧的门蹭过不平的地板，发出的声音堪比惨叫。,"The assistant closes the door as he leaves, as usual. It scrapes against the uneven flooring, letting out a shrieking sound.","Уходя, помощница привычно прикрыла дверь. Старая дверь проехалась по неровному полу, издав звук, сравнимый с криком боли."
line-36,,坐直身体，主编点起一根烟，忍住不适开始翻阅眼前堆成山的旧报纸。,"The editor sits up straight, lights a cigarette, and pushes through the discomfort as he flips through the stack of old newspapers.","Выпрямившись, главный редактор прикурил сигарету и, пересиливая дискомфорт, начал листать гору старых газет перед собой."
line-40,主编,《第三集团军在切尔诺伯格事件中的渎职......》。,'The Third Army's Dereliction of Duty in the Chernobog Incident...',«Халатность Третьей армии во время событий в Чернобоге...»
line-41,主编,啧......老调重弹的东西，《切尔诺伯格关闭的矿场——对乌萨斯源石工业的打击》。,"Tch... Same old, same old. 'Chernobog Closes Mine—a Heavy Blow to Ursus's Originium Industry'.",Тьфу... сплошное пережевывание старого. «Закрытие шахт в Чернобоге — удар по ориджиниевой промышленности Урсуса».
line-42,主编,......《新切尔诺伯格——在陛下的光辉下，感染者的幸福生活》。,...'Novochernobog—The Infected Lives a Blessed Life Under His Majesty's Glory'.,«Новочернобог — счастливая жизнь зараженных под сиянием Его Величества».
line-43,主编,简直是无稽之谈。,Utter drivel.,Просто полный абсурд.
line-44,主编,不，都不是我要找的......这些破烂不过是在最外面兜圈子。,"No, this isn't what I want... These trashy tabloids are barely scratching the surface.","Нет, всё не то... Этот хлам лишь ходит кругами вокруг да около."
line-45,主编,......没有一篇报道能够接近真相。,...None of these reports are anywhere close to the truth.,Ни одна статья даже не приблизилась к правде.
line-49,,主编推高滑下的眼镜，弹了弹烟灰，却不慎将火星溅在纸上。,"The editor pushes up his glasses and flicks away some stray cigarette ash, but accidentally sends sparks flying onto the paper.","Главный редактор поправил сползающие очки и стряхнул пепел, но случайно прожег искрой дыру в бумаге."
line-54,,他急忙扑灭燃起的火苗，可报纸已被灼烧出一个洞。,"He rushes to extinguish the sudden fire, but the newspaper already bears a freshly burnt hole.","Он поспешно потушил пламя, но в газете уже зияла дыра."
line-55,,透过小洞，主编看到一行小小的文字——“整合运动”。,Through the hole the editor sees an ensemble of letters—'Reunion'.,Сквозь маленькое отверстие он увидел короткую строчку: «Воссоединение».
line-56,,那是他从未见过的名字。,A name he has never heard of before.,"Это было имя, которое он раньше никогда не видел."
line-71,塔露拉,这几天，陆续有感染者找到我们，表达了自己想要加入整合运动的意愿。,"In the last few days, a stream of Infected have been showing up wanting to join Reunion.","В последние дни к нам постоянно обращаются зараженные, которые хотят вступить в «Воссоединение»."
line-72,塔露拉,我告诉他们，一个月后，我们将离开伦蒂尼姆，去往高多汀公爵领。,"I told them we'll be leaving Londinium in one month's time, heading for the Duke of Gododdin's territory.","Я сказала им, что через месяц мы покинем Лондиниум и направимся в герцогство Гододдин."
line-74,九,即便如此，他们也愿意和我们一同出走吗？,Are they willing to follow us there?,Даже в таком случае они готовы уйти с нами?
line-76,塔露拉,没有同意，也没有拒绝。他们自己没有答案。,They neither agreed nor refused. They couldn't come up with an answer.,"Они не дали ни согласия, ни отказа. У них нет своего ответа."
line-78,九,......我会做好带他们离开的准备，他们已经没有其他地方可去了。,...I'll prepare for bringing them along. They have nowhere else to go.,Я буду готова помочь им уйти. Им больше некуда податься.
line-79,九,高多汀公爵领。听说那位公爵颁布了许多改善感染者生活条件的命令，的确需要观察一下。,"Gododdin. I hear the Duke's issued more than a few decrees benefiting the Infected, so it's worth checking out.","Гододдин... Слышала, что герцог издал много указов об улучшении условий жизни зараженных. Действительно стоит присмотреться."
line-81,塔露拉,命令无法代表现实。,Decrees and reality are not the same thing.,Указы не отражают реальность.
line-83,九,我当然清楚这一点，塔露拉。所以亲自去确认一下才更有价值。,Obviously. Which is why we need to see for ourselves.,"Я, конечно, понимаю это, Талула. Именно поэтому стоит проверить всё лично — так будет полезнее."
line-88,,角落处，陈将手中的报纸翻过一页，发出轻微的哗啦声。,From a corner comes a rustling sound as Ch'en turns a newspaper page.,"В углу Чэнь перевернула страницу газеты, издав тихий шорох."
line-90,九,陈，你在旁边听了那么久，打算一直不说话吗？,"Nothing to say even after listening in for so long, Ch'en?","Чэнь, ты так долго слушала, собираешься и дальше молчать?"
line-92,陈,这是你们内部的事情，九。,Everything you've talked about is internal business.,"Это ваши внутренние дела, Найн."
line-93,陈,这些事轮不上我发表看法，我的注意力都在报纸上。,"As an outsider, I have no right to comment. I've been focusing on the news anyway.","Как чужак , я не имею права комментировать. В любом случае, я сосредоточен на новостях."
line-95,塔露拉,你私下与队伍中许多人交流时的表态可并不是这样。,You weren't this quiet with many of the others in private.,"Твои слова, когда ты общаешься с людьми из нашего отряда наедине, говорят об обратном."
