ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,neksi0762
__language__,,Language,en_US,ru_RU
char-1,W,W,W,W
char-2,坚强的孩子,坚强的孩子,Unyielding Child,Сильный ребенок
char-3,孱弱的孩子,孱弱的孩子,Waifish Child,Слабый ребенок
,,,,
line-9,W,你们还要往前走吗？,You're still pushing forward?,Вы всё ещё собираетесь идти дальше?
line-10,W,不进行治疗的话，你会感染的。,"Without treatment, you're definitely getting infected.","Если не начать лечение, ты заразишься."
line-12,坚强的孩子,——我凭什么相信一个魔族？,Why would I believe a devil?,— С какой стати мне доверять демону?
line-14,W,魔族、魔族呢。,"A devil, huh?","Демон, хах?"
line-15,W,身边尽是些魔族，我都快忘记这个称呼了。,"So many devils around me all the time, sometimes I forget we even have that word.","Вокруг меня столько Сарказов, я уже почти забыла это обращение."
line-17,坚强的孩子,嘁，你不要跟在我们后面！,"Gah, stop following us!","Тьфу, не ходи за нами!"
line-19,W,我已经离得很远了吧？,I've been keeping my distance.,"Я же уже достаточно далеко, разве нет?"
line-21,坚强的孩子,别这么假惺惺的，要是想动手的话，现在就动手啊！,"And stop acting nice! If you're gonna kill us, just do it already!","Не притворяйся. Если хочешь напасть, нападай сейчас же!"
line-22,孱弱的孩子,卢、卢布廖夫，别刺激她比较好......,"Ru-Rublev, you really shouldn't provoke her...","Ру... Рублев, лучше не провоцируй её..."
line-23,坚强的孩子,......行了，我们自己走就好。,Okay. We're going then.,"...Ладно, мы сами справимся."
line-24,坚强的孩子,别管她。,Ignore her.,Не обращай на неё внимания.
line-25,孱弱的孩子,对、对不起......,S-sorry!,П-прости...
line-26,坚强的孩子,感染就感染，我们不要魔族帮忙！,I don't care if I get infected! We don't need a devil's help!,"Мне плевать, заражусь ли я! Нам не нужна помощь демона!"
line-27,孱弱的孩子,......嗯。,...Um.,...эм.
line-29,W,嗯哼......,Uh huh...,М-м-м...
line-30,W,这附近有一家废弃的医院。切尔诺伯格区级医院。,There's an abandoned hospital around here. Chernobog District Hospital.,Здесь неподалеку есть заброшенная больница. Районная больница Чернобога.
line-31,W,你们想知道在哪里吗？,Wanna know where it is?,"Хотите узнать, где она?"
line-33,坚强的孩子,......,......,...
line-34,孱弱的孩子,卢布廖夫......？,Rublev...?,Рублев...?
line-35,坚强的孩子,别听她的，肯定都是骗我们的。,Don't listen to her. She's trying to trick us.,"Не слушай её, она наверняка нас обманывает."
line-36,坚强的孩子,咱们甩掉她......走快点。,Let's ditch her... quick.,Давай оторвемся от неё... поторопись.
line-37,坚强的孩子,看到那边的巷子了吗？你从那个拐角跑进去，一分钟之内跑到！,See that alley over there? You take that corner and I think we can get there in less than a minute!,"Видишь тот переулок? Беги в тот поворот, доберешься меньше чем за минуту!"
line-38,孱弱的孩子,......好。,Okay.,...Хорошо.
line-39,坚强的孩子,——跑！,——Run!,— Беги!
line-46,W,跑的还挺快。,They're fast.,А бегаете вы довольно быстро.
line-48,坚强的孩子,她、她怎么这么快就跟上来了——唔！,H-How did she catch up to us so quick?! Agh!,Как... как она так быстро нас догнала... Угх!
line-49,孱弱的孩子,卢布廖夫......你的腿！血、血变成黑色了......,Rublev... your leg! Th-the blood is turning black...,Рублев... твоя нога! Кровь... кровь почернела...
line-50,坚强的孩子,嘁，要不是刚才救了你，我怎么会跑不过她！,"Ugh, I could've outran her if I didn't have to save you!","Тьфу, я бы убежал от неё, если бы мне не пришлось тебя спасать!"
line-51,孱弱的孩子,对不起、对不起......,Sorry...,"Прости, прости..."
line-52,坚强的孩子,算了！小声点。,Whatever! Just be quiet.,Забудь! Тише.
line-53,坚强的孩子,别让她发现。,Don't let her find us.,Не дай ей заметить.
line-55,W,......,......,...
line-56,W,前面的街道，左拐，能看到一处被毁掉的广场。,"Head down that street, turn left, and you'll come to a ruined plaza.","На улице впереди поверните налево, там будет разрушенная площадь."
line-57,W,广场西边，那座最大的白色建筑，是医院。,"On the west side, that big white building, that's the hospital.",К западу от площади стоит самое большое белое здание — это больница.
line-58,W,废弃的医院。,The abandoned hospital.,Заброшенная больница.
line-60,孱弱的孩子,......我们，好像已经被发现了......,...I think... she knows we're here...,"...Кажется, нас уже заметили..."
line-61,坚强的孩子,都是你不听话——算了。,Because you don't listen to me——fine.,"Это всё потому, что ты меня не слушаешь... забудь."
line-62,坚强的孩子,喂，魔族。,"Hey, devil.","Эй, демон."
line-63,坚强的孩子,......你为什么要告诉我们？,Why did you tell us that?,...Зачем ты нам это сказала?
line-65,W,一时兴起啊。,Felt like it.,Прихоть.
line-66,W,你们两个，什么关系？,How do you two know each other?,"Вы двое, кто вы друг другу?"
line-68,孱弱的孩子,......,......,...
line-69,坚强的孩子,......我只是出来找吃的，遇见了他。,I found him while I was out looking for food.,...Я просто вышел поискать еду и встретил его.
line-70,孱弱的孩子,是卢布廖夫救了我......,Rublev saved me...,Это Рублев спас меня...
line-72,W,嗯......所以你听他的？,And that's why you do what he says?,Хм... так ты его слушаешься?
line-74,孱弱的孩子,......,......,...
line-76,W,算了，随便吧，现在，轮到你帮帮你自己的救命恩人了。,No skin off my back. Whatever you want. But now it's time for you to help out your savior here.,"Ладно, неважно. А теперь твоя очередь помочь своему спасителю."
line-78,坚强的孩子,你想让他做什么？,What are you gonna make him do?,"Что ты хочешь, чтобы он сделал?"
line-79,孱弱的孩子,卢布廖夫......,Rublev...,Рублев...
line-81,W,没什么。我说过，前面不远，就有一家医院。,"Nothing. I told you, there's a hospital right over there.","Ничего особенного. Как я и сказала, совсем рядом есть больница."
line-82,W,当然，整合运动也不傻，不会干放着那些医疗物资视作无物......所以，如果你想救这位卢布廖夫小朋友......就去偷。,"I mean, Reunion isn't dumb, so they wouldn't waste perfectly good medical supplies... So if you wanna save your little pal Rublev, you're gonna have to steal.","Конечно, «Воссоединение» тоже не дураки, они не станут игнорировать медицинские ресурсы... Так что если хочешь спасти своего маленького дружка Рублева... иди и укради их."
line-83,W,那里都是感染者暴徒，是杀了你们的家人、亲人、朋友的暴徒。,It's a bunch of Infected thugs over there. Thugs who murdered your family and friends.,"Там одни зараженные отбросы, отбросы, которые убивали ваших родных, близких и друзей."
line-84,W,也只有那里有抑制矿石病早期症状的药剂。,And that's the only place they'll have the drugs that can stop the onset of Oripathy.,"Только там есть препараты, подавляющие ранние симптомы Орипатии."
line-85,W,去偷，去抢，怎么都好。,"So go steal, rob, loot, it's all good.","Укради, отними, не важно как."
line-86,W,但是不要指望那边的人会帮你。,Just don't expect anybody to help you.,"Но не жди, что люди там помогут тебе."
line-88,坚强的孩子,别去！没必要听他的！,No! Don't listen to her!,Не ходи! Не нужно слушать её!
line-89,孱弱的孩子,但、但是......,B-But...,Но... но...
line-91,W,别去？,No?,Не ходи?
