ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,frostymisery17
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act10d5
__chapter__,,Chapter Name,activities/act10d5/level_act10d5_st05,胡言秘语
,,,,
char-1,烈夏,烈夏,Leto,Лето
char-2,猎蜂,猎蜂,Beehunter,Бихантер
char-3,提示音,提示音,Announcement,Голос системы
char-4,凛冬,凛冬,Zima,Зима
char-5,？？？,？？？,???,???
char-6,猎蜂/烈夏,猎蜂/烈夏,Beehunter & Leto,Бихантер / Лето
char-7,慕斯,慕斯,Mousse,Мусс
char-8,罗莎琳,罗莎琳,Rosalind,Розалинда
char-9,学生A,学生A,Student A,Студент А
char-10,学生B,学生B,Student B,Студент Б
char-11,贵族学生,贵族学生,Noble Student,Студент-аристократ
char-12,学生,学生,Student,Студент
char-13,索尼娅,索尼娅,Sonya,Соня
char-14,安德烈,安德烈,Andrey,Андрей
char-15,安娜,安娜,Anna,Анна
char-16,拉达,拉达,Lada,Лада
char-17,整合运动成员,整合运动成员,Reunion Member,Член Воссоединения
,,,,
line-9,,罗德岛训练中心,Rhodes Island Training Center,Тренировочный центр Родос Айленд
line-10,,单对单近身格斗训练室,One-on-One Close Combat Training Room,Тренировочный зал для ближнего боя один на один
line-22,烈夏,喝！,Hyah!,Ха!
line-24,猎蜂,太慢了。,Too slow.,Слишком медленно.
line-26,烈夏,很慢吗，那为什么还要格挡，耍嘴皮子谁不会！,Really? Then why'd you block? Save the talk.,Слишком медленно? Тогда зачем блокируешь? Болтать-то все горазды!
line-28,猎蜂,要是真在擂台上，你早该被我捶倒了知道不。,Throw us in the ring and I'll have you on the ground in round one.,"Если бы мы были на настоящем ринге, я бы тебя уже давно вырубила, ясно?"
line-30,烈夏,我才不信。,I'm not so sure.,Не верю.
line-32,猎蜂,这样吧烈夏，你再来一组连拳，要是打得好，我就给你个奖励，怎么样？,"How about this, Leto: You gimme another set. You land a good hit, and I give you a prize. Sound good?","Давай так, Лето. Сделай еще одну серию ударов, и если всё сделаешь хорошо, я дам тебе награду. Как насчет этого?"
line-34,烈夏,有意思，这可是你说的啊。,"Yeah, sure.","Звучит интересно, ловлю на слове."
line-35,烈夏,看拳！,Take this!,Получай!
line-41,猎蜂,嗯，不错不错，力度上去了。,"Yeah, not bad. More power in there.","М-м, неплохо, неплохо. Силы стало больше."
line-42,猎蜂,气息也保持得很好。,Steady breathing too.,И дыхание ты держишь ровно.
line-43,猎蜂,该我了，领奖吧！,My turn. For the prize!,"Теперь моя очередь, забирай свою награду!"
line-44,猎蜂,噢啦噢啦！！,Oraoraora!,Ора-ора-ора!!
line-53,烈夏,唔啊！,Mmh!,Угх!
line-54,烈夏,唔，咳，咳咳......,"Phew, *cough,* *hack...*","Угх, кха, кха-кха..."
line-55,烈夏,舒拉，你！,Shura! You...!,"Шура, ах ты!"
line-56,烈夏,咳咳咳，哈......哈。,*Cough* *cough* *hack...* Phew... whew.,"Кха-кха-кха, ха... ха."
line-57,烈夏,你能教我这招吗！,Can you teach me that move?!,Научишь меня этому приему?!
line-59,猎蜂,教是没问题，但你可能学不来。,Oh I can teach. But can you learn?,"Научить-то не проблема, вот только вряд ли у тебя получится."
line-61,烈夏,不就是拿拳头挥几下，有什么学不来的。,It's just throwing your fists around a bit. What's to learn?,"Подумаешь, пару раз махнуть кулаком. Чему тут учиться."
line-63,猎蜂,这招可是我采蜜时对付那些“小虫子”用的，擂台里不少棘手的家伙也吃过。,It's a trick I use against those 'bugs' when I'm diggin' out honey. Does good work on the thorny bastards in the ring too.,"Я использую этот прием, чтобы отбиваться от «букашек» при сборе меда. Многие крепкие парни на ринге тоже отведали его на вкус."
