ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,main_10
__chapter__,,Chapter Name,obt/main/level_main_10-12_beg,瞄准
,,,,
char-1,曼弗雷德,曼弗雷德,Manfred,Манфред
char-2,萨卡兹战士,萨卡兹战士,Sarkaz Warrior,Сакаризский воин
char-3,？？？,？？？,???,???
char-4,赦罪师直属卫兵,赦罪师直属卫兵,Confessarius Guard,Страж Исповедников
char-5,赫德雷,赫德雷,Hoederer,Хэдри
char-6,克洛维希娅,克洛维希娅,Clovisia,Кловисия
char-7,医疗干员,医疗干员,Medic Operator,Медик
char-8,自救军战士,自救军战士,Self-Salvation Corps Soldier,Боец Сил самообороны
char-9,推进之王,推进之王,Siege,Сидж
char-10,海蒂,海蒂,Heidi,Хайди
char-11,阿米娅,阿米娅,Amiya,Амия
char-12,可露希尔,可露希尔,Closure,Клозиер
char-13,费斯特,费斯特,Feist,Фест
char-14,号角,号角,Horn,Хорн
char-15,伦蒂尼姆市民,伦蒂尼姆市民,Londinium Citizen,Гражданин Лондиниума
char-16,萨卡兹雇佣兵,萨卡兹雇佣兵,Sarkaz Mercenary,Сакаризский наёмник
char-17,Misery,Misery,Misery,Мизери
,,,,
line-10,曼弗雷德,少了十三个平民，九个士兵。,We're down thirteen civilians and nine soldiers.,"Минус тринадцать гражданских, девять солдат."
line-12,曼弗雷德,罗德岛......,Rhodes Island...,"Родос... "
line-14,曼弗雷德,他们可真是给我添了不少麻烦。,They're proving to be quite troublesome.,Они действительно доставили мне немало хлопот.
line-16,萨卡兹战士,将军，剩下的深池士兵清点完了。,"General, we've finished the head count on the remaining Dublinn soldiers.","Генерал, остатки солдат «Глубинных пучин» пересчитаны."
line-18,曼弗雷德,给他们一个机会。,Give them one chance.,Дайте им шанс.
line-19,曼弗雷德,愿意加入我们的，进雇佣兵编队。,Those willing to join us will enter the mercenary squad.,Желающие присоединиться к нам — в отряд наёмников.
line-21,曼弗雷德,不愿意的......你知道该怎么做。,As for those who aren't... You already know what to do with them.,"А те, кто не хочет... ты знаешь, что делать."
line-23,萨卡兹战士,明白！,Yessir!,Понял!
line-25,？？？,说不上太精彩的战果啊，曼弗雷德将军。,"Not your best showing, General Manfred.","Не самый впечатляющий результат, генерал Манфред."
line-27,曼弗雷德,......没想到赦罪师的信使还未离开。,...I didn't expect for Confessarius's Messenger to still be here.,"...Не ожидал, что посланник Исповедников еще не ушел."
line-33,赦罪师直属卫兵,首领和摄政王一样，担忧着这个不起眼角落的战况。,Both the Leader and the Regent are concerned about the battle situation unfolding in this inconspicuous corner.,"Наш предводитель, как и сам Регент, обеспокоен ходом сражения в этом непримечательном уголке."
line-35,曼弗雷德,我相信血魔大君也不例外。,I trust the Sanguinarch is no exception.,"Полагаю, Кровавый Король не исключение."
line-36,曼弗雷德,毕竟，昨夜他的慷慨出手为我们减轻了不少压力。,"After all, his generosity last night took a lot of the pressure off of us.","В конце концов, его щедрое вмешательство минувшей ночью значительно облегчило нам задачу."
line-38,赦罪师直属卫兵,对了，大君托我转告您，这附近的空气过于浑浊，他并不打算耽搁太久。,"Oh right, he wanted me to let you know, the atmosphere here is too filthy. He doesn't plan to wait around much longer.","Кстати, Король просил передать вам, что воздух здесь слишком затхлый, и он не планирует задерживаться надолго."
line-39,赦罪师直属卫兵,此刻他勉强征用了一位工厂主的住所，正在享用迟来的晚餐。,"At the moment, he is in the unfortunate process of requisitioning the property of a factory owner, and will be enjoying a late dinner.",Сейчас он вынужденно занял дом одного из фабрикантов и наслаждается запоздалым ужином.
line-41,曼弗雷德,征用？,Requisitioning?,Занял?
line-43,曼弗雷德,我希望......被大君“征用”的住所原主并不是我们的合作伙伴。,I do hope that... whoever the Prince 'requisitioned' the factory from isn't one of our partners.,Надеюсь... хозяин «занятого» Королем дома — не наш партнер.
line-45,赦罪师直属卫兵,这很重要吗？,Does that matter?,Разве это важно?
line-46,赦罪师直属卫兵,这些效率不足的厂房并不能为我们提供多少有用的资源，留着反而滋生害虫。,These inefficient factories provide us with hardly anything worthwhile. All they do is breed pests.,"Эти неэффективные заводы не приносят нам полезных ресурсов, а их существование лишь плодит паразитов."
line-47,赦罪师直属卫兵,大君的耐心只到下一个夜晚到来为止。,His patience will only last until tomorrow night.,Терпение Короля продлится лишь до следующей ночи.
line-48,赦罪师直属卫兵,若您不能为他提供一场令他满意的宴会的话，他会用自己的方式“扫荡”这些肮脏的街道。,"If you are unable to provide him with a satisfactory banquet, then he will 'sweep' these filthy streets as he sees appropriate.","Если вы не сможете устроить ему подобающий пир, он сам займётся «зачисткой» этих грязных улиц."
line-50,曼弗雷德,......,......,...
line-52,曼弗雷德,这是大君的意思，还是军事委员会的决定？,"Is this the Sanguinarch's intent, or the decision of the Military Commission?",Это воля Короля или решение Военного совета?
line-54,赦罪师直属卫兵,您总是在这些无关紧要的细节上斤斤计较，这导致了您被牵绊在这弹丸之地，而殿下对您的期望显然更高。,Always fussing over these irrelevant details. This is exactly why you've been pinned down in this little dump. His Highness expected more of you.,"Вы вечно цепляетесь к таким мелочам, из-за чего застряли в этой дыре, хотя Его Высочество явно ожидал от вас большего."
line-56,曼弗雷德,......烦请回报大君，感谢他先前的援手，我们会立刻进行下一阶段的行动。,"...Please report back to the Prince: We are deeply grateful for his assistance, and will proceed with the next phase of the operation.","...Прошу, передайте Королю благодарность за оказанную помощь; мы немедленно приступим к следующему этапу операции."
line-58,赦罪师直属卫兵,那就好。我们会一起期待您的表现。,Very well. We look forward to seeing your results.,Хорошо. Мы будем с нетерпением ждать ваших успехов.
line-64,曼弗雷德,......,......,...
line-70,赫德雷,和王庭的人说话，是不是比上战场还累？,"Heading off to war isn't nearly as much of a slog as talking to these Royal Court people, eh?","Разве разговоры с людьми из Двора не утомительнее, чем сам бой?"
line-72,曼弗雷德,原来你躲在这里。,So this is where you've been hiding.,Так вот где ты прятался.
line-74,赫德雷,我保证我没偷懒。,"I assure you, I haven't been slacking off.","Уверяю, я не бездельничал."
line-76,曼弗雷德,放下你那条差点弄丢了的胳膊吧。说说看，这伤是被你的老熟人炸的，还是被另一个老熟人砍的？,"You can stop cradling that arm you nearly lost. Tell me, which of your old acquaintances did that to you? The one with the explosives, or the one with the sword?","Опусти свою руку, которую чуть не потерял. Скажи мне, эту рану оставил старый знакомый или кто-то другой? "
line-78,赫德雷,抱歉，我疼得回忆不起来。,"Sorry, it hurts so bad I can't remember anything.","Прости, от боли я не могу вспомнить."
line-80,曼弗雷德,反正你还有另一只手能用剑，看来她们还是留了一些情面。,"Since they left you with another arm to pick up a sword with, it seems whoever it was still has a soft spot for you.","В любом случае, у тебя осталась другая рука, чтобы держать меч. Похоже, они проявили некоторую снисходительность."
line-82,赫德雷,......,......,...
line-84,曼弗雷德,天快亮了。,It's almost daybreak.,Скоро рассвет.
line-86,赫德雷,......是啊。,"...Yeah, looks like it.",...Да.
line-88,曼弗雷德,别靠在墙边发呆了。休息时间到此为止。,Stop leaning against the wall in a daze. Break time's over.,Хватит стоять у стены и витать в облаках. Время отдыха вышло.
line-90,赫德雷,雇佣兵是没有资格请假的，对不对？,"Mercenaries aren't eligible for sick leave, right?","У наёмников нет права на отгул, верно?"
line-92,曼弗雷德,走吧，这场仗还远远没有结束。,Let's go. This battle is far from over.,"Пошли, битва еще далеко не закончена."
line-102,克洛维希娅,受伤的人有多少？立刻带他们去治疗！,How many injured are there? Take them to get treated right now!,Сколько раненых? Немедленно отправьте их к медикам!
line-104,医疗干员,我也来帮忙！,I'll also help out!,Я тоже помогу!
line-106,克洛维希娅,嗯，谢谢。,"Mhm, thank you.","Хорошо, спасибо."
line-107,克洛维希娅,让哈默来见我。我们需要加快撤退的进度。,Bring Harmo over here. We have to speed up the evacuation.,Пусть Хаммер придет ко мне. Нам нужно ускорить отступление.
line-108,克洛维希娅,还有......派信使出城。最坏的情况下，我们要做好将大部分人转移去城外的准备。,"Also, dispatch some Messengers outside the city. Worst case scenario, we need to be prepared to relocate the bulk of the population.",И еще... пошлите гонца из города. В худшем случае нам нужно подготовиться к выводу большинства людей за стены.
line-110,自救军战士,是，指挥官！,"Yes, Commander!","Есть, командир!"
line-112,克洛维希娅,推进之王小姐......,Miss Siege...,Мисс Сидж...
line-114,推进之王,......,......,...
line-116,克洛维希娅,推进之王小姐？,Miss Siege?,Мисс Сидж?
line-118,推进之王,啊......抱歉，您的声音总是让我有些走神。,"Oh... Sorry, your voice always makes my mind wander off.","А... прошу прощения, ваш голос заставил меня отвлечься."
line-120,克洛维希娅,你一定是太累了。我们的战士也都很疲惫。,You must be exhausted. Just like our soldiers.,"Вы, должно быть, очень устали. Наши бойцы тоже измотаны."
line-122,推进之王,我挺好的，多谢关心。,Thanks for your concern. I'm hanging in there.,"Я в порядке, спасибо за беспокойство."
line-124,克洛维希娅,你带回来的那条情报——六队的战士是被极端恐怖的源石技艺杀害的，这对我们来说至关重要。,"The piece of intel you brought back— that the warriors of Team 6 were slaughtered by extremely terrifying Originium Arts, is critically important to us.","Информация, которую вы принесли — о том, что Шестой отряд был уничтожен с помощью ужасающих искусств ориджиниума — критически важна для нас."
line-126,推进之王,可惜我没有更早去地面确认他们的情况......,If only I could've gone to the surface to check on them sooner...,"Жаль, что я не отправилась на поверхность раньше, чтобы проверить их состояние..."
line-128,克洛维希娅,不，那样的话你也会陷入危险。,"No, you would've been in danger too.","Нет, иначе вы бы тоже подверглись опасности."
line-130,克洛维希娅,而且你已经做得够好了，要不是你足够机敏，极有可能不止六队，我们其他的战士还有你们的人都会撞上他。,"Besides, you've already done enough. If not for your quick-thinking, it might not have been just Team 6 that ran into him, but the rest of our troops and your people as well.","Вы и так сделали достаточно. Если бы не ваша проницательность, скорее всего, не только Шестой отряд, но и остальные наши бойцы, да и ваши люди тоже, столкнулись бы с ним."
line-132,推进之王,他是谁？那些萨卡兹士兵称他为大君。,Who is he? Those Sarkaz soldiers seemed to call him a prince.,Кто он такой? Эти сакаризские солдаты называют его Королем.
line-134,克洛维希娅,......三个月前，伦蒂尼姆北部曾经举办了一场贵族宴会。,"...Three months ago, a nobles' banquet was held in northern Londinium.",...Три месяца назад на севере Лондиниума проходил дворянский бал.
