ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act19side
__chapter__,,Chapter Name,activities/act19side/level_act19side_03_end,动力装甲
,,,,
char-1,Mechanist,Mechanist,Mechanist,Механист
char-2,塞雷娅,塞雷娅,Saria,Сайресс
char-3,醉醺醺的男人,醉醺醺的男人,Drunkard,Пьяный мужчина
char-4,斐尔迪南,斐尔迪南,Ferdinand,Фердинанд
char-5,帕尔维斯,帕尔维斯,Parvis,Парвис
char-6,莱茵实验员,莱茵实验员,Rhine Lab Tech,Лаборант «Рейн»
char-7,莱茵防卫科成员,莱茵防卫科成员,Rhine Defense Section Employee,Член службы безопасности «Рейн»
char-8,赫默,赫默,Silence,Хемлок
char-9,桑尼,桑尼,Sonny,Санни
char-10,？？？,？？？,???,???
,,,,
line-10,Mechanist,这熟悉的味道......,This smell is familiar...,Этот знакомый запах...
line-11,Mechanist,可惜工作还没结束，我真有些想念酒精在体内淌过的滋味。,Too bad there's still work to be done. I miss the sensation of alcohol rushing through my body.,"Жаль, что работа ещё не закончена. Я действительно скучаю по ощущению алкоголя, растекающегося по венам."
line-14,,有传言说你的特供饮料是机械润滑油。;有传言说你喝多了会踩着凳子表演诗朗诵。,I've heard your special drink is machine oil.;I've heard you stand on a chair and recite poems when you get drunk.,"Ходят слухи, что твой фирменный напиток — это машинное масло. / Ходят слухи, что, напившись, ты залезаешь на стул и читаешь стихи."
line-17,Mechanist,......一定是煌说的。,"You're listening to Blaze, huh?",...Это точно сказала Блейз.
line-18,Mechanist,她总是感慨为什么关于她的谣言最多，并且经常抱怨我在她测试新武器的对战环节下手太狠。,"She's always complaining about all the rumors there are about her, and complaining that I take things too rough in her weapon test sessions.","Она вечно задаётся вопросом, почему о ней ходит больше всего слухов, и постоянно жалуется, что я слишком суров с ней во время тестирования нового оружия."
line-19,Mechanist,其实“机油”只是我最喜欢的特调鸡尾酒的名字。,'Machine oil' is the name of my favorite cocktail.,На самом деле «Машинное масло» — это просто название моего любимого авторского коктейля.
line-20,Mechanist,“再来一杯”酒吧的常客都很清楚这一点。,Regular patrons of Just One More Pint know it well.,Постоянные посетители бара «Ещё по одной» прекрасно об этом знают.
line-23,Mechanist,博士，如果你真的对类似传言感到好奇，下回煌拉你一起喝酒的时候，请不要拒绝。,"If you want to dig deep into those kinds of rumors, Doctor, take Blaze up on it next time she invites you to drink.","Доктор, если вы действительно заинтригованы подобными слухами, не отказывайтесь, когда Блейз в следующий раз позовёт вас выпить."
line-24,Mechanist,Logos他们都会在——,Logos and the others will—,Логос и остальные тоже там будут —
line-25,Mechanist,到时候，你看到的画面一定会让你忘了这条关于我的传言。,Let's just say that what you see will make you forget any rumors about me.,"Тогда то, что вы увидите, наверняка заставит вас забыть об этом слухе обо мне."
line-28,Mechanist,塞雷娅，你要找的人已经到了吗？,"Have you found your man, Saria?","Сайресс, человек, которого ты ищешь, уже пришёл?"
line-30,塞雷娅,他每天都会在这里待满二十个小时。,He spends twenty hours a day here.,Он проводит здесь по двадцать часов в сутки.
line-31,塞雷娅,......你好，两杯“特里蒙阳光”。,"Two Trimounts Sunshines, please.","...Привет. Два «Солнца Тримонта», пожалуйста."
line-33,Mechanist,你不像是会在工作时间喝酒的人。,You don't look like someone who drinks during work hours.,"Ты не похожа на того, кто пьёт во время работы."
line-35,塞雷娅,的确不是。,I'm not.,Так и есть.
line-37,塞雷娅,我不习惯让酒精在任何时候干扰我的大脑。,"I've never been one to let alcohol interfere with my brain, regardless of the hour.",У меня нет привычки позволять алкоголю хоть сколько-нибудь влиять на мой разум.
line-39,醉醺醺的男人,你这人还是这么没意思啊，塞雷娅。,"Live a little, Saria.","Ты всё такая же занудная, Сайресс."
line-41,塞雷娅,两杯都是你的。,Both of these are yours.,Оба бокала — твои.
line-42,塞雷娅,你最好端稳些，我没打算买第三杯。,"And you'd better pull yourself together, because I'm not buying a third.","Советую держать их крепче, третью чашку я покупать не собираюсь."
line-44,醉醺醺的男人,啧......怎么，离开莱茵生命以后，你也跟我一样，成了个无家可归的穷鬼？,"What? Have you gone homeless too, after leaving Rhine?","Цц... Что, после ухода из «Рейн Лаб» ты, как и я, стала бездомной нищенкой?"
line-46,塞雷娅,我愿意为你支付多少酒钱，取决于你给我的情报有多大价值。,How many drinks I'm willing to buy for you depends on how much your information is worth to me.,"Сумма, которую я готова заплатить за твою выпивку, зависит от ценности информации, которую ты мне предоставишь."
line-48,醉醺醺的男人,说吧，你想知道什么？,"Well then, spit it out. What do you want to know?","Говори, что ты хочешь узнать?"
line-50,塞雷娅,......看到这试管里的液体了吗？,See the liquid in this test tube?,...Видишь эту жидкость в пробирке?
line-52,醉醺醺的男人,嘿，我瞧瞧......,Hm? Hmm...,"Эй, дай-ка взглянуть..."
line-54,塞雷娅,不是用来喝的。,It's not for drinking.,Она не для питья.
line-56,醉醺醺的男人,那你就不该来找我。,"Well then, why are you asking me?",Тогда тебе не стоило приходить ко мне.
line-58,塞雷娅,给我看看你的右手。,Show me your right hand.,Покажи мне свою правую руку.
line-60,醉醺醺的男人,你干什么？,What are you doing?,Что ты делаешь?
line-62,塞雷娅,你是右利手，却在用左手握酒杯。,"You're right-handed, but you're holding the glass with your left.","Ты правша, но держишь стакан левой рукой."
line-63,塞雷娅,这是否说明，你的右小臂仍在因为皮下植入的微型施术单元而疼痛？,Does your right arm still hurt from the subdermal Arts Unit implant?,"Означает ли это, что твоё правое предплечье всё ещё болит из-за вживлённого под кожу микроскопического операционного модуля?"
line-65,Mechanist,皮下植入的施术单元？,The what?,Вживлённый под кожу операционный модуль?
line-67,醉醺醺的男人,......塞雷娅。,Saria...,...Сайресс.
line-68,醉醺醺的男人,这男人和边上这个看不清脸的人是什么来路？,"Who's the helmet, and the hood?","Откуда этот мужчина и тот, рядом с ним, чьего лица не разобрать?"
line-69,醉醺醺的男人,莱茵工程科，沃尔沃特科钦斯基，还是......那些不能说名字的机构的人？,Rhine Engineering? Volvort Kochinski? Maybe... one of those places whose name we dare not speak?,"Из инженерного отдела «Рейн Лаб», от Вольворта Кочинского или из... тех организаций, чьи названия нельзя произносить?"
line-70,醉醺醺的男人,他们是不是改主意了，想让我彻底闭嘴？,Did they change their minds? Decide to shut me up forever?,Они передумали и хотят заставить меня замолчать навсегда?
line-72,Mechanist,我向你保证，我和你口中的这些企业或者组织永远都不会有任何联系。,"I promise you, I have nothing to do with any of the organizations you mentioned. Not now, not ever.","Уверяю вас, я никогда не имел и никогда не буду иметь ничего общего с теми компаниями или организациями, которые вы упомянули."
line-74,醉醺醺的男人,保证？口头上的保证还不如我面前的酒来得值钱。,Promise? Words like that ain't even worth the booze in front of me.,"Уверяешь? Устные заверения стоят меньше, чем этот алкоголь передо мной."
line-76,Mechanist,博士，我们也在场的话，他可能不会说实话。,"Doctor, he may not be willing to talk with us here.","Доктор, если мы останемся, он может не сказать правду."
line-78,醉醺醺的男人,......问题在你。我不信任你，尤其不信任你这身古怪的打扮。,"It's you I don't trust, especially not that getup.","...Проблема в тебе. Я не доверяю тебе, особенно твоему странному наряду."
line-79,醉醺醺的男人,哥伦比亚科技圈子里的精英范儿太浓了，懂吗？,"You reek of the Columbian tech elite, know what I mean?","От тебя слишком сильно веет элитой колумбийских техно-кругов, понимаешь?"
line-80,醉醺醺的男人,戴兜帽的可以留下。你让我有安全感多了。,The hood can stay. I feel better about you.,"Тот, что в капюшоне, пусть остаётся. С ним я чувствую себя куда спокойнее."
line-82,Mechanist,......,......,...
line-85,,Mechanist，你先休息一会。;工作暂停，要不然你也去喝一杯？,"Why don't you take a break, Mechanist?;How about you go get yourself a drink?","Механист, отдохни пока. / Работа подождёт, может, тоже выпьешь?"
line-88,Mechanist,行吧，我就在旁边。,"Alright, I'll be over there.","Ладно, я буду рядом."
line-94,醉醺醺的男人,塞雷娅，看在你过去给我买了好几次单的分上，我会给你一个忠告——,"Saria, you've picked up so many tabs for me, let me give you some honest advice.","Сайресс, ради того, что ты несколько раз оплачивала мой счёт в прошлом, я дам тебе совет —"
line-95,醉醺醺的男人,要是你不想落到跟我一个下场的话，就不要再追查下去。,"Don't dig any deeper, if you don't want to end up like me.","Если не хочешь закончить так же, как я, перестань копать."
line-96,醉醺醺的男人,你这试管里的东西，和那批动力甲，它们背后的人都不是你能惹得起的。,"This test tube of yours, that power armor—you're biting off more than you can chew.","То, что в твоей пробирке, и те силовые доспехи... людям, стоящим за ними, ты не ровня."
line-98,塞雷娅,......,......,...
line-100,醉醺醺的男人,是的，连你都不行。,"Yes, more than even you can chew.","Да, даже ты."
line-114,斐尔迪南,你明不明白你刚才说了什么？,Do you understand what it is you've just said?,"Ты понимаешь, что только что сказал?"
line-116,帕尔维斯,当然。,Of course.,Разумеется.
line-117,帕尔维斯,是你提醒我的，我还不至于老糊涂。,It was you who reminded me. I'm not senile yet.,"Ты сам мне напомнил, я ещё не настолько выжил из ума."
line-119,斐尔迪南,......那是很严重的指控。,This is a very serious accusation.,...Это очень серьёзное обвинение.
line-121,帕尔维斯,指控？有吗？,Is it now? An accusation?,Обвинение? Неужели?
line-122,帕尔维斯,哦，你是指缪尔赛思的下落不明与你有关，还是指你想把莱茵生命的总辖头衔据为己有？,"Oh, the accusation that you have something to do with Muelsyse's disappearance? Or the one that you're trying to seize control of Rhine Lab?","О, ты о том, что исчезновение Мьюлсис связано с тобой, или о том, что ты хочешь присвоить себе титул директора «Рейн Лаб»?"
line-124,斐尔迪南,......,......,...
line-125,斐尔迪南,想要威胁我的话，你得拿出点更有说服力的凭据。,You need stronger evidence than that to blackmail me.,"Если хочешь угрожать мне, предъяви что-то более убедительное."
line-127,帕尔维斯,放轻松，我的老朋友。,"Relax, old friend.","Расслабься, старый друг."
line-128,帕尔维斯,我们共事多久了？你加入得算晚了，但也有个十年了吧？,How long have we worked together? Ten years and then some?,"Как долго мы работаем вместе? Ты присоединился поздновато, но лет десять уже прошло, не так ли?"
line-129,帕尔维斯,你还不了解我吗？我是那种会拿着一沓资料、通讯录音和草拟的法律文书来找老朋友聊天的人吗？,"Did you think I was the type to come chat with an old friend carrying a bunch of papers, voice recordings and legal drafts?","Ты до сих пор меня не знаешь? Неужели я тот, кто пойдёт болтать со старым другом, прихватив с собой пачку документов, записи разговоров и черновики судебных исков?"
line-131,斐尔迪南,你......,You...,Ты...
line-133,帕尔维斯,你曾经这样对我，不代表我也会这样对你。,Just because you did it to me doesn't mean I intend to return the favor.,"То, что ты так поступал со мной, не значит, что я буду поступать так с тобой."
