ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,ilarhion
__language__,,Language,en_US,ru_RU
char-1,Outcast,Outcast,Outcast,Ауткаст
char-2,煌,煌,Blaze,Блэйз
char-3,风笛,风笛,Bagpipe,Бэгпайп
char-4,号角,号角,Horn,Хорн
char-5,维多利亚士兵,维多利亚士兵,Victorian Soldier,Солдат Виктории
char-6,凯利上尉,凯利上尉,Captain Kelly,Капитан Келли
char-7,虚弱的青年,虚弱的青年,Feeble Youth,Слабый юноша
char-8,副官希尔,副官希尔,Adjutant Hill,Адъютант Хилл
char-9,三角铁,三角铁,Triangle,Трайэнгл
,,,,
line-12,Outcast,小丘郡......,County Hillock...," Графство Хиллок..."
line-14,Outcast,中型移动城市，距离伦蒂尼姆不远不近，以农业与轻工业为支柱产业，与周围各郡的联系并不紧密——,"A medium-sized nomadic city, a modest distance out from Londinium. Main pillars are agriculture and light industry, not on closest terms with the surrounding counties...","Средних размеров мобильный город, расположенный не слишком близко и не слишком далеко от Лондиниума. Его экономика держится на сельском хозяйстве и легкой промышленности, а связи с соседними графствами не особо тесны..."
line-16,Outcast,和情报里描绘的完全一致。,Full match to what the intel describes.,Полностью совпадает с описанием из разведданных.
line-25,煌,Outcast，你是不是到了？,"Outcast, you there yet?","Ауткаст, ты уже на месте?"
line-27,Outcast,刚到一分钟。你是在我身上安了追踪器吗？,Just made it a minute ago. Did you slap a tracking device on me?,"Прибыла минуту назад. Ты что, прицепила на меня маячок?"
line-29,煌,我一晚上呼叫了你十几次！,I've called you like fifteen times since last night!,Я пыталась связаться с тобой раз десять за всю ночь!
line-31,Outcast,我在荒地赶路，信号自然不好。,I took the wasteland route. As if I'd have signal.,"Я ехала через пустоши, сигнал там ожидаемо плохой."
line-33,煌,哎，成吧。先说好，不是我着急，这都是Misery在催我。,"*Sigh*. Okay. Let me get this out there, I'm not the one in a rush. Misery's pushing it.","Эх, ладно. Сразу скажу, это не я тороплюсь, это Мизери меня подгоняет."
