ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
char-1,女游客,女游客,Female Tourist,Туристка
char-2,男游客,男游客,Male Tourist,Турист
char-3,观众,观众,Audience,Зритель
char-4,大帝,大帝,Emperor,Император
char-5,保镖,保镖,Bodyguard,Телохранитель
char-6,表情古怪的游客,表情古怪的游客,Strange-Looking Tourist,Турист со странным выражением лица
char-7,可颂,可颂,Croissant,Кроассан
char-8,德克萨斯,德克萨斯,Texas,Техас
char-9,空,空,Sora,Сора
char-10,能天使,能天使,Exusiai,Экзюзай
char-11,激动的观众,激动的观众,Agitated Audience,Возбуждённый зритель
,,,,
line-9,女游客,刚才是不是地震了？,Was that an earthquake just now?,Только что было землетрясение?
line-11,男游客,对啊！！,Yeah!!,Да!!
line-12,男游客,毕竟我们离舞台这么近哎！看到了吗！？你看到D.D.D.的表情了吗！？她是怎么做到的！？,"We're so close to the stage, after all! Did you see that? Did you see D.D.D.'s expression?! How did she do that?!",Мы же так близко к сцене! Видела!? Ты видела выражение лица D.D.D.!? Как она это сделала!?
line-16,女游客,她已经下台了啦，你不要老是这么......等等，这不是又在震了？,"She already left the stage, don't always be such a fanboy... Wait, isn't it shaking again?","Она уже ушла со сцены, не будь ты таким... Погоди, оно что, снова трясётся?"
line-18,男游客,哎呀，说不定是低音炮的缘故......慢着。,"Oh come on, it's probably just the subwoofer... Wait...","Ой, да это, наверное, из-за сабвуферов... Стоп."
line-20,女游客,哎...哎？你也察觉到了？,H-huh...? You felt that too?,А... а? Ты тоже это почувствовал?
line-22,男游客,......快走！,...Let's go!,...Бежим!
line-24,女游客,什、什么？,Wh-what?!,Чт-что?
line-26,男游客,别问那么多了，快跟我走！,"Don't ask questions, just come with me!","Не спрашивай, просто иди за мной!"
line-31,观众,不要挤啊！离我远点！,Stop pushing! Some personal space here!,Не толкайтесь! Отойдите от меня!
line-32,观众,你踩着我的脚了！！滚开啊！！,You're stepping on my foot!! Get out of my face!!,Ты мне на ногу наступил!! Проваливай!!
line-33,观众,有人晕倒了！小心！,Someone fainted! Watch out!,Кто-то упал в обморок! Осторожнее!
line-35,女游客,怎、怎么突然都躁动起来，难道真的是......,Wh-why is everyone panicking? Don't tell me...,"По-почему все вдруг запаниковали, неужели это правда..."
line-37,男游客,......我的天。,Oh my god...,...Боже мой.
line-38,男游客,......是大帝。,...It's Emperor.,...Это Император.
line-47,大帝,嗯哼，天气不错。,"Ahem, nice weather we're having.","Хм, отличная погода."
line-50,,（欢呼声）,(Cheering),(Ликование)
line-52,男游客,大帝！是真人！！啊啊——！,Emperor! It's really him!! Wooowwww...!,Император! Живьём!! А-а-а!
line-54,女游客,......,...,...
line-56,男游客,别蠢了！这都什么时候了，你竟然还在意地震！？,Don't be stupid! It's THE EMPEROR! And you still think it's some earthquake?!,Не тупи! В такой момент тебя всё ещё волнует землетрясение!?
line-58,女游客,不，只是，看见大帝，等等，我有点，喘不过气......,"No, I'm just too excited, from seeing... Wait, I kind of... can't breathe...","Нет, просто... увидев Императора... погоди, мне... мне трудно дышать..."
line-65,保镖,大帝先生，这边请。,"Mister Emperor, this way please.","Господин Император, прошу сюда."
line-66,保镖,各位观众！请退后！退至线后！,Ladies and gentlemen! Please move back! Stand behind the line!,"Уважаемые зрители! Пожалуйста, отойдите! За линию!"
line-68,大帝,喂，那个萨弗拉年轻人。,"Hey, young man, that Savran over there.","Эй, молодой завра."
line-69,大帝,没关系，让他们靠近点。,It's okay. Let them come closer.,"Ничего страшного, пусть подойдут поближе."
line-71,保镖,可是大帝先生，您一会还有演出，如果出了什么意外......,"But Mister Emperor, you still have a performance later. If some kind of accident were to happen...","Но господин Император, у вас скоро выступление, если случится какое-нибудь происшествие..."
line-73,大帝,意外？,Accident?,Происшествие?
line-74,大帝,枪击，刺杀，绑架，自杀威胁，意外是指这些东西？,"You mean an attempted shooting, assassination, kidnapping, suicide threat, or something along those lines?","Перестрелки, покушения, похищения, угрозы самоубийством — ты это называешь происшествиями?"
line-75,大帝,这些东西能阻止什么？阻止我吗？,Do you think those things can stop me? Me?,Разве это может что-то остановить? Остановить меня?
line-76,大帝,不，它们会变成我舞台的一部分，就像语言的意义被节奏消解，你明白吗？,"No, those things shall only become a part of my show, just like how rhythm breaks apart the meaning of words. Do you understand?","Нет, они станут частью моего шоу. Смысл слов растворяется в ритме, понимаешь?"
line-78,保镖,不、不明白......,"Well, no...","Н-нет, не понимаю..."
line-80,大帝,简单来说就是节目效果。放轻松，塞壬唱片绝对不会追究你们失责。,"To put it simply, it's all theatrics. Just relax. I promise, Siren won't blame you for it.","Проще говоря, это шоу-эффект. Расслабься, Monster Siren Records точно не накажут вас за халатность."
line-85,,（欢呼声）,(Cheering),(Ликование)
line-86,观众,大帝！！大帝！！大帝！！,Emperor!! Emperor!! Emperor!!,Император!! Император!! Император!!
line-89,表情古怪的游客,......,...,...
line-91,大帝,喔，总算来了，快，不要紧张，放轻松，大胆点，相信你自己。,"Ah, you're here. Come, don't be nervous. Just relax, muster up some bravery, and believe in yourself.","О, ну наконец-то. Давай, не нервничай, расслабься, будь смелее, верь в себя."
line-93,表情古怪的游客,什么西哥伦比亚的说唱之神，你，你就是个痞子，一个走狗屎运的幸运儿......,"Columbia's Rap God? You're nothing but a thug, a mongrel that got a little lucky...","Тоже мне, бог рэпа Западной Колумбии... Ты... ты просто шпана, везунчик, которому несказанно подфартило..."
line-95,大帝,大声点，伙计，大声说话！喂，萨弗拉人，不要赶他走，把麦克风给他。不要慌，这里听我的。,"Louder, pal, let me hear you! Hey, Savran, don't drive him away. Give him the mic. Don't worry. Just do as I say.","Громче, парень, говори громче! Эй, завра, не прогоняй его, дай ему микрофон. Без паники, здесь всё под моим контролем."
line-97,表情古怪的游客,你毁了我们的生活，你却坐拥那么多产业，你......你该去死！！,"You ruined our lives, but you still sit atop so much wealth... You, you deserve only death!!","Ты разрушил наши жизни, при этом заграбастал столько активов... Ты... ты должен сдохнуть!!"
line-99,女游客,咿呀——他拔出了一把弩！快躲开！,Noooo! He has a crossbow! Take cover!,А-а-а! Он вытащил арбалет! Берегитесь!
line-101,表情古怪的游客,不怪我，对，都是你的错，你所谓的说唱帝国建立在多少歌手的牺牲之下——,"Don't blame me. That's right, it's all your fault. Just how many singers were sacrificed for your so-called 'rap empire'...","Я не виноват, да, это всё твоя вина. Твоя так называемая рэп-империя построена на костях скольких певцов?.."
line-102,表情古怪的游客,什么大帝啊，吃屎去吧，你这只下作的企鹅！,"Emperor? Eat dirt, you bottom-feeding penguin!","Тоже мне Император, жри дерьмо, ты, грязный пингвин!"
line-104,大帝,啊哈，让我想想，到底是谁在耍一些不入流的小手段？媒体，舆论，人身攻击，还有枪杀，哼？,"Ahaha, let me think about that one. Who's the one playing dirty? Riling up the media, manipulating public opinion, personal attacks, and now even a shooting attempt? Hmph.","Ха-ха, дай-ка подумать, и кто тут использует грязные приёмчики? СМИ, общественное мнение, личные нападки, а теперь и стрельба, хм?"
line-105,大帝,你以为在下水道和垃圾堆里打一圈滚我就认不出你了吗？对那些年轻人开枪让你满足吗，“歌手”？,"You think I'd forget who you are just because you decided to roll around in the sewers? Will pointing your weapon at these youngsters satisfy you, 'Songster?'","Думал, я не узнаю тебя после того, как ты повалялся в сточных канавах и помойках? Приносит ли тебе удовлетворение стрельба в молодёжь, «Певец»?"
line-107,表情古怪的游客,你——！,You...!,Ты—!
line-109,大帝,如果不是我恰好有那么点看不顺眼，你们又会继续“排除”掉多少不合口味的新星。,"If I wasn't such a juicy target for you, how many rising stars would you have continued to 'eliminate' just for not suiting your tastes?","Если бы я тогда не вмешался, скольких ещё «неугодных» восходящих звёзд вы бы «устранили»?"
line-110,大帝,然后把捞来的钞票堆在自己的澡盆里，唾弃着整个哥伦比亚？,How long did you think you'd get away with spitting on the entirety of Columbia while stuffing your bathtub full of money?,"А потом складывали бы награбленные деньги в свою ванну, презирая всю Колумбию?"
line-112,表情古怪的游客,闭嘴！给我去死！,Shut up! Just die!,Заткнись! Сдохни!
line-114,保镖,快保护大帝先生！,Protect Mister Emperor!,Защитите господина Императора!
line-123,保镖,大帝先生中弹了，快......欸？,Mister Emperor has been shot! Wait... what?,"Господина Императора подстрелили, скорей... А?"
line-124,保镖,开枪的是大帝先生？那家伙的弩被打飞了？,Mister Emperor was the one who shot first? That bastard's crossbow went flying!,Стрелял господин Император? Арбалет того парня выбили из рук?
line-130,大帝,哒哒哒哒哒，哒！砰！,Ratatat tat! Bang!,"Та-та-та-та, та! Пау!"
line-131,大帝,真奇怪。同你废话了这么多，枪口冒烟的人怎么是我？猜猜看？,"How strange. You were the one running your muzzle, but how come my muzzle is smoking first? Why don't ya take a guess?","Как странно. Я столько болтал с тобой, а дуло дымится у меня. Угадаешь, почему?"
line-132,大帝,是因为你太没种，还是我光芒万丈，你睁不开眼？,"Is it because ya got no game, or is my brilliance that is to blame?","Потому что у тебя кишка тонка, или мой ослепительный блеск не даёт тебе открыть глаза?"
line-134,表情古怪的游客,咕——呃——你随身带着铳械......,Guh... You... even brought guns with you...,Гх-кх... ты носишь при себе огнестрел...
line-136,大帝,如果一个人每天多死个几次，就会养成随身携带武器的好习惯。,"If you die several times every day, there are games that you just won't play.","Если бы ты почти умирал по нескольку раз на дню, у тебя бы тоже появилась привычка всегда носить при себе пушку."
line-138,表情古怪的游客,咳咳——你以为，只有我一个人吗？想想你过去招惹的敌人，你走不出这座汐斯塔市的！,*cough* *cough*... Do you really... think I'm alone? Think about all the enemies you've made. You won't leave Siesta alive!,"Кхе-кхе... думаешь, я один такой? Вспомни всех врагов, которых ты нажил, тебе не выбраться из Сиесты живым!"
line-140,大帝,我的过去比这边虚假的海洋还要宽广，你说的敌人又在哪个犄角旮旯？,My past is more expansive than this sea of falsity; so where are these 'enemies' that await my majesty?,"Моё прошлое шире, чем этот фальшивый океан. В каких таких тёмных углах прячутся твои враги?"
line-142,保镖,大帝先生！观众里面混着很多他们的同伙，我们处理不过来......,Mister Emperor! Many of his rabble are hidden among the audience. We can't deal with all of them...,"Господин Император! В толпе полно их сообщников, мы не справляемся..."
line-144,大帝,行了，不要这么慌张。你们就维护好现场的秩序，剩下的交给专业人士。,"That's all right. Don't panic. Just maintain the order here, and leave the rest to the professionals.","Ладно, не паникуйте. Вы просто поддерживайте порядок, а остальное предоставьте профессионалам."
line-145,大帝,比如我的，企鹅物流。,"Professionals, like Penguin Logistics.","Например, моей... «Penguin Logistics»."
