ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,neksi0762
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act33side
__chapter__,,Chapter Name,activities/act33side/level_act33side_09_end,尘埃落定
,,,,
char-1,特蕾西娅,特蕾西娅,Theresa,Тереза
char-2,阿米娅,阿米娅,Amiya,Амия
char-3,博士,博士,Doctor,Доктор
,,,,
line-10,,阿米娅最后记得的事，是她睡在黑色的泡泡里。,The last thing Amiya remembers is sleeping inside the black bubble.,"Последнее, что помнила Амия — как она спала в черном пузыре."
line-11,,特蕾西娅温柔地抱着包裹着她的泡泡。,Theresa gently cradling the bubble wrapped around her.,"Тереза нежно обнимала пузырь, в котором находилась Амия."
line-12,,讲述着一个她已经听过许多次的故事......,Telling her a story that she has already heard many times before.,"Рассказывая историю, которую та слышала уже много раз..."
line-15,特蕾西娅,在绝望的沙漠里有很多恐怖的影子，他们追逐着不停寻找希望的小布人。,"Within the Desert of Despair live many terrible shadows, forever chasing after the little puppet who is seeking for hope.","В пустыне отчаяния обитает множество пугающих теней, они преследуют маленького тряпичного человечка, что безостановочно ищет надежду."
line-16,特蕾西娅,黑袍的影子是最古老最古老的，绝望和悲哀的回声。,The black-cloaked shadows were the echoes of the oldest despair and sadness.,"Тени в черных одеяниях — самые древние из древних, они эхо отчаяния и печали."
line-17,特蕾西娅,一旦被他们抓住，就再也逃不开了。,"If they catch you, you'll never escape them.","Стоит им схватить тебя, и ты уже никогда не убежишь."
line-19,特蕾西娅,在沙漠中，小布人遇到了缀满赤金与宝石的国王，他答应小布人只要原路返回，就给他数不尽的财富。,"Within the desert, the little puppet met the king, who was covered in pure gold and precious gems. The king told the little puppet that if he went back the way he came, he would be given riches beyond measure.","В пустыне тряпичный человечек встретил короля, облаченного в красное золото и драгоценные камни; тот пообещал ему несметные богатства, если он просто вернется назад."
line-20,特蕾西娅,尽管国王拉扯着他，小布人依旧丢下了诱人的宝石继续前进。,"Despite the king pulling him back, the little puppet ignored the captivating gems, and pressed onwards.","Несмотря на то что король тянул его обратно, человечек бросил соблазнительные драгоценности и продолжил свой путь."
line-22,特蕾西娅,但很快——,But very soon—,Но вскоре —
line-23,特蕾西娅,黑袍的影子追上了他。影子不断向他扑去，无穷无尽......,"The black-cloaked shadows caught him. They kept throwing themselves at him, over and over again, near endlessly...","Тени в черных одеяниях настигли его. Тени непрерывно бросались на него, бесконечные, как сама тьма..."
line-24,特蕾西娅,“砰，砰，砰”......,"'Bang, bang, bang'...","«Бам, бам, бам»..."
line-26,特蕾西娅,他只能抽出针和线做的长矛与黑色的影子战斗，最终挡开了影子们的利爪继续向前逃去......,"The puppet took out a long spear made of a needle and some threads, fighting the shadows, until finally, after knocking aside the shadows' sharp talons, he managed to escape.","Ему оставалось лишь выхватить копье, сделанное из иголки и нитки, чтобы сразиться с черными тенями, и в конце концов он отбил их когти и продолжил бегство..."
line-27,特蕾西娅,直到逃到一条泪水汇成的大河。没有船只，没有浮萍，小布人只能游过去......,"He ran as fast as he could until he reached a large river of tears. There was neither boat nor weeds, so all the little puppet could do was swim across.","Пока не добежал до великой реки, состоящей из слез. Ни кораблей, ни кувшинок, человечку пришлось переплыть её вплавь..."
line-28,特蕾西娅,可一沾上泪水，他就越来越沉，直至河底——,"But as he soaked in the tears, he began to sink, until he touched the riverbed.","Но стоило ему коснуться слез, как он становился всё тяжелее, опускаясь на самое дно —"
line-32,特蕾西娅,他失败了。,He had failed.,Он потерпел неудачу.
line-34,,这就是故事的结局了吗？阿米娅不愿意相信。,Was this how the story ended? Amiya could not believe.,Неужели это конец истории? Амия не хотела в это верить.
line-35,,也许是特蕾西娅小姐念错了也说不定？,Maybe Theresa read it wrongly?,"Может быть, госпожа Тереза что-то напутала?"
line-36,,她焦急地想要让特蕾西娅小姐改变结局......,She anxiously wished for Theresa to change the ending of the story.,Она в тревоге хотела заставить госпожу Терезу изменить концовку...
line-38,阿米娅,特蕾西娅小姐......,Theresa...,Тереза...
line-40,特蕾西娅,......我在。,...Yes?,...Я здесь.
line-42,阿米娅,我们......能救救小布人吗？,Can we... save the little puppet?,Мы... мы можем спасти тряпичного человечка?
line-44,特蕾西娅,你想要救他吗？,You wish to save him?,Ты хочешь его спасти?
line-46,阿米娅,想，我......很想很想......,"I do. I... I really, really do.","Да, я...  очень-очень хочу..."
line-55,,声音淡去了。,All sound fades away.,Голоса затихли.
line-56,,挡住阿米娅视线的泡泡在消散。,The bubble obstructing Amiya's sight dissipates.,"Пузырь, застилавший обзор Амии, рассеивался."
line-57,,特蕾西娅的身影在她的眼前越来越清晰——,Theresa's figure becomes clearer and clearer—,Фигура Терезы становилась всё четче перед её глазами —
line-66,,在眼角的余光中，她看到了躺倒在地面上的黑袍影子们渗出的殷红。,"Out of the corner of her eye, she sees dark red seep out of the black-cloaked shadows lying down on the ground.","Боковым зрением она увидела багровые пятна, проступавшие на черных тенях, лежащих на земле."
line-67,,这些人......是谁？他们是什么时候来的？为什么会躺在地上？,Who are these people? When did they arrive here? Why are they lying on the ground?,Эти люди... кто они? Когда они пришли? Почему они лежат на земле?
line-68,,阿米娅有太多太多的疑惑想要问特蕾西娅，她努力睁大自己的眼睛......,Amiya had so many questions she wanted to ask Theresa. She did her best to open her eyes wide.,"У Амии было так много вопросов, которые она хотела задать Терезе, она старалась изо всех сил открыть глаза..."
line-69,,她看到了白色衣服上沾染的殷红。看到了......特蕾西娅泛红的眼角。,She sees a white dress stained crimson. She sees Theresa's bloodshot eyes.,Она увидела алые пятна на белой одежде. Увидела... покрасневшие уголки глаз Терезы.
line-70,,特蕾西娅小姐还好吗？,Was Theresa okay?,С госпожой Терезой всё в порядке?
line-71,,阿米娅想问问特蕾西娅小姐身上的伤势。,Amiya wants to ask Theresa about her injuries.,Амия хотела спросить о ранах Терезы.
line-72,,但她发不出声音。,But she could not make a sound.,Но она не могла издать ни звука.
line-76,特蕾西娅,......阿米娅，没事。,"It's okay, Amiya.","...Амия, всё хорошо."
line-77,特蕾西娅,我在这呢。那些故事里的坏蛋已经暂时被打倒了。,I am here. I beat those bad people from the stories.,Я здесь. Те злодеи из истории были временно повержены.
line-80,,特蕾西娅小姐怎么了？,What happened to Theresa?,Что случилось с госпожой Терезой?
line-81,,阿米娅想要拭去特蕾西娅小姐脸上的疲惫。,Amiya wants to wipe the weariness off of Theresa's face.,Амия хотела стереть следы усталости с лица госпожи Терезис.
line-82,,但她抬不起自己的手。,But she could not move her hands.,Но она не могла поднять руку.
line-92,特蕾西娅,抱歉，我没有能力改变故事的结局。,I'm sorry. I can't change the ending of the story.,"Прости, мне не под силу изменить концовку истории."
