ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act18side
__chapter__,,Chapter Name,activities/act18side/level_act18side_st02,春之祭
,,,,
char-1,畏首畏尾的贵族,畏首畏尾的贵族,Cowardly Noble,Робкий аристократ
char-2,肆无忌惮的术师,肆无忌惮的术师,Reckless Caster,Безрассудный заклинатель
,,,,
line-10,畏首畏尾的贵族,和陛下有血脉联系的人......就只剩这些了？,So these are the only ones left of His Majesty's bloodline?,"И это всё... что осталось от тех, кто связан кровными узами с Его Величеством?"
line-12,肆无忌惮的术师,那两个女人下手太快太狠，这已经是极限了。,Those wretched women were quick at their handiwork. This is the best we can do.,"Те две женщины действовали слишком быстро и жестоко, это был предел."
line-14,畏首畏尾的贵族,我还是觉得，陛下留下的旋律不应该这么随随便便地——,I still say that we shouldn't be treating His Majesty's melodies so frivolously—,"Мне всё же кажется, что мелодия, оставленная Его Величеством, не должна была использоваться так небрежно..."
line-16,肆无忌惮的术师,那你想怎么办？,"What do you think we should do, then?",А что ты предлагаешь делать?
line-18,畏首畏尾的贵族,我觉得我们还是应该稳重一点......,I think we should be a little more cautious here...,"Я думаю, нам стоит быть осторожнее..."
line-20,肆无忌惮的术师,稳重？我们的人每天都在被杀，你还敢说稳重？这是最后的机会了！,"Cautious? Our people are being slaughtered day after day, and you want to be cautious? This is our last chance!","Осторожнее? Наших людей убивают каждый день, а ты смеешь говорить об осторожности? Это наш последний шанс!"
line-22,肆无忌惮的术师,陛下的血脉与陛下的旋律结合，就算不能复现陛下全部的力量，至少......,"Even if bringing His Majesty's bloodline and melodies won't revive all of His Majesty's powers, at the very least...","Если соединить кровь Его Величества с его мелодией, даже если мы не сможем воспроизвести всю его мощь, по крайней мере..."
line-26,,我......到底几岁？两岁？三岁？,How... How old am I? Two? Three?,Мне... сколько мне лет? Два года? Три?
line-27,,我正站在一片破败的建筑中间，茫然地环顾四周。,"In the middle of a rundown building, I look around at my surroundings, bewildered.",Я стою посреди разрушенного здания и растерянно оглядываюсь по сторонам.
line-28,,带我来的人告诉我，我的父亲和母亲已经死于私刑，而那时的我还无法理解什么是私刑，什么是死。,"The man who brought me here told me that both my father and mother had already been lynched. At the time, I didn't even understand what lynching and death meant.","Тот, кто привел меня сюда, сказал, что мои отец и мать погибли от самосуда, а я тогда даже не понимал, что такое самосуд и что значит умереть."
line-29,,他还说，从今以后，这里就是我的家，我将成为伟大计划的一部分，运气好的话，我会成为莱塔尼亚的下一任统治者。,"He even told me that, from here on out, this would be my home. I was going to be part of a grand plan, and if luck was on my side, I could even become Leithanien's next ruler.","Он также сказал, что с сегодняшнего дня это место станет моим домом, что я стану частью великого плана, и если повезет, то я буду следующим правителем Лейтании."
line-30,,不懂。完全听不懂。,I don't get it. I don't get any of it at all.,Не понимаю. Совсем ничего не понимаю.
line-31,,我只能懵懵懂懂地意识到，我的那个房间，每天上午会有阳光直射进来的房间，似乎回不去了。,"The only thing I understood in my confusion was that I probably wouldn't ever get to go back to my room, where sunlight beamed in every morning.","Я лишь смутно осознаю, что в ту комнату, комнату, куда каждое утро заглядывало солнце, я, кажется, уже никогда не вернусь."
line-39,畏首畏尾的贵族,我已经说过了，把人当成尘世之音的容器，这种事情不可能成功的......,Didn't I tell you already? It's impossible to make a person into a vessel for the Voice of Mundane!,"Я уже говорил, что использовать людей как сосуды для Звуков Мира — эта затея не увенчается успехом..."
line-41,肆无忌惮的术师,你早知道不可能？计划实行之前你明确表示反对了吗？现在倒好，人死了，你倒跳出来说风凉话了？晚了！,"You knew it was impossible? Did you let any of us know you were against the plan before we started, then? And now only after they started to bite the dust are you complaining? Don't make me laugh!","Ты знал, что это невозможно? Ты открыто выступал против до начала осуществления плана? А теперь, когда люди погибли, ты выскочил с этими разговорами? Поздно!"
line-43,畏首畏尾的贵族,不是，我......,"No, I...","Нет, я..."
line-45,肆无忌惮的术师,我告诉你，这不是浪费，这是为了成功必须付出的代价。,Let me tell you. This isn't a waste. This is a price we must pay for our success.,"Скажу тебе так: это не трата впустую, это цена, которую необходимо заплатить ради успеха."
line-47,肆无忌惮的术师,只要他们之中能有一个活下来，我们就没必要像做贼一样躲在这种穷乡僻壤了！,"As long as one of them survives, we won't have to hide out here in the provinces like thieves!","Если хоть кто-то из них выживет, нам больше не придется прятаться в этой глуши, как ворам!"
line-49,肆无忌惮的术师,维多利亚、乌萨斯、卡西米尔......对我们的计划感兴趣的人有的是！只要能成功，我们就能借来他们的军队，向那两个女人复仇！,"Victoria, Ursus, Kazimierz... There are more parties interested in our plans than we can count! As long as we succeed, their armies will help secure our revenge against those awful women!","Виктория, Урсус, Казимеж... есть полно тех, кого заинтересуют наши планы! Как только мы преуспеем, мы сможем одолжить их армии и отомстить этим двум женщинам!"
line-53,,那天，到这儿之后一直照顾着我们的大姐姐不见了。,"That day, the lady who had been taking care of us disappeared.","В тот день старшая сестра, которая присматривала за нами с момента прибытия сюда, исчезла."
line-54,,大姐姐不见后，那些会给我们送饭，但和我们不住在一起的人吵了起来。,"Once she was gone, the men who brought us our meals but didn't stay with us started arguing with each other.","После того как старшая сестра пропала, те люди, которые приносили нам еду, но не жили с нами, начали ссориться."
line-55,,我还是听不懂他们在吵什么，只知道，那个会给我们哼歌的大姐姐，好像不会回来了。,I didn't understand what they were arguing about. All I knew was that the lady who sang songs for us probably wasn't going to be back again.,"Я до сих пор не понимаю, о чем они спорили, знаю лишь, что та старшая сестра, которая напевала нам песни, кажется, больше не вернется."
line-56,,那首歌好像是这么唱的：,"If I remember correctly, this is how the song goes:","Та песня, кажется, звучала так:"
line-57,,天空湛蓝晴朗，,"The Sky is blue and fine,","Небо чистое и синее,"
line-58,,微风轻声歌唱；,The Breeze lilts by in Song;,Ветер тихо напевает;
line-59,,河水潺潺流淌，,"The River murmurs clear,","Речка мирно протекает,"
line-60,,我的心充满希望。,My Heart is filled with Hope.,Сердце надеждой наполняет.
line-61,,歌曲似乎还有后半段，但大姐姐从来没有唱过。,"I think there was more to the song, but she never sang that part to us.","У песни, кажется, была вторая часть, но старшая сестра её никогда не пела."
line-69,肆无忌惮的术师,这次怎么样，我问你，这次怎么样？,What is it this time? Out with it.,"Ну что, спрашиваю тебя, как в этот раз?"
line-71,畏首畏尾的贵族,可人还是死了......,"That's another one of them, dead...",Но человек всё равно умер...
line-73,肆无忌惮的术师,死了又怎么样？我们已经在进步了！,So what? We're making progress!,"А что с того, что умер? Мы уже движемся вперед!"
line-75,肆无忌惮的术师,下次我们把手术室搬到更远的地方，用阻隔声音的材料装修一下......会成功的！,"Next time, we'll move the operating room farther away and add some soundproofing material... We'll definitely get there!","В следующий раз мы перенесем операционную подальше, отделаем её материалами, поглощающими звук... и всё получится!"
line-79,,天气冷了又暖。,"The weather got cold, and then warm.","Погода становилась холоднее, а потом теплее."
line-80,,一开始的时候，每当有人消失，那些人就会大吵特吵。,"At first, those men would make a huge ruckus whenever someone disappeared.","Поначалу, каждый раз, когда кто-то исчезал, те люди устраивали громкие ссоры."
line-81,,后来，他们渐渐不吵了，但我们的餐食越来越差，好在吃饭的人也越来越少，所以还能填饱肚子。,"They gradually complained less and less. Our meals got worse, too, but at least we were able to fill our stomachs, thanks to there being fewer mouths to feed.","Потом они постепенно перестали ссориться, но наша еда становилась всё хуже. К счастью, людей, которых нужно кормить, тоже становилось меньше, так что мы всё ещё могли набить желудки."
line-82,,大概人就是这样的东西，一不小心就消失不见了。,"Perhaps this is just how man is meant to be. Before you know it, they disappear.","Наверное, люди — это такие существа, которые легко могут исчезнуть в одно мгновение."
line-83,,他们的东西也一样。,"And so did their things, too.",То же самое происходит и с их вещами.
line-84,,某个老奶奶的拐杖，某个大哥哥的音乐盒，某个叔叔爱不释手的法杖和源石骰子......,"Like the cane that belonged to the old granny, the music box that belonged to a boy, the wand and Originium dice that belonged to an older man...","Трость какой-то бабушки, музыкальная шкатулка старшего брата, любимый посох и кости из ориджиниума какого-то дяди..."
line-85,,但有些东西会留下来，比如那位大姐姐爱唱的歌。,"But there were also things that stayed with us, like the song that the girl liked to sing.","Но кое-что всё-таки остается, например, песня, которую так любила петь старшая сестра."
line-86,,有个孩子学会了那首歌，他常把那首歌挂在嘴边。,"There was a boy who learned the song, and he liked humming it.","Один ребенок выучил эту песню, он часто её напевал."
line-94,畏首畏尾的贵族,我们——我们究竟在做什么？！,Just... Just what are we doing?!,Мы... что мы вообще делаем?!
line-96,畏首畏尾的贵族,陛下的血脉被我们保护下来，最后却......死在我们手上......,"We brought His Majesty's bloodline under our protection, only to... only to send them to their deaths...","Мы сберегли кровь Его Величества, но в конечном итоге... она умирает от наших рук..."
line-98,肆无忌惮的术师,清醒一点，这是必要的代价！为了让陛下的血脉掌握相应的力量，这是必须付出的牺牲！,"Wake up! This is a necessary price to pay! To make sure His Majesty's bloodkin can wield His power properly, we have to make these sacrifices!","Опомнись, это необходимая жертва! Чтобы кровь Его Величества обрела подобающую мощь, это обязательная жертва!"
line-100,肆无忌惮的术师,我们对尘世之音的了解已经越来越多了，很快就能成功的！,We are learning more and more about the Voice of Mundane. We'll succeed soon enough!,"Мы узнаем о Звуках Мира всё больше, скоро всё получится!"
line-102,畏首畏尾的贵族,可那些死去的人......,What about those who died?,"Но те, кто погиб..."
line-104,畏首畏尾的贵族,不，我们别再搞这种疯狂的实验了......我们隐姓埋名，教育剩下的这几个，没准他们也能像陛下一样......,"No, let's stop these crazy experiments... Let's start over with new identities and raise the few we have left. They might just grow up to become fine men like His Majesty...","Нет, давай больше не будем проводить такие безумные эксперименты... Давай заляжем на дно, обучим оставшихся, может быть, они тоже смогут стать как Его Величество..."
line-106,肆无忌惮的术师,别做梦了，尘世之音是必需的！,Stop dreaming! We need the Voice of Mundane!,"Не мечтай, Звуки Мира необходимы!"
line-110,,后来，又过了一年，或者两年，我不知道。,"Then, after a year, or perhaps two... I really have no idea.","Потом прошел еще год или два, я не знаю."
line-111,,只剩下我和那个孩子。,It was just me and the boy.,Остались только я и тот ребенок.
line-112,,每当那些人到房间里来的时候，我都吓得全身发抖。,I'd start trembling in fear every time those men came to our room.,"Каждый раз, когда те люди приходили в комнату, я дрожал от страха."
line-113,,这时，那个孩子就会安慰我，告诉我没事，然后主动站到那些人面前。,"When he saw that, the boy would comfort me and tell me that everything was alright, before standing in front of them.","В такие моменты тот ребенок успокаивал меня, говорил, что всё будет хорошо, а затем сам выходил навстречу тем людям."
line-114,,等他们走后，他就会给我唱起那首歌。,"Then, as soon as they were gone, he would sing the song.","Когда они уходили, он начинал петь мне ту песню."
