ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,ilarhion
__language__,,Language,en_US,ru_RU
char-1,Misery,Misery,Misery,Мизери
char-2,凯尔希,凯尔希,Kal'tsit,Кальцит
char-3,简妮,简妮,Janie,Дженни
char-4,苇草,苇草,Reed,Рид
char-5,阿米娅,阿米娅,Amiya,Амия
char-6,琴柳,琴柳,Saileach,Сэйлич
char-7,陈,陈,Ch'en,Чэнь
char-8,风笛,风笛,Bagpipe,Бэгпайп
char-9,雷蛇,雷蛇,Liskarm,Лискарм
char-10,杰西卡,杰西卡,Jessica,Джессика
char-11,推进之王,推进之王,Siege,Сидж
char-12,摄政王,摄政王,Regent,Регент
char-13,赦罪师,赦罪师,Confessarius,Конфессарий
,,,,
line-11,Misery,……都给我吧。为了把她送回来，你赶了一路，很辛苦。,Leave it to me... You've traveled far to bring her home.,"……Отдай их мне. Ты проделала долгий путь, чтобы вернуть её, это было нелегко."
line-12,Misery,下面的事，我亲自处理。,I will take care of the rest personally.,Дальше я разберусь сам.
line-14,凯尔希,遗物和骨灰匣。,Ashes... and her personal effects.,Личные вещи и урна с прахом.
line-15,凯尔希,切尔诺伯格事件结束后，类似的紧急通讯声已经有整整十一个月又二十七天没有在罗德岛的甲板上响起了。,"There hasn't been an emergency transmission to Rhodes Island's deck for eleven months and twenty-seven days, since the end of the Chernobog incident.",После инцидента в Чернобоге подобные экстренные сигналы не звучали на палубе Родос Айленда целых одиннадцать месяцев и двадцать семь дней.
line-16,凯尔希,——这一次牺牲的是谁？,—Who's the victim?,— Кто пал в этот раз?
line-18,Misery,Outcast。,Outcast.,Ауткаст.
line-20,凯尔希,……,......,……
line-21,凯尔希,我看到了，你手中握着的是她的弹巢。,Right. I see you holding her revolver's cylinder.,"Я вижу, в твоей руке её барабан от револьвера."
line-22,凯尔希,虽然不想承认，但在来的路上，我已经想过这个答案。,"I don't want to admit it, but I already knew the answer. I figured it out on our way here.","Признавать не хочется, но по дороге сюда я уже думала об этом."
line-23,凯尔希,我曾经和她打过一个赌——,I made a bet with her once—,Когда-то я заключила с ней пари —
line-24,凯尔希,现在看来，她还是赢了。,And it looks like she won.,"Теперь кажется, что она всё-таки выиграла."
line-26,Misery,凯尔希，下面的会议，我会缺席。,"Kal'tsit, I won't be at that next meeting.","Кальцит, я пропущу следующее собрание."
