ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,main_13
__chapter__,,Chapter Name,obt/main/level_st_13-01,战场内外
,,,,
char-1,困倦的佣兵,困倦的佣兵,Beleaguered Mercenary,Сонный наемник
char-2,饥饿的佣兵,饥饿的佣兵,Starving Mercenary,Голодный наемник
char-3,红酒报资深编辑,红酒报资深编辑,Red Wine Senior Editor,Старший редактор «Винной газеты»
char-4,红酒报实习记者,红酒报实习记者,Red Wine Intern Journalist,Стажер-репортер «Винной газеты»
char-5,商队头领,商队头领,Caravan Head,Глава каравана
char-6,黑市商人,黑市商人,Black Market Merchant,Чернорыночный торговец
char-7,？？？,？？？,???,???
char-8,萨卡兹雇佣兵,萨卡兹雇佣兵,Sarkaz Mercenary,Саркази-наемник
char-9,焦急的村民,焦急的村民,Anxious Villager,Тревожный сельский житель
char-10,戴着礼帽的人,戴着礼帽的人,Behatted Person,Человек в шляпе
char-11,潜伏特工,潜伏特工,Undercover Secret Agent,Спящий агент
char-12,赫德雷,赫德雷,Hoederer,Хедри
char-13,伊内丝,伊内丝,Ines,Инес
char-14,W,W,W,W
,,,,
line-8,,维多利亚国立大学古典学系资深教授塞缪尔·瑟斯曾经把卡萨根爵士丰厚的藏书比作伦蒂尼姆郊外的冬青林。,"The Senior Professor of Classics to the Victorian National University, Samuel Seuss, once likened the ample library of Sir Cassegrain to the holly trees upon Londinium's fringes.","Сэмюэл Сёрс, заслуженный профессор кафедры классики Викторианского национального университета, когда-то сравнивал обширную библиотеку сэра Кассагена с остролистовым лесом на окраине Лондиниума."
line-9,,\n这些智识的结晶，这些历史的投影，我们行过之路与我们将行之路皆可在这里找到对应。,"\nIn these essences of knowledge, these long shadows of history, we never fail to find parallels to how we ourselves have gone, and to how we will go.","Эти кристаллизованные плоды интеллекта, эти проекции истории — здесь можно найти отражение как путей, которые мы уже прошли, так и тех, что нам ещё предстоит преодолеть."
line-10,,\n史诗与哲思被记录，神话与理论一一归档，谦卑的学者们用智慧与勤奋把这里涂满，每位桂冠诗人都拥有只属于自己的书架。,"\nRecorded are the epics and philosophies, one by one filed away are mythologies and theories. Humble scholars fill page to page with their wisdom and diligence, each laureate poet a bookshelf to themselves.","Эпосы и философские размышления задокументированы, мифы и теории разложены по полкам; скромные ученые заполнили это место своей мудростью и прилежанием, и у каждого поэта-лауреата была своя собственная книжная полка."
line-11,,\n“风暴终会消散，希望也不会真正磨灭。这些被记述下的东西所构成的，就是我们骄傲的文明本身。”,"\n'Someday the storm will pass, for hope can never truly die. What is formed of these accounts in ink; that is our civilization in all its pride.'","«Буря рано или поздно утихнет, а надежда не угаснет по-настоящему. Именно из того, что было записано, и состоит наша великая цивилизация»."
line-13,,卡萨根爵士是个不坏的狱友，我们隔着一堵墙争论过很多问题，也许正因为那堵墙，他直到最后也没发现我是个萨卡兹，他只当我是个太湎于反思的维多利亚人。,"Sir Cassegrain was a decent gaolmate; we debated over many a question through our wall. The wall that was, perhaps, the sole reason our time came to an end without his realizing I was a Sarkaz; he simply took me as Victorian, one too mired in introspection at that.","Сэр Кассаген был неплохим сокамерником. Мы спорили о многих вещах через стену, и, быть может, именно из-за этой стены он до самого конца не догадывался, что я саркази. Он считал меня лишь викторианцем, слишком склонным к рефлексии."
line-14,,\n我仍记得他被从我隔壁牢房带离之前，最后说的话。,"\nI still remember his last words to me, before being dragged from that neighboring cell.","Я до сих пор помню его последние слова перед тем, как его вывели из соседней камеры."
line-16,,“在任何困难的年月，只要一位自豪的维多利亚人回到那里，就能重新感受到严冬不长，春天将近。”,"'In any time of trouble, a proud Victorian need only return there, and the winter of our discontent will once again feel not so endless after all, and the coming of spring the closest thing.'","«В любые трудные годы, стоит гордому викторианцу вернуться домой, как он вновь почувствует, что суровая зима не вечна, и весна уже близко»."
line-17,,\n“......朋友，只要回到那里。”,"\n'...Friend, you need only return there.'","«...Друг мой, главное — просто вернуться туда»."
line-29,困倦的佣兵,毫无办法。,You're SOL.,Ничего не поделаешь.
line-30,困倦的佣兵,我试过，那几本书就连里面的纸都是皮做的，根本点不着。,I tried those already. Even the paper's the good calfskin stuff—those books ain't burning.,"Я пытался. Даже бумага в этих книгах сделана из кожи, её просто так не поджечь."
line-32,饥饿的佣兵,如果纸是皮做的，为什么还叫纸，而不直接叫皮呢？,"Why call it paper if it's calfskin, anyway? Why don't we say 'writing skin' or something?","Если бумага сделана из кожи, почему её называют бумагой, а не просто кожей?"
line-34,困倦的佣兵,不知道。,I dunno.,Не знаю.
line-36,困倦的佣兵,*萨卡兹粗口*，这火根本就不旺，到处都是烟，可锅里的汤完全没动静。,"Screw us, this fire just ain't happening. We've got all smoke and no warm soup pot.","*Ругательство на языке саркази*, огонь совсем не разгорается. Одни дым, а суп в котелке даже не кипит."
line-41,饥饿的佣兵,“汤”......这东西就是清水里漂了点菜梗和肉片。,'Soup'... This stuff's just water with a couple stems and scraps we tossed in.,«Суп»... В этой жиже только вода да пара овощных стеблей с кусочками мяса.
line-43,困倦的佣兵,说到底都是他们的问题！,"You know what, this is all their fault!","В конце концов, это всё их вина!"
line-45,困倦的佣兵,那些不正眼看人的王庭混蛋让我们干这些脏活累活，满城抓伦蒂尼姆人，把他们塞进工厂做工，却连碗热汤都不舍得给我们准备。,"Those sneering Royal Court shitheads have us out here doing all the hard and dirty work, snatching Londiniers across to work their factories across the ENTIRE city, and they won't even give us a hot bowl of something for the trouble.","Эти ублюдки из Королевского суда, которые смотрят на нас свысока, заставляют нас выполнять всю грязную работу, гребут всех лондиниумцев подряд и пихают их на заводы, а сами даже тарелки горячего супа нам приготовить жалеют."
line-47,饥饿的佣兵,队长说，我们现在正式占领伦蒂尼姆啦。,Captain said we've officially seized Londinium now.,"Капитан сказал, что мы официально захватили Лондиниум."
line-49,饥饿的佣兵,城防军被解散了，那个叫莱托的黎博利失了业。,"Defense Forces got disbanded. That Lettou guy's out, the Liberi.","Городская стража распущена, тот либери по имени Лайто остался без работы."
line-51,困倦的佣兵,我开始后悔没跟W那个疯女人走了。,"Well, I'm starting to regret not going with W. Goddamn loony woman.","Начинаю жалеть, что не ушел с той сумасшедшей бабой, W."
line-53,困倦的佣兵,算了......跟她走也未必有什么好下场。,Whatever... probably wouldn't turn out any better if I did.,Хотя... вряд ли её путь привел бы к чему-то хорошему.
line-58,饥饿的佣兵,这些，还有那些......都是什么书？,"What... are all these books, anyway?",Это... и вон то... что это за книги?
line-60,困倦的佣兵,没兴趣，说不定是折扣目录。,Could be discount catalogs for all I care.,"Мне плевать. Может, каталоги распродаж."
line-62,饥饿的佣兵,为什么那个老菲林要收集这么多折扣目录？,Why would some old Feline collect this many discount catalogs?,Зачем этому старому фелину собирать столько каталогов распродаж?
line-64,困倦的佣兵,你怎么这么多问题。谁在乎维多利亚人在想什么。,What <i>is</i> it with you and questions. Who gives a shit what goes on in a Victorian's head.,"Да почему у тебя так много вопросов? Кого вообще волнует, что думают викторианцы?"
line-66,困倦的佣兵,不过，我从没见过一个上了年纪的人哭成那样，你刚才看到了吗？他的绣花衣襟都被鼻涕粘在一起了。,"Still, never seen an old man cry his eyes out like that. Were you watching? Got his embroidered lapel all gunked up with his own snot.","Кстати, я никогда не видел, чтобы пожилой человек так рыдал. Ты видел его? У него весь воротник в соплях был."
line-68,饥饿的佣兵,......,......,...
line-70,困倦的佣兵,喂，傻愣着干嘛！去多给我拿几本过来，火又要灭了。,"Hey, snap out of it! Get me some more books, the fire's about to go out.","Эй, чего застыл! Принеси-ка мне еще пару книг, костер сейчас погаснет."
line-72,困倦的佣兵,你在干什么？,What are you doing?,Ты что делаешь?
line-75,饥饿的佣兵,呃......看书。,Uh... reading them.,Да так... читаю.
line-77,困倦的佣兵,啥，“看”？你就不认字！这些还都是维多利亚字！,What 'reading'? You ain't literate! And all this shit's in Victorian anyway!,"Чего, «читаешь»? Ты же неграмотный! И написано это всё на викторианском!"
line-79,饥饿的佣兵,除了字，书里还有画呢！你看这些插图，这个菲林女的给了这男人一巴掌，他们俩什么关系？,"Well, there's pictures in here too! Look at these drawings, there's a Feline girl here giving this boy a real slap. What do you think's the deal with these two?","Тут кроме текста еще и картинки есть! Смотри на эту иллюстрацию: эта фелин дает мужчине пощечину. У них что, роман?"
line-81,困倦的佣兵,我猜是姘头。有没有点更带劲的？,"Cheating, I'd figure. Anything more interesting?",Наверняка любовники. Есть что-нибудь поинтереснее?
line-83,饥饿的佣兵,没了，剩下的图都很无聊......这些东西光一本就有足足几百页，这里有多少本？,"No, all the other pictures are dull... Just one of these things is a couple hundred pages. How many books do we have here?","Нет, остальные картинки скучные... В каждой такой книге по несколько сотен страниц, сколько же их тут всего?"
line-85,饥饿的佣兵,那边还有些比较薄的，那里面每行写不了几个字就要转向下一行......到底维多利亚人在里面写了些什么东西？,"And the thinner ones over there. They only put a few words on each line, so you have to keep looking down for the next one... What IS it Victorians are writing in these?","Вон там есть потоньше, в них строки постоянно прыгают... Что викторианцы вообще в них записывали?"
line-87,饥饿的佣兵,这片大地上真的有那么多值得被写成书的东西吗？,Do the lands really have that much worth writing books about?,"Неужели на этой земле происходит столько всего, что стоит записывать в книги?"
line-89,饥饿的佣兵,这本，这本，还有那本......还用这么好的玻璃柜，还分了这么多类别？,"This one, this one, and that one... all kept in these beautiful glass cases, and they're all different kinds?","Вот эта, вот та... и ведь хранят их в стеклянных шкафах, разделяют по категориям?"
line-91,困倦的佣兵,还有一种可能，维多利亚人有钱到愿意把厕纸都订在一起。,"Here's another possibility: Victorians are so stinking rich, they'll pay to bind their own toilet paper.","Есть еще одна версия: викторианцы настолько богаты, что готовы даже туалетную бумагу в переплеты сшивать."
line-93,饥饿的佣兵,哈，说不定。,Hah. Maybe.,"Ха, возможно."
line-95,饥饿的佣兵,我们为什么没有自己的书？这些被翻得卷了边的玩意儿......,Why don't we have books of our own? They flip through these things so much the edges are curled...,Почему у нас нет своих книг? Все эти затрепанные бумажки...
line-97,困倦的佣兵,搞不好真的有呢，听说巫妖不就是一群把自己关在图书馆里的神经病。关了很多很多年，从不露面。,"Maybe we do. Y'know you hear how the Liches are a bunch of nutjobs who hole themselves up in libraries. No one sees 'em for years and years, that's how long.","Да кто знает, может и есть. Слышал, личи — это кучка чокнутых, которые запираются в библиотеках. Сидят там годами, носа не кажут."
line-99,困倦的佣兵,不过我一点也不关心。有热汤喝最重要。,Not that my ass cares. Hot soup to drink means more than any of that.,"Но мне плевать. Главное, чтобы суп был горячим."
