ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,frostymisery17
__language__,,Language,en_US,ru_RU
char-1,近卫干员,近卫干员,Guard,Гвардеец
char-2,杜宾,杜宾,Dobermann,Доберман
char-3,临光,临光,Nearl,Нирл
char-4,医疗干员,医疗干员,Medic,Медик
char-5,阿米娅,阿米娅,Amiya,Амия
char-6,Ace,Ace,Ace,Эйс
,,,,
line-5,近卫干员,是我的错觉，还是天确实越来越暗了？,"Is it just me, or is the sky getting darker?","Это мне кажется, или на улице действительно становится темнее?"
line-7,杜宾,......我也希望是你的错觉。,...If only it was just you.,"...Я тоже надеюсь, что это твоё заблуждение."
line-8,杜宾,不过我们本来时间就不多。,We never had much time anyway.,"Впрочем, у нас и так мало времени."
line-13,杜宾,天灾云的形状比刚才黑压压的一片更加清晰了。,The shape of the Catastrophe cloud is more clearly defined than the black haze it was before.,"Очертания тучи, напоминающей катастрофу, стали более отчетливыми, чем та темная дымка, что была здесь только что."
line-14,杜宾,啧，裸眼看着它慢慢在头上凝聚显形，可不是什么好兆头。,Tsk. I don't like the feeling I get from watching it form over our heads. What a bad omen.,"Тц, наблюдать за тем, как оно медленно сгущается и принимает форму над головой невооруженным глазом, — недобрый знак."
line-21,杜宾,加上，下城区的每一条街道都可能埋伏着整合运动......,"To make things worse, Reunion goons might be lurking in every nook and cranny.","Более того, Воссоединение может скрываться на каждой улице Нижнего города..."
line-22,杜宾,不，这个说法太过保守了。,"Actually, that's probably too conservative.","Нет, это слишком консервативное утверждение."
line-24,临光,该说是，整合运动满满当当地挤在街上。,What you should've said is that they're probably partying on the streets.,"Следует отметить, что участники Воссоединения вышли на улицы в полном составе."
line-27,医疗干员,几乎每条街上都有暴徒在搞破坏，抢劫，焚毁交通工具和店铺......,"Almost every street is filled with destruction, violence and looting. Vehicles and buildings are being set on fire...","Практически на каждой улице они причиняют ущерб, грабят, поджигают автомобили и магазины..."
line-28,医疗干员,这帮家伙，是觉得天气太好，所以出来野餐集会吗！,But these thugs decide that it's the perfect weather for a picnic!,"Эти ребята, наверное, решили, что погода слишком хорошая, и поэтому устроили пикник!"
line-30,临光,现在跑出来野餐，一定会遭到天灾的无情摧残。,"If they're going out on a picnic now, it's the Catastrophe that will feast upon their bones.","Если сейчас выйти на природу, чтобы устроить пикник, то непременно пострадаешь от катастрофы."
line-31,临光,这说明大部分整合运动都是些被野蛮冲昏头脑的傻瓜。,This proves that most Reunion members are just fools who've been whipped into a frenzy.,"Это показывает, что большинство членов  Воссоединения — глупцы, ослеплённые яростью."
line-35,阿米娅,......,...,......
line-37,阿米娅,......噗。,...Pfft.,......Пфф.
line-39,医疗干员,他们不是真的要......野餐啦......,"Look, they're not really having a picnic...",Они же не собираются... устраивать пикник...
line-40,医疗干员,我，我只是发个牢骚，不是那个意思......,"I, I just wanted something to moan about. You didn't have to take me so seriously...","Я просто выплескивала эмоции, я не это имела в виду..."
line-42,临光,——,...,...
line-44,临光,这不是个形容吗？难道说这是个包袱？,"Oh, you weren't being serious？Wait, were you trying to crack a joke?","О, вы не всерьез? Подождите, вы хотели пошутить?"
line-46,临光,嗯......,Hmm...,Хмм...
line-47,临光,抱歉，总是在这种时候......,"Sorry, I'm not good with this stuff...","Извини, почему-то всегда так получается..."
line-49,医疗干员,唔唔唔......没，没事......,Umm... It's fine...,"Э-э... нет, ничего страшного..."
line-50,医疗干员,反而是憋笑有点难受......！,It's just that... trying not to laugh is hard...,"На самом деле, сдерживать смех довольно неловко...!"
line-51,医疗干员,唔，抱歉......明明是很紧要的时期，我却......,"Um, sorry... for trying to make a joke at such a serious time...","Э-э, прости... Хотя сейчас такой важный момент, а я..."
line-54,阿米娅,没关系的。,It's okay.,Все нормально.
line-55,阿米娅,我们不是为了让大家都哭丧着脸才建立起罗德岛的。,Rhodes Island wasn't founded for the sake of having everyone keep a serious face.,"Мы создали Родос Айленд не для того, чтобы все ходили с унылыми лицами."
line-56,阿米娅,罗德岛，本来就希望各位，都能绽放笑容。,We've always wanted everyone to be able to smile.,"Родос Айленд — это место, где мы искренне надеемся, что на лицах всех людей расцветут улыбки."
line-58,医疗干员,阿，阿米娅......,A-Amiya...,А-Амия...
line-60,阿米娅,没关系的，医生！,Don't worry about it!,"Всё в порядке, доктор!"
line-62,杜宾,那我们，就去为侦查工作贡献一份力量吧。,"In any case, let's help out with the scouting.","Ну что ж, давай тоже поможем с разведкой."
line-63,杜宾,四点钟方向的敌人，我会安静地处理掉。,I'll quietly dispatch the enemy at our four o'clock.,С врагом на четыре часа я разберусь незаметно.
line-64,杜宾,只要他们体内的病变器官不是什么警报器或爆炸物就行。,Hopefully their diseased organs won't explode or be rigged to serve as some kind of alarm.,"Главное, чтобы пораженные органы в их организме не были какими-то сигнальными или взрывными устройствами."
line-66,Ace,另一侧，游离于据点之外的大批整合运动，就交给我们吧。,We'll wrap around and take care of the large group on the other side of the fortification.,"А что касается многочисленных групп воссоединения, действующих за пределами опорного пункта, то оставьте это нам."
line-67,Ace,只要杂音够大，就没有人能分辨出里面究竟包含了什么声音。,"With this much chaos around us, nobody will notice a little more noise.","Если шум достаточно громкий, никто не сможет разобрать, какие именно звуки в нем содержатся."
line-69,杜宾,那么，各自行动起来！,"All right, let's move out!","Ну что ж, приступаем к делу!"
