ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,centurion_vendigo
__language__,,Language,en_US,ru_RU
char-1,镇定的女士,镇定的女士,Calm Lady,Спокойная женщина
char-2,谨慎的佣兵,谨慎的佣兵,Cautious Mercenary,Осторожный наёмник
char-3,疲惫的佣兵,疲惫的佣兵,Tired Mercenary,Усталый наёмник
char-4,终端里的声音,终端里的声音,Voice on the Terminal,Голос из терминала
char-5,广播声,广播声,Radio,Радиопередача
char-6,摩根,摩根,Morgan,Морган
char-7,维娜,维娜,Vina,Вина
char-8,戴菲恩,戴菲恩,Delphine,Дельфина
char-9,门外的声音,门外的声音,Voice Outside the Door,Голос за дверью
char-10,局促的议员,局促的议员,Uneasy MP,Встревоженный депутат
char-11,雍容的议员,雍容的议员,Graceful MP,Благородная депутатка
char-12,醉酒的议员,醉酒的议员,Drunken MP,Пьяный депутат
char-13,萨卡兹凶手,萨卡兹凶手,Sarkaz Assassin,Сарказ-убийца
char-14,长弩,长弩,Longshot,Арбалет
char-15,因陀罗,因陀罗,Indra,Индра
char-16,达格达,达格达,Dagda,Дагда
,,,,
line-11,,<p=1>伦蒂尼姆废弃工厂</><p=2>1098年12月8日 4:43 P.M. </>,"<p=1>Londinium, Abandoned Factory</><p=2>December 8th, 1098, 4:43 P.M.</>","Заброшенный завод в Лондиниуме. 8 декабря 1098 года, 16:43."
line-21,镇定的女士,G12区......看上去废弃了段时间，连编号都看不清......是这吗？,Section G12... All these linkage numbers have faded away since this place was abandoned... Is this it?,"Сектор G12... выглядит так, словно его давно забросили, даже номера не разглядеть... Мы на месте?"
line-22,镇定的女士,呼——千万别再撞上那些该死绝的魔族佬——,*phew* I'm praying I don't run into those damned devils again—,Фух... Только бы не наткнуться снова на этих проклятых сарказов...
line-29,谨慎的佣兵,女士，我想你迷路了。,"I think you're lost, lady.","Мисс, похоже, вы заблудились."
line-30,谨慎的佣兵,（喂，新来的，把她送走。顺便“温柔地”问问她怎么找到这的。）,"(Hey, new guy, get her out of here. And while you're at it, ask her <i>nicely</i> how she found this place.)","(Эй, новичок, проводи её. И по пути ""вежливо"" расспроси, как она вообще сюда попала.)"
line-31,谨慎的佣兵,（记住，这次把尾巴打扫干净。别让老大再发火。）,"(Remember, keep your tail clean this time. Don't make the boss mad.)","(Смотри, заметай следы. Не хочу, чтобы босс снова вышел из себя.)"
line-33,疲惫的佣兵,唉，你也听到了。跟我来，女士——,"You heard him, lady. Come with me—","Эх, вы сами всё слышали, мисс. Пройдёмте за мной."
line-46,镇定的女士,放开我的手！,Let go of me!,Убери от меня руки!
line-47,镇定的女士,你们连对女士的基本尊重都没有吗？,Is this any way to treat a lady?,"У вас что, совсем нет элементарного уважения к дамам?"
line-48,镇定的女士,米基·罗宾森，典范军的英雄......呃，“之一”，也就是我的先生，委托我来取药。,"Mickey Robinson, hero of the Exemplars... Or rather, <i>one of</i> the heroes, is my husband. He entrusted me to fetch some medicine.","Микки Робинсон, герой «образцовой армии»... ну, то есть «один из» героев, мой муж, поручил мне достать лекарство."
line-49,镇定的女士,缓、缓解那些可怕黑石子病的药。我先生快走不了路了......,Th-The medicine to dull the pain from those hideous black stones. He can hardly even walk...,О-от... лекарство от этой ужасной орипатии. Мой муж скоро совсем ходить не сможет...
line-54,疲惫的佣兵,呵，又一个倒霉蛋——,"Hah, yet another unlucky bugger—","Ха, ещё одна бедолага..."
line-56,谨慎的佣兵,闭嘴。,Shut it.,Заткнись.
line-60,谨慎的佣兵,听好了，我没听说过什么米基。,"Listen, I haven't heard of any Mickey.","Слушай сюда, я ничего не слышал о каком-то Микки."
line-61,谨慎的佣兵,这鬼地方你只能找到流浪者的过期致幻剂和死掉魔族佬的骨头棒子。,All you'll find in this blasted place are some bum's expired fun drugs and the dead devils' bones.,В этой чёртовой дыре ты найдешь только просроченные галлюциногены бродяг да кости дохлых сарказов.
line-63,镇定的女士,可——,But—,Но...
line-65,谨慎的佣兵,还有，想要治矿石病的药，去新建的疗养院里找，这事还是那位新任的议长大人承诺的。,"Anyways, if you want Oripathy meds, go look for that newly-built Sanatorium. The new Speaker lady promised it'd be stocked.","И вообще, если нужно лекарство от орипатии — иди в новый санаторий, это ведь сам новый председатель обещал."
line-67,镇定的女士,——等等，我们确实没有其他办法了，那里的药根本不够分。,"Wait, we really have no other choice. There's simply not enough medicine there.","— Подождите, у нас правда нет другого выхода, в санатории лекарств на всех не хватает."
line-68,镇定的女士,我知道这儿能拿到药，我丈夫他......,"I know I can get it here. My husband, he...","Я знаю, что здесь можно достать медикаменты, мой муж он..."
line-69,镇定的女士,听着，我存了些值钱玩意儿在一个很安全的地方，都是那个坎伯兰公爵府上的好东西，以前公爵阁下赏我们的。只要能拿到药——,"Listen, I have a few valuables stashed away somewhere safe, all from Cumberland Manor. The late duke gave them to us. If I could just get some medicine—","Послушайте, я припрятала кое-какие ценные вещи в надёжном месте. Это хорошие вещи из герцогского дома Камберлендов, которые когда-то нам подарили. Если только удастся получить лекарство..."
line-74,谨慎的佣兵,别引起外面巡逻的城防军注意。,Don't give a reason for the Defense Forces patrolling out there to come sniffing around here.,Не привлекай внимания городской стражи снаружи.
line-76,疲惫的佣兵,走吧，“女士”。,"Just go already, <i>lady.</i>","Пойдёмте, «мисс»."
