ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act11d0
__chapter__,,Chapter Name,activities/act11d0/level_act11d0_sub-1-1_end,三座巨像
,,,,
char-1,毕德曼,毕德曼,Biederman,Бидерман
char-2,塞弗林,塞弗林,Severin,Северин
char-3,？？？,？？？,???,???
char-4,镇民,镇民,Townsfolk,Горожанин
char-5,塔佳娜,塔佳娜,Tatjana,Татьяна
,,,,
line-8,,2:25 P.M.    天气/阴,2:25 P.M. \ Clear,14:25. Погода: пасмурно.
line-9,,莱塔尼亚境内，移动城镇沃伦姆德，议事厅临时客房,"Rathaus parlor, nomadic town Wolumonde, Leithanien","Лейтания, мобильный город Волуммонд, временные гостевые комнаты в ратуше."
line-14,,......该怎么办？,What can we do?,......Что же делать?
line-15,,谁能想到比起一座创造了无数经济价值的城镇，他们居然更看重一场婚礼？,Who could have thought they would value a wedding more than a town that has produced so much for them?,"Кто бы мог подумать, что свадьба для них важнее, чем целый город, приносящий огромную экономическую выгоду?"
line-16,,大裂谷的损失惨重，尽管避免了人员伤亡，但是沃伦姆德失去了四分之一的面积是板上钉钉的事实......,"The Great Rift caused tremendous damage, although we avoided any casualties. The fact that Wolumonde lost a full quarter of its land area is a concern...","Ущерб от разлома огромен. И хотя человеческих жертв удалось избежать, Волуммонд неоспоримо лишился четверти своей площади......"
line-17,,......我该怎么办？,What can we do?,......Что мне делать?
line-24,毕德曼,请进。,Come in.,Войдите.
line-29,塞弗林,......看起来，你的伤好多了。,Looks like your wounds have healed well.,"......Похоже, твои раны заживают."
line-31,毕德曼,......,......,......
line-33,塞弗林,别总是这么一副“我们全要完蛋”的表情，偶尔也该豁达一点。,Wipe that 'we're all going to die' look off your face. Keep an open mind for once.,"Перестань делать такое лицо, будто «мы все обречены». Иногда стоит смотреть на вещи проще."
line-34,塞弗林,你就安心待在这吧，议事厅的客房总不至于还有人敢来闹事。,You can stay here and rest. There's always room for someone to cause trouble in the Rathaus parlor.,"Отсидись здесь спокойно, в гостевые комнаты ратуши вряд ли кто-то рискнет заявиться с разборками."
line-36,毕德曼,我的家呢？,What of my home?,А что с моим домом?
line-38,塞弗林,......惨不忍睹。你不会想知道的。,It's bad. You don't want to know.,......Зрелище печальное. Тебе лучше не знать.
line-40,毕德曼,告诉我。,Tell me.,Расскажи мне.
line-42,塞弗林,门锁被撬了，里面被砸了个稀巴烂，除了你的保险柜基本没有什么东西是完好的。,The locks were broken. Everything inside smashed. Nothing intact but your safe.,"Замок на двери взломан, внутри всё разнесено в щепки. Почти ничего не уцелело, кроме твоего сейфа."
line-43,塞弗林,......当然，他们你没那么好心放过你的宝贝保险柜，他们只是没有成功，上面有高温加热的痕迹。,"Of course, it's not that they left it alone. They just couldn't break it. High temperature heat marks all over it.","......Конечно, у них не хватило доброты оставить твой драгоценный сейф в покое, просто вскрыть его не удалось. На нем остались следы высокотемпературного нагрева."
line-45,毕德曼,......随他们去吧。,Hope they enjoyed it.,......Пусть забирают.
line-47,塞弗林,稀奇，你对你的家很有感情？,Strange. Are you very attached to your home?,Удивительно. Ты так привязан к своему дому?
line-49,毕德曼,怎么也是住了些年的房子......不过对你们而言，我始终是个外人。,"How is it that I've lived in that house for years, but everyone still calls me 'outsider?'","Как-никак, я прожил там много лет...... Но для вас я всё равно остаюсь чужаком."
line-51,塞弗林,别这么说......作为一座商业城镇，沃伦姆德可不会那么排外。只不过......,It's not like that. We're a trade town. There's no xenophobia in Wolumonde. It's just...,"Не говори так...... Волуммонд — коммерческий город, мы не настолько ксенофобны. Просто......"
line-53,毕德曼,我烟味过敏。,I'm allergic to smoke.,У меня аллергия на запах табака.
line-55,塞弗林,啊，好。,"Oh, okay.","А, хорошо."
line-56,塞弗林,但听我一句劝，你暂时就不要随便上街了。这次只是皮外伤，下一次就不好说了。,But take my advice: don't show your face out there. It was just a flesh wound this time. But who knows what they have in store for you next.,"Но послушай моего совета: пока не выходи на улицы без надобности. В прошлый раз ты отделался царапинами, в следующий — никто не гарантирует безопасности."
line-57,塞弗林,你知道，现在沃伦姆德没有宪兵队驻扎，塔佳娜他们顶多算是民兵团，真出了事没人管得住。,You know there are no Gendarmerie stationed in Wolumonde right now. And Tatjana's men are only a militia at best. No one can control them if things really get out of hand.,"Знаешь, сейчас в Волуммонде нет гарнизона жандармерии, а Татьяна и её люди — это в лучшем случае ополчение. Если случится беда, никто их не удержит."
line-59,毕德曼,你也做了件蠢事，塞弗林。,"You made a stupid mistake too, Severin.","Ты тоже совершил глупость, Северин."
line-61,塞弗林,......我也不知道他们一场婚礼能办这么久啊。,I didn't know one wedding could go on for so long.,"......Я же не знал, что их свадьба затянется так надолго."
line-63,塞弗林,行了，好好休息，我就说这么多。,"All right, get some rest. That's all.","Ладно, отдыхай. Это всё, что я хотел сказать."
line-64,塞弗林,......责任不在你，我们都知道。,It's not your fault. We all know that.,"......Это не твоя вина, мы все это знаем."
line-66,毕德曼,天灾无法准确预测......,Catastrophes can't be accurately predicted...,Катастрофы нельзя предсказать с точностью......
line-68,塞弗林,人祸也是。,Neither can man-made tragedies.,Как и людские пороки.
line-69,塞弗林,好了，你就安心养伤吧。,"Alright, you feel better now.","Всё, лечись спокойно."
line-70,塞弗林,想想之后的事情。,Think about what comes next.,"Подумай о том, что будет дальше."
line-75,,之后的事情。,What comes next.,"То, что будет дальше."
line-76,,我已经预见到了之后的事情。,I can already guess what comes next.,"Я уже предвижу, что произойдет."
line-77,,大裂谷完美地封死了东南方向的全部航线，沃伦姆德只能向北方继续行进。,"The Great Rift perfectly sealed off all routes to the southeast, and Wolumonde could only push north.","Разлом полностью перерезал все маршруты на юго-восток, Волуммонд вынужден двигаться дальше на север."
line-78,,......如果不能及时和其他城镇建立救援协议，冬天来临，势必会出现饥荒。,"If the other towns can't provide help in time, winter will come, and we'll starve.","......Если не удастся заключить соглашения о помощи с другими городами, с приходом зимы начнется голод."
line-79,,饥荒......,Starve...,Голод......
line-80,,会死很多人，我......,"So many will die, I...","Погибнет много людей, я......"
line-86,,不，这不怪我。,"No, it's not my fault.","Нет, это не моя вина."
line-87,,......这不怪我。,This isn't my fault.,......Это не моя вина.
line-92,,七天后,Seven days later...,Семь дней спустя
line-96,？？？,喂~有人在吗？,Hello? Anyone there?,Эй~ кто-нибудь есть?
line-97,？？？,我听说沃伦姆德的天灾信使暂住在这里喔？有人吗？,I heard Wolumonde's Catastrophe Messenger is staying here? Anyone?,"Я слышала, курьер-посланник катастроф из Волуммонда остановился здесь? Кто-нибудь есть дома?"
line-99,,是没听过的声音，年轻女性。,It's a voice I've never heard before. A young lady.,"Незнакомый голос, молодая женщина."
line-100,,她知道我是天灾信使。,And she knows I'm a Catastrophe Messenger.,"Она знает, что я курьер-посланник."
line-101,,塞弗林说得对，我应该避免抛头露面才是。,Severin is right. I shouldn't show my face.,"Северин был прав, мне следовало избегать публичности."
line-102,,......所以，干脆装作不在好了。,So it's better if I just pretend I'm not here.,"......Пожалуй, лучше притвориться, что меня нет."
line-103,镇民,安托医生，毕德曼已经有很多天没有露过面了......,"Dr. Atro, Biederman hasn't been seen for days.","Доктор Анто, Бидерман уже несколько дней не показывался......"
line-104,？？？,哎，我们讲讲道理啊，那些家伙乱撒气把天灾信使揍了一顿，你让他怎么露面？,"That makes sense. After the way those people beat him like that, I wouldn't expect to see much of him either.","Эй, давай будем разумны. Те типы сорвали на нём злость и избили его, как ты хочешь, чтобы он показался?"
line-105,镇民,话、话是这么说......欸，等等，您要做什么......,"R- right... Say, what are you doing?","Э-это так, но...... Эй, постойте, вы что делаете......"
line-106,？？？,——把门踹开啊？,Kicking the door down?,— Выбиваю дверь!
line-107,镇民,欸？,Huh?,А?
line-109,,欸？,Huh?,А?
line-111,？？？,别看我样，我也是能徒手干掉源石虫的——！,"I may not look like much, but I can kill an Originium slug with my bare hands!","Не смотри на меня так, я тоже способна голыми руками прикончить ориджиниевого слизня—!"
line-112,？？？,毕德曼，你在的吧？抱歉我不太清楚房间内的布置，麻烦你离门远一点哦！,"Biederman, you're in there, aren't you? I don't know the layout of the room, but do step away from the door!","Бидерман, ты же там? Извини, я не очень представляю планировку комнаты, отойди, пожалуйста, от двери!"
line-113,？？？,躲不开的话，干脆防御吧！防御！双手交叉！,"If you can't avoid it, just block. Cross your arms!","Если не можешь увернуться, хотя бы защищайся! Защищайся! Скрести руки!"
line-114,？？？,嘿——！,Hyah!,Хэй——!
line-123,,......罗德岛干员，安托。,Rhodes Island Operator Atro.,"......Оператор Родос Айленд, Анто."
line-124,,她不由分说地找到我，为了寻求我的帮助。,"She came to me without a second thought, seeking my help.","Она нашла меня, не терпя возражений, в поисках моей помощи."
line-125,,我......我为什么要帮她？,Why... why should I help her?,Я...... зачем мне ей помогать?
line-126,,在一座铁定要玩完的城镇里开设临时诊所救治感染者，这有什么好处？,What good is it to have a makeshift clinic to treat the Infected in a doomed town?,"Открыть временную клинику в городе, который обречен, и лечить зараженных? Какая от этого польза?"
line-127,,对了......她是在利用我的愧疚心。不然她没有必要找上我这么一个犯了错的天灾信使。,Right... she's taking advantage of my guilt. She has no other use for a disgraced Catastrophe Messenger like me.,"Понял...... она использует мое чувство вины. Иначе ей незачем искать такого курьера, как я, который допустил ошибку."
line-128,,我......,I...,Я......
line-129,,我没有拒绝的理由，塞弗林暗示我，这是改善我和居民关系的机会。,I have no reason to refuse. And Severin makes it clear that this is an opportunity to improve my reputation with the townsfolk.,"У меня нет причин отказываться. Северин намекнул, что это шанс улучшить мои отношения с жителями."
line-130,,大概吧，我是这么和自己说的。,"I guess. At least, that's what I tell myself.","Наверное, так я себе и сказал."
line-131,,所以我去了。,So I go.,Поэтому я пошел.
line-136,,......不早了。,It's late.,......Уже поздно.
line-137,,我干嘛要工作得这么努力......,Why do I have to work so hard...?,Почему я так усердно работаю......
line-139,塔佳娜,啊......,Um...,А......
line-142,,......看吧。他们见到我还是一副见到瘟神的表情。,See? They still look at me like I'm a plague.,"......Смотри-ка. Они по-прежнему смотрят на меня так, будто я переносчик чумы."
line-144,塔佳娜,毕德曼......谢谢你帮了托尔和塞弗林伯父。,Biederman... Thank you for helping Thor and Uncle Severin.,"Бидерман...... спасибо, что помог Тору и господину Северину."
