ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
char-1,卡彭,卡彭,Capone,Капоне
char-2,甘比诺,甘比诺,Gambino,Гамбино
char-3,？？？,？？？,???,???
char-4,大帝,大帝,Emperor,Император
,,,,
line-9,,11:37 P.M.    天气/多云,11:37 P.M. \ Cloudy,23:37. Погода: облачно.
line-10,,龙门日落大道，某酒吧，靠后门边最后一张没擦干净的桌子,"Lungmen, Sunset Boulevard, a certain bar, the last unwiped table near the back","Лунмэнь, бульвар Заката, какой-то бар, самый дальний неопрятный столик у задней двери."
line-15,卡彭,黑桃J，同花顺，又是我赢了，甘比诺。,"Jack of Spades. Straight flush. I win again, Gambino.","Пиковый валет, флеш-рояль. Снова я победил, Гамбино."
line-20,甘比诺,是你赢了，但你藏牌的速度比我用脚趾还慢。,You win again. But you deal slower than I do with my toes.,"Ты победил, но твои руки медленнее, чем мои пальцы на ногах, когда ты жульничаешь."
line-23,卡彭,你又想赖账了吗？,You backin' out again?,Опять пытаешься увильнуть от оплаты?
line-25,甘比诺,给我闭嘴。,Shut up.,Заткнись.
line-27,卡彭,闭嘴？你昨晚怎么不知道闭嘴？那样能省不少事，真的。,Shut up? Wish you knew how to shut up last night. Coulda saved us a lotta trouble.,"Заткнуться? Почему ты не проявил такой сдержанности вчера вечером? Это бы избавило нас от многих проблем, поверь."
line-30,甘比诺,你在龙门待的有点久了，卡彭。也许你该回忆一下怎么和我说话，我才是首领。,"You been in Lungmen a long time, Capone. Maybe you need a reminder in how you talk to me, the boss.","Ты слишком долго задержался в Лунмэнье, Капоне. Может, тебе стоит вспомнить, как нужно разговаривать со мной? Я здесь босс."
line-32,卡彭,坐下，你这蠢货，叙拉古的生意越来越差就是因为你的好脾气。,"Sit down, you moron. It's thanks to that temper of yours that business in Siracusa's so lousy.","Сядь, идиот. Дела в Сиракузах идут всё хуже именно из-за твоего мягкотелого характера."
line-34,甘比诺,你在龙门待了七八年，除了学到几句龙门粗口，你又干了什么？眼睁睁看着我们的渠道越来越少？,"You been here seven or eight years, and what've you done besides learn some Lungmen swearings? You stood here and watched our channels dry up?","Ты пробыл в Лунмэне семь или восемь лет; кроме пары бранных словечек, чего ты добился? Просто сидишь и смотришь, как наши каналы сбыта тают на глазах?"
line-36,卡彭,至少昨天赢得了那位支持的人是我，而你，差点搅黄了我这么长久的努力。,I'm the one who got us a supporter last night. Try as you did to cock it up.,"По крайней мере, именно я вчера заручился поддержкой того человека, а ты едва не пустил насмарку все мои долгие усилия."
line-37,卡彭,还有，在龙门我们平起平坐，“首领”。,"And besides, here in Lungmen, you and me are equals, 'boss.'","И еще одно: в Лунмэне мы равны, «босс»."
line-39,甘比诺,鼠王在龙门搞的这一套，不都是叙拉古玩烂了的把戏？,"The way this Rat King runs the show here, ain't it just the old worn out Siracusan tricks?","То, что Крысиный Король проворачивает в Лунмэне — не те ли это фокусы, которые уже давно устарели в Сиракузах?"
line-41,卡彭,但是你把叙拉古的一手好牌打得稀烂。,If only you could play a good Siracusan hand worth a damn.,"Но ты умудрился профукать даже лучшие козыри, что у нас были в Сиракузах."
line-43,甘比诺,而你就是我手里最烂的一张牌。,Too bad you're the worst card in it.,А ты — худшая карта в моей колоде.
line-45,卡彭,我们会在龙门占据一席之地的。好好想想，一座疲惫不堪、暗流涌动的城市，这里会成为家族的下一个故土。,"We got a role to play in Lungmen. Think about it: we got a tired, broken down city with a rich underworld. It could be a new home for the Family.","Мы займем свое место в Лунмэне. Подумай сам: измученный, полный скрытых течений город. Он станет для Семьи новым домом."
line-47,甘比诺,只有叙拉古的土地会尊重我们，卡彭，别忘了被赶出那张桌子，夹着尾巴离开叙拉古的耻辱。,"Only Siracusa can truly respect us, Capone. Don't forget the shame of being driven out of our home with our tails between our legs.","Только земля Сиракуз будет уважать нас, Капоне. Не забывай о позоре, когда нас выгнали из-за того стола, и мы, поджав хвосты, сбежали из Сиракуз."
line-49,卡彭,信条喂不饱任何人。,You can't eat honor.,Кредо никого не накормит.
line-51,甘比诺,哼。,Hmph.,Хм.
line-53,卡彭,魏彦吾在这座城市定下了规则，只要不过界，我们依旧可以在这里大展拳脚，龙门需要一些“人情产业”。,"Wei Yenwu set some rules for this city. As long as we don't break 'em, we can run our rackets here just like before. Lungmen needs a little 'legitimate business.'","Вэй Яньву установил правила в этом городе. Пока мы не переходим черту, мы всё еще можем здесь развернуться — Лунмэню нужны «человеческие ресурсы»."
line-55,甘比诺,......有几年没见，你越来越让我感到厌倦了。,...I ain't seen you in years and I'm already gettin' sick of you.,"...Не виделись несколько лет, а ты раздражаешь меня всё больше."
line-57,卡彭,彼此彼此，首领。,"Same same, boss.","Взаимно, босс."
line-59,甘比诺,你——！,You...!,Ты...!
line-63,？？？,别在这里叭叭叭叭地吵架，这杯劣质气泡酒已经够让我烦躁的了，拿着玻璃瓶，去外面打一架如何？,"Can you not have your noisy lovers' quarrel in here? This lousy champagne's doin' enough to piss me off. Grab a bottle and take it outside, aight?","Прекратите этот бесконечный трёп. Меня уже воротит от этого дешевого игристого. Хватайте свои бутылки и валите драться на улицу, а?"
line-65,甘比诺,滚开，这不关你事。,Get outta here. This don't concern you.,"Проваливай, это не твое дело."
line-67,？？？,注意你的口气，我才是这里的老板。,Watch your tone. I'm the boss in here.,"Следи за языком, я здесь хозяин."
line-68,？？？,顺便提供殡葬一条龙包办，如果你俩有幸同归于尽，丧葬费打八折。,"We got a one-stop funeral service, if you're interested. 20% off if you both die together.","Кстати, предоставляю ритуальные услуги под ключ. Если вы, ребята, случайно друг друга прикончите — скидка на похороны 20%."
line-70,卡彭,喂......这家伙是......,Hey... ain't this guy...?,Эй... кто это такой...
line-72,甘比诺,......从叙拉古离开之后，这就是我们的境遇。没人还记得你是一个西西里人。,...This is what we get since we left Siracusa. Nobody knows you're Sicilian.,"...Вот что с нами стало после ухода из Сиракуз. Никто больше не помнит, что ты сицилиец."
line-74,？？？,谁管你是谁。,Who gives a shit who you are?,"Да кого вообще волнует, кто вы такие."
line-76,甘比诺,嘁！卡彭，炸掉这间品味令人作呕的酒吧，算不算美化市容？魏彦吾不会生气的吧。,"Yo, Capone, do me a favor and torch this tacky joint. Call it 'urban beautification.' Wei Yenwu'll thank us for tearin' down a tastelessly decorated rathole.","Черт! Капоне, если мы взорвем этот бар с отвратительным вкусом, будет ли это считаться благоустройством города? Вэй Яньву не рассердится, а?"
line-78,卡彭,闭嘴！别挑衅他！,Quiet! Don't provoke him!,Заткнись! Не провоцируй его!
line-80,？？？,啊？,Oh?,А?
line-88,大帝,你说谁的品味令人作呕？,Who you callin' 'tasteless?',"Ты сказал, у кого отвратительный вкус?"
