ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,neksi0762
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act9d0
__chapter__,,Chapter Name,activities/act9d0/level_act9d0_05_beg,龟裂
,,,,
char-1,萨卡兹佣兵领袖,萨卡兹佣兵领袖,Sarkaz Mercenary Leader,Лидер наемников Сарказов
char-2,伊内丝,伊内丝,Ines,Инес
char-3,Scout,Scout,Scout,Скаут
char-4,塔露拉？,塔露拉？,Talulah?,Талула?
char-5,赫德雷,赫德雷,Hoederer,Хёдерер
char-6,塔露拉,塔露拉,Talulah,Талула
,,,,
line-11,萨卡兹佣兵领袖,你......我对你有印象......同胞。我们在战场上见过面。,You... I've seen you somewhere before... comrade. We've met on the battlefield before.,Ты... я тебя где-то раньше видел... товарищ. Мы уже встречались на поле боя.
line-12,萨卡兹佣兵领袖,......唉，唉。你不该来切尔诺伯格，罗德岛的信息已经分发给了全队。你和你的部下都会死。,"...Hey, hey. You shouldn't have come to Chernobog. Everybody here has the intel on Rhodes Island. You're all going to die here.",...*Вздох*. Вам не стоило приходить в Чернобог. Информация о «Родос Айленд» уже разошлась по всем отрядам. Вы все погибнете здесь.
line-13,萨卡兹佣兵领袖,不过，即使你们如此优秀，还是不应该如此轻易地穿过W负责的防线，除非......,"But no matter how good you are, you shouldn't have been able to get through W's defensive line. Not unless...","Впрочем, даже будучи столь умелыми, вы не должны были так легко пройти сквозь линию обороны под командованием W, если только..."
line-14,萨卡兹佣兵领袖,这么说来，她还是做出了这个选择。其实我们都有预料到。,"By the looks of things, she ended up making that choice after all. In fact, we all expected it.","Значит, она все-таки сделала этот выбор. На самом деле, мы все этого ожидали."
line-15,,你们中有人曾和我们并肩作战。;这是我们还在战场上谈话的唯一理由。,"Some of you fought with us, side-by-side.;That's the only reason we're still exchanging words on the battlefield.","Некоторые из вас сражались с нами плечом к плечу; это единственная причина, по которой мы до сих пор говорим на поле боя."
line-18,萨卡兹佣兵领袖,......特蕾西娅是个卓越的领袖，她改变了很多人对这片大地的看法。,...Theresa was an exceptional leader. She changed the way many people see this patch of dirt.,"...Тереза была выдающимся лидером, она изменила то, как многие смотрели на эту землю."
line-19,萨卡兹佣兵领袖,理想化的看法。,But it was an idealized viewpoint.,Но это была идеализированная точка зрения.
line-20,萨卡兹佣兵领袖,不用急着反驳，我比你更清楚卡兹戴尔所面临的残酷，我并不想否定她，但比起一个伟大的过程，我只想要一个微不足道的结果。,"You don't need to argue with me. I know better than you the cruelty that Kazdel has faced, nor do I want to deny her. But for such a tremendous effort, I just want to see some semblance of results.","Не спеши спорить, я знаю о жестокости, с которой сталкивается Каздель, лучше тебя. Я не хочу отрицать её заслуги. Но за такие огромные усилия я просто хочу увидеть хоть какой-то результат."
line-21,萨卡兹佣兵领袖,只有如今摄政王的手腕能为萨卡兹带来新的未来，绝不是泛滥的善意。,Only by the Regent's hand can a new future come to Kazdel. There's not enough goodwill to go around for everyone.,"Только методы Регента могут принести Сарказам новое будущее, уж точно не безграничная доброта."
line-22,,我们本可以试着携手共进，至少不用同归于尽。,We could have tried to work together. Or at least so that we don't have to die together.,"Мы могли бы попробовать идти рука об руку, по крайней мере, нам не пришлось бы уничтожать друг друга."
line-25,萨卡兹佣兵领袖,愚蠢的想法，萨卡兹绵长的愤懑如何安放？长久以来的倾斜如何扶正？,A naive notion. How are we supposed to set aside our years of discontent as Sarkaz? How are we to right a long history of wrongs?,Глупые мысли. Как унять затяжную обиду Сарказов? Как исправить долгую историю несправедливости
line-26,萨卡兹佣兵领袖,未感染者，乌萨斯。感染者，整合运动。萨卡兹，卡兹戴尔。,Ursus and the uninfected. Reunion and the Infected. Kazdel and the Sarkaz.,Урсус и незаражённые. Воссоединение и Заражённые. Каздель и Сарказы.
line-27,萨卡兹佣兵领袖,都是一回事，与整合运动合作的日子里我更加确信了这件事。,It's all the same. I became more convinced of it during the time I spent working with Reunion.,Все одно и то же. За время сотрудничества с «Воссоединением» я убедился в этом еще больше.
line-28,萨卡兹佣兵领袖,摄政王殿下能为我们开拓一个新的家园，我只是选择追随这个可能性。,"His Royal Highness, the Regent, can open a new home for us, and I've chosen to chase this opportunity.","Его Высочество Регент сможет открыть для нас новый дом, я просто решил следовать за этой возможностью."
line-29,萨卡兹佣兵领袖,一如当年，你们天真地追随特蕾西娅。,"Just as in the past, you still naively cling to Theresa.","Так же, как вы когда-то наивно следовали за Терезой."
line-30,萨卡兹佣兵领袖,......好了。,...That's enough.,...Хорошо.
line-31,萨卡兹佣兵领袖,既然W把你放了进来，你一定也付出了代价。,"Since W decided to let you through, you must've also paid the price.","Раз уж W впустила тебя, ты наверняка заплатил свою цену."
line-32,萨卡兹佣兵领袖,你付出了什么呢？为了拖延时间掩护你而丧命的部下？甚至是......你自己？,What did you give up? An underling who died to buy you time? Or... maybe your own soul?,"Что ты отдал? Своих подчиненных, которые погибли, прикрывая тебя, чтобы выиграть время? Или даже... самого себя?"
line-33,,......,......,...
line-36,萨卡兹佣兵领袖,告诉我你现在的名字吧。,Tell me the name you go by now.,Скажи мне свое настоящее имя.
line-37,,——Scout。;雇佣兵不也都是用假名的吗，加尔森。,"—Scout.;Don't mercenaries also use codenames, Garcin?","— Скаут. Разве наемники не пользуются псевдонимами, Гарсон?"
line-40,萨卡兹佣兵领袖,很耳熟的代号，为表尊重，我本来是想把你的本名刻在这把刀上。,"It's been a while since I heard that name. Originally, I wanted to carve your name onto this knife as a show of respect.",Знакомый позывной. Из уважения я хотел выгравировать твое настоящее имя на этом клинке.
line-43,萨卡兹佣兵领袖,......你说得也对。,...But you're right.,...Но ты прав.
line-63,伊内丝,放弃抵抗吧。,Stop resisting.,Оставь попытки сопротивляться.
line-64,伊内丝,......还有你的十二位队员，已经被确认全灭了。,...The twelve other members of your team have been eliminated.,...И все двенадцать твоих бойцов уже подтверждены как полностью уничтоженные.
line-65,伊内丝,雷发，米米，图钉，死于整合运动术师的包围网正中，有一个是站着死的。,"Leafa, Mimi, and Thumbtack died after being surrounded by Reunion casters. One died on her feet.","Лифа, Мими, Тамбтэк, погибли в самом центре окружения заклинателей «Воссоединения», один из них погиб стоя."
line-66,伊内丝,小玛丽，长音，斯琳珂，长蝎占据了一处阵线，W亲自带队过去了。,"Mary, Macron, Slink, and Scorpion held a section that W broke with her own team.","Мэри, Макрон, Слинк, Скорпион удерживали рубеж, W лично возглавила атаку на них."
