ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act19side
__chapter__,,Chapter Name,activities/act19side/level_act19side_01_beg,特里蒙街道
,,,,
char-1,Mechanist,Mechanist,Mechanist,Механист
char-2,玛丽,玛丽,Mary,Мэри
char-3,莱茵防卫科成员,莱茵防卫科成员,Rhine Defense Member,Член службы охраны Rhine Lab
char-4,赫默,赫默,Silence,Хьюм
char-5,格雷伊,格雷伊,Greyy,Грей
char-6,桑尼,桑尼,Sonny,Санни
char-7,拓荒队成员,拓荒队成员,Pioneer Team Member,Член экспедиционного отряда
char-8,埃琳娜,埃琳娜,Elena,Элена
char-9,莱茵实验员,莱茵实验员,Rhine Lab Tech,Экспериментатор Rhine Lab
char-10,？？？,？？？,???,???
char-11,斐尔迪南,斐尔迪南,Ferdinand,Фердинанд
char-12,霍尔海雅,霍尔海雅,Ho'olheyak,Хольхая
,,,,
line-9,,3:56 P.M. 天气/阴,3:56 P.M. \ Overcast,15:56. Погода: пасмурно
line-10,,特里蒙主城区,Main District of Trimounts,Главный район Тримон
line-12,Mechanist,这是你第三遍浏览白面鸮的个人记录了，博士。,"This is the third time you've paged through Ptilopsis's personal log, Doctor.","Ты уже третий раз просматриваешь личные записи Белобоки, Доктор."
line-13,Mechanist,你有没有什么新发现？,Any new discoveries?,Удалось найти что-то новое?
line-16,,白面鸮的记录有着丰富的细节。;拓荒队领队受过良好教育。;埃琳娜的咖啡应该挺香的。,Ptilopsis keeps some detail-rich records.;Pioneer Team leader had a good education.;Elena's coffee ought to be pretty good.,Записи Белобоки содержат массу деталей. Лидер группы колонистов был хорошо образован. Кофе Элены должен был быть довольно ароматным.
line-19,Mechanist,白面鸮的脑部植入了某种特殊芯片。,Ptilopsis has a kind of special chip implanted in her brain.,В мозг Белобоки был имплантирован особый чип.
line-20,Mechanist,“九号装置”——梅尔这么称呼它。这应该是莱茵生命对这项技术的内部代号。,'Device #9'—Mayer calls it. Guessing that's Rhine Lab's internal codename for that tech.,"«Устройство №9» — так его называет Меер. Вероятно, это внутренний кодовый номер проекта Rhine Lab."
line-21,Mechanist,它直接连接着白面鸮的脑部神经，作为大脑的一部分正常运作着，同时也记录着她各个脑区神经活动的数据。,"It's plugged up there directly into her nervous system. Functions as a regular part of her mind, and logs data on neural activity in each region and lobe all the while.","Чип напрямую соединен с нервной системой Белобоки, функционируя как часть мозга и одновременно фиксируя данные о нейронной активности в различных отделах."
line-22,Mechanist,也就是说，你刚才看到的，就是白面鸮的视觉处理器——她的双眼记录的一切。,Which means you've just been looking at every last thing Ptilopsis's visual processors—her own two eyes—have been seeing.,"Другими словами, то, что ты только что видел — это визуальный процессор Белобоки, всё, что записывали её глаза."
line-26,Mechanist,哥伦比亚拓荒队的成员什么出身都有。,Columbia's Pioneer Team members come from all backgrounds.,В колумбийские экспедиционные отряды попадают самые разные люди.
line-27,Mechanist,对当前生活不满的年轻人，欠了债日子过不下去的中年夫妇，小偷小摸被抓住了又不想蹲大牢的罪犯——,"Youth dissatisfied with their lives, middle-aged couples drowning in debt, petty criminals who don't want to end up behind bars—","Молодежь, недовольная своей жизнью; супружеские пары среднего возраста, погрязшие в долгах; мелкие воришки, не желающие садиться в тюрьму —"
line-28,Mechanist,当然，还有无力支付高额保险费用，又不甘心被关在收治区的感染者。,"And of course, Infected powerless to cough up exorbitant insurance, who don't resign themselves to being shut away in quarantine zones for 'treatment.'","Ну и, конечно, зараженные, которые не в силах оплатить дорогую страховку и не желают гнить в карантинных зонах."
line-32,Mechanist,我还是对弗兰克斯使用的提神试剂更感兴趣。,"I'm more interested in the agrypnotic Franks has been using, personally.","Меня больше интересует стимулирующий реагент, который использовал Франкс."
line-33,Mechanist,下班之后的酒精是很美妙，但工作时喝那么多液体，也未免太容易打断思路了。,"I love a drink after work as much as the next, but all that fluid intake on the job's bound to cut up your train of thought.","Алкоголь после смены — это прекрасно, но потребление такого количества жидкостей во время работы только сбивает с мысли."
line-37,Mechanist,从白面鸮同步给我们的记录来看，除她之外，同为罗德岛合作干员、就职于莱茵生命能量科的埃琳娜......,"From the logs Ptilopsis keeps synchronized with us, we can tell that along with her, there's our other Rhodes Island-partnered operator, Elena in Rhine Lab's Energy Section...","Судя по записям, синхронизированным Белобокой, помимо неё, была похищена и Элена, оператор Родос Айленд, работающая в отделе энергетики Rhine Lab..."
line-38,Mechanist,连同莱茵生命源石技艺应用科主任多萝西·弗兰克斯，一起遭到了拓荒者的绑架。,"Along with Rhine Lab Originium Art Section's Director, Dorothy Franks. That's everyone caught up in this abduction by the Pioneers.","Вместе с ней похитили и Дороти Франкс, главу отдела прикладного искусства Ориниум в Rhine Lab."
line-39,Mechanist,而几乎与此同时，塞雷娅告诉我们，莱茵生命生态科主任缪尔赛思在发出紧急求援信息之后就失踪了，目前生死未卜。,"And practically simultaneously, Saria informed us Rhine Lab Ecological Section's Director Muelsyse went missing after she sent out an SOS, and there's no telling if she's currently alive or dead.","Почти в то же время Сария сообщила нам, что Мюльзис, глава отдела экологии Rhine Lab, пропала после отправки экстренного сигнала о помощи. Её состояние неизвестно."
line-42,,莱茵生命是不是出事了？;......;难道做研究也是高危工作？,Think there's an issue at Rhine Lab?;......;Are research jobs seriously this high-risk?,В Rhine Lab случилась беда? ... Неужели научные исследования — это такая опасная работа?
line-45,Mechanist,目前来看，是。,"At present, looks like it.","Судя по всему, да."
line-49,Mechanist,......,......,......
line-53,Mechanist,欢迎来到哥伦比亚。,Welcome to Columbia.,Добро пожаловать в Колумбию.
line-57,Mechanist,能让塞雷娅向罗德岛求助，莱茵生命目前很大几率已经陷入危机。,"Sky-high odds Rhine Lab is already in crisis, if things are pushing Saria to ask Rhodes Island for help.","Если Сария попросила о помощи Родос Айленд, значит, дела в Rhine Lab идут крайне плохо."
line-58,Mechanist,幸亏本舰就在附近，否则我们也很难迅速作出反应。,"Lucky the landship's nearby, or else we'd be hard-pressed to make an expeditious response.","Хорошо, что наш корабль был поблизости, иначе мы не смогли бы отреагировать так быстро."
line-59,Mechanist,虽然绑架事件发生在距离特里蒙城一百多公里的新基地，但凯尔希担心此事与先前被叫停的那些实验有关。,"The kidnapping's gone down at a new site about a hundred or so klicks out from Trimounts, but Kal'tsit's concerned this has something to do with the experiments that got shut down a while back.","Хотя похищение произошло на новой базе в ста километрах от Тримона, Кель'си беспокоится, что это связано с теми экспериментами, которые ранее были остановлены."
line-62,,那个基地是做什么的？;源石变异实验......;再介绍下特里蒙吧。,What do they do at that site?;Originium mutation experimentation...;Tell me some more about Trimounts.,Для чего нужна та база? Эксперименты с мутацией Ориниума... Расскажи еще о Тримоне.
line-65,Mechanist,对外资料显示，那是一个正在建设中的普通实验场所。,"The stuff they show to outsiders indicates it's your typical testing grounds, currently in the middle of construction.","Согласно официальным данным, это был обычный исследовательский центр на стадии строительства."
line-69,Mechanist,在进入特里蒙之前，凯尔希向我们开放了所有相关档案的权限。,Kal'tsit's cleared us to access all relevant files before we enter Trimounts.,"Перед тем как мы вошли в Тримон, Кель'си предоставила нам доступ ко всем соответствующим архивам."
line-73,Mechanist,这座城市是哥伦比亚的科学与技术中心。数百家科技公司将总部设在特里蒙。,The city's the beating heart of Columbian science and technology. Hundreds of tech companies are headquartered in Trimounts.,Этот город — научный и технологический центр Колумбии. Сотни технологических компаний разместили здесь свои штаб-квартиры.
line-77,Mechanist,“炎魔事件”“洛肯水箱”“伐木场”。,"The 'Diαbolic Crisis,' 'Loken Watertank,' the 'Lumberyard.'","«Инцидент с Ифритом», «Резервуар Локена», «Лесопилка»."
line-78,Mechanist,上述每一个名词都对应了一位我们罗德岛的干员，背后更是牵涉了数百个类似的实验。,"Each name means something to one of our Rhodes Island operators, and behind their fronts, ties to hundreds of similar experiments.",Каждый из этих терминов относится к одному из наших операторов Родос Айленд и скрывает за собой сотни подобных экспериментов.
line-79,Mechanist,这些实验大多涉及源石对生物细胞的变异作用，每一项都非常危险。,"Most of these experiments have involved Originium's mutative effects on living beings' cells, and each one has been incredibly dangerous.","Большинство из них связаны с мутагенным воздействием Ориниума на биологические клетки, и все они крайне опасны."
line-80,Mechanist,在哥伦比亚，大型科技公司比如莱茵生命往往并不直接参与类似具有高风险的实验。,"In Columbia, more often than not, tech giants like Rhine Lab aren't going to participate directly in such high-risk experiments.","Крупные технологические корпорации в Колумбии, такие как Rhine Lab, обычно не участвуют в подобных рискованных экспериментах напрямую."
line-81,Mechanist,他们会将实验委托给规模较小的机构，雇佣拓荒队，在城市边缘的荒地上建立相应的基地来完成实验工作。,"They'll have smaller-scale organizations carry them out on their behalf, hire a Pioneer Team, construct a suitable site out in the wasteland fringes of the city to execute their experimental work.","Они делегируют работу мелким организациям, нанимают группы колонистов и строят соответствующие базы на пустырях на окраинах городов."
line-82,Mechanist,此次事件中，白面鸮所在的359号基地就是其中一处。,"In this case, Ptilopsis is at Site 359, which is one of those.","База №359, где находилась Белобока — одна из них."
line-85,,我记得你过去的工作经历......;你是不是也在类似基地工作过？,I remember your previous work experience...;Have you done work at similar sites before?,Я помню о твоем прошлом... Ты тоже работал на похожей базе?
line-88,Mechanist,工作？我并不想把那段经历称作“工作”。,Work? I'm not gracing my time there with the word 'work.',Работал? Я бы не назвал тот период «работой».
line-89,Mechanist,那些大企业“剽窃”了我的创作，把它们应用到了不该应用的地方。,"Those megacorps 'plagiarized' what I created, and applied it all in places it wasn't meant to be.","Эти крупные корпорации «украли» мои наработки и применили их там, где не следовало."
line-90,Mechanist,看到五十米外的广告牌了吗？“沃尔沃特科钦斯基家用自动爆米花机，更快更甜更稳定。”,"See that billboard, about fifty meters out? 'Volvort Kochinski's Automatic Popcorn-a-Tron for the home—faster, sweeter, every time.'","Видишь рекламный щит в пятидесяти метрах? «Домашняя автоматическая попкорница Вольворт-Кочински: быстрее, вкуснее, стабильнее»."
line-91,Mechanist,它的能源核心原型草图还留在我的终端上。,I still have the prototype sketch for its energy core on my terminal.,Чертеж прототипа её энергетического ядра всё еще хранится в моем терминале.
line-92,Mechanist,最初它该用在荒地路面自动清理机内部，可是我的主管断定这款产品一定卖不出去。,"It was supposed to be used in automatic wasteland road-cleaners at first, but my manager decided it'd never sell as a product.","Изначально он должен был использоваться в автоматических машинах для расчистки путей в пустошах, но мой начальник решил, что такой продукт не продастся."
line-93,Mechanist,他说，哪家人力资源公司会愿意为拓荒者购买更好的装备？,"He says, what kind of HR company's spending on better equipment for Pioneers?",Он сказал: «Какая кадровая компания захочет покупать лучшее оборудование для колонистов?»
