ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,main_17
__chapter__,,Chapter Name,obt/main/level_spst_17-01,时间之后
,,,,
,,,,
line-9,,Dr.{@nickname}，还在挑选那些诗集吗？,Dr.{@nickname}，还在挑选那些诗集吗？,"Доктор {@nickname}, вы всё ещё выбираете сборники стихов?"
line-10,,没什么，我刚才想到了一首诗，也可以放入其中。,没什么，我刚才想到了一首诗，也可以放入其中。,"Ничего, я только что вспомнила стихотворение, которое тоже можно было бы включить в них."
line-11,,你想让我念给你听吗？,你想让我念给你听吗？,"Хотите, я прочитаю его вам?"
line-19,,倘若群星燃烧着关怀我们的激情，,倘若群星燃烧着关怀我们的激情，,"Коль страстью жгучей к нам горят светила,"
line-20,,\n\n我们却无法回报，我们作何感想？,\n\n我们却无法回报，我们作何感想？,А мы ответить им не в силах — как нам быть?
line-21,,\n\n现在我看群星，我却难以启齿，,\n\n现在我看群星，我却难以启齿，,"Смотрю на них, но не хватает силы,"
line-22,,\n\n说我成天思念一颗星星。,\n\n说我成天思念一颗星星。,"Признаться, что могу лишь ими бредить."
line-24,,倘若所有的星星消失或者消亡，,倘若所有的星星消失或者消亡，,"Когда ж исчезнут все они из виду,"
line-25,,\n\n我应该学会仰望空荡的天空，,\n\n我应该学会仰望空荡的天空，,"Я научусь смотреть на пустоту,"
line-26,,\n\n同时感受宇宙一片漆黑的崇高，,\n\n同时感受宇宙一片漆黑的崇高，,"Приняв вселенской тьмы величье,"
line-27,,\n\n虽然这样可能要花费一点时间。,\n\n虽然这样可能要花费一点时间。,Пусть это время и займет.
line-28,,\n\n......,\n\n......,...
line-36,,原来......这就是你一万年的旅程。,原来......这就是你一万年的旅程。,Так вот... каким было твое десятитысячелетнее путешествие.
line-37,,我该如何重新认识你，AMa-10......,我该如何重新认识你，AMa-10......,"Как мне заново узнать тебя, AMa-10..."
line-38,,或者说......凯尔希？,或者说......凯尔希？,"Или, вернее сказать... Кель'си?"
line-46,,你的行为对源石计划造成了不小的阻碍，但是跟着你的视线，或许是了解如今的泰拉文明最直接的方式。,你的行为对源石计划造成了不小的阻碍，但是跟着你的视线，或许是了解如今的泰拉文明最直接的方式。,"Твои действия создали немало препятствий для проекта «Ориджиниум», но наблюдение за твоим путем, пожалуй, самый прямой способ понять нынешнюю цивилизацию Терры."
line-47,,原来如此......,原来如此......,Вот оно что...
line-48,,PCS系统，保存者的维生舱，幸存的巨兽，破损的星门......那些破碎遗迹，竟然是以这种方式塑造了新生文明的样貌。,PCS系统，保存者的维生舱，幸存的巨兽，破损的星门......那些破碎遗迹，竟然是以这种方式塑造了新生文明的样貌。,"Система PCS, капсулы жизнеобеспечения для «Хранителей», выжившие Колоссы, разрушенные звездные врата... эти разрозненные руины на самом деле сформировали облик новой цивилизации таким образом."
line-49,,出人意料的结果，却因过于荒唐而显得有趣。,出人意料的结果，却因过于荒唐而显得有趣。,"Неожиданный результат, который кажется забавным из-за своей абсурдности."
line-50,,但最重要的是，源石改变了这些生命的样貌，也引导他们走上了与我们的文明相似的路。,但最重要的是，源石改变了这些生命的样貌，也引导他们走上了与我们的文明相似的路。,"Но самое главное — Ориджиниум изменил облик этих существ и направил их по пути, похожему на путь нашей цивилизации."
line-51,,Dr.{@nickname}，从塔卫二召唤来的生命火种是你自作主张的选择，这样的结果符合你的期待吗？,Dr.{@nickname}，从塔卫二召唤来的生命火种是你自作主张的选择，这样的结果符合你的期待吗？,"Доктор {@nickname}, семена жизни, призванные с Тари-2, были твоим своевольным решением. Отвечает ли этот результат твоим ожиданиям?"
line-59,,我看到了......,我看到了......,Я вижу...
line-60,,原始而远离危机的环境为生命保留了野蛮生长的空间，演化出了形态各异的文明，这是失落时代许久不曾见到的景象......,原始而远离危机的环境为生命保留了野蛮生长的空间，演化出了形态各异的文明，这是失落时代许久不曾见到的景象......,"Первобытная среда, далекая от кризисов, сохранила пространство для стихийного роста жизни, что привело к эволюции различных форм цивилизаций. Это зрелище, которое давно не доводилось видеть со времен эпохи утраты..."
line-61,,它的确令人感动，我并非无法理解。,它的确令人感动，我并非无法理解。,"Это действительно трогает, я не могу этого отрицать."
line-62,,可是，难道就仅此而已？,可是，难道就仅此而已？,Но неужели это всё?
line-70,,你曾经还记得的，我们经历过多少次被寄予厚望的计划在末日中灰飞烟灭，我们的同胞为了冲破终极的黑暗前赴后继地牺牲。,你曾经还记得的，我们经历过多少次被寄予厚望的计划在末日中灰飞烟灭，我们的同胞为了冲破终极的黑暗前赴后继地牺牲。,"Ты ведь помнишь, сколько раз планы, на которые возлагались огромные надежды, обращались в пепел перед лицом конца света, и как наши сородичи жертвовали собой, пытаясь прорваться сквозь окончательную тьму."
line-71,,所剩不多的希望被无休止地消磨，那是极度的残忍。,所剩不多的希望被无休止地消磨，那是极度的残忍。,Остатки надежды неумолимо истощались — это было верхом жестокости.
line-72,,相比之下，在这颗渺小的星球上，这个还会因语言和文化产生隔阂，因为政治而爆发战争的原始文明，如何能算得上“希望”？,相比之下，在这颗渺小的星球上，这个还会因语言和文化产生隔阂，因为政治而爆发战争的原始文明，如何能算得上“希望”？,"По сравнению с этим, как можно считать «надеждой» эту крошечную планету, где примитивная цивилизация все еще раздирается языковыми и культурными барьерами и вспыхивает войнами из-за политики?"
line-80,,我不明白，到底是什么说服了你......,我不明白，到底是什么说服了你......,"Я не понимаю, что именно тебя убедило..."
line-132,,原来......,原来......,Оказывается...
line-133,,在被文明荒废的漫长时间里，也有这些堪称伟大的时刻留下痕迹，如同那些迅速熄灭的恒星。,在被文明荒废的漫长时间里，也有这些堪称伟大的时刻留下痕迹，如同那些迅速熄灭的恒星。,"За долгое время запустения цивилизации остались следы этих великих моментов, подобно быстро угасающим звездам."
line-134,,多么难得啊，陆不再执着于她天真的计划，就连弗里斯顿也选择交出了希望。,多么难得啊，陆不再执着于她天真的计划，就连弗里斯顿也选择交出了希望。,"Как редко это случается: Лу больше не одержима своими наивными планами, даже Фристон решил отказаться от надежды."
line-135,,AMa-10，这就是你留恋的？,AMa-10，这就是你留恋的？,"AMa-10, это то, к чему ты привязалась?"
line-136,,原来这就是你的理由......Dr.{@nickname}。,原来这就是你的理由......Dr.{@nickname}。,Вот в чем была твоя причина... Доктор {@nickname}.
line-137,,只是因为你在他们的文明中，看到了与我们相似的挣扎？,只是因为你在他们的文明中，看到了与我们相似的挣扎？,"Только потому, что в их цивилизации ты увидел борьбу, похожую на нашу?"
line-146,,可是，这还不够，远远不够。,可是，这还不够，远远不够。,"Но этого недостаточно, совсем недостаточно."
line-147,,我理解你的情感，但这不足以让我为他们的存续让出空间。,我理解你的情感，但这不足以让我为他们的存续让出空间。,"Я понимаю твои чувства, но этого недостаточно, чтобы я уступила место их выживанию."
line-148,,我们的时间不多了，源石的生长还需要更多土壤与时间，而末日近在眼前。,我们的时间不多了，源石的生长还需要更多土壤与时间，而末日近在眼前。,"У нас осталось мало времени, росту Ориджиниума нужно больше почвы и времени, а конец света уже на пороге."
line-149,,如果......如果你相信他们最终能够揭开那道帷幕，那他们也理应能够跨过眼前这些不值一提的障碍，超过他们自身。,如果......如果你相信他们最终能够揭开那道帷幕，那他们也理应能够跨过眼前这些不值一提的障碍，超过他们自身。,"Если... если ты веришь, что они в конце концов смогут приоткрыть эту завесу, то они должны быть способны преодолеть эти незначительные препятствия перед собой и превзойти самих себя."
line-150,,尽管向我证明吧。,尽管向我证明吧。,Докажи мне это.
