ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
char-1,模糊的声音,模糊的声音,Distant Voice,Далёкий голос
char-2,？？？,？？？,???,???
char-3,医疗干员,医疗干员,Medic,Медик
char-4,阿米娅,阿米娅,Amiya,Амия
char-5,全副武装的男性,全副武装的男性,Heavily-Armed Man,Тяжеловоружённый мужчина
char-6,整合运动成员,整合运动成员,Reunion Member,Участник Воссоединения
char-7,近卫干员,近卫干员,Guard,Гвардеец
,,,,
line-2,,哦，是你。,"Ah, it's you.","О, это ты."
line-7,,离我们上一次见面，已经过去了很久。,It's been a long time since we've last seen each other.,Прошло много времени с нашей последней встречи.
line-8,,这段时间里......你一直徘徊在悬崖的边缘。,During this time... you've been teetering on the edge of a cliff.,Всё это время... ты бродил по самому краю пропасти.
line-11,,你可能已经忘记了你的身份，但你还记得那个名字，这就够了。,"You may have forgotten who you are, but just remembering your name is enough.","Возможно, ты и забыл, кто ты такой, но ты всё ещё помнишь это имя — и этого достаточно."
line-13,,——好了，别在这里逗留太久。,...It's time. Don't linger here for too long.,"— Что ж, не задерживайся здесь надолго."
line-14,,毕竟，你既不是我的客人，也不应该出现在这里。,"After all, you aren't my guest yet, nor should you even be here.","В конце концов, ты не мой гость, и тебе не следует здесь находиться."
line-15,,她需要你。,She still needs you.,Ты ей нужен.
line-18,,12月23日。,December 23rd.,23 декабря.
line-19,,你可能记不清这一天对你来说，究竟意味着什么。,You may not remember what this date means to you.,"Возможно, ты не помнишь, что именно этот день значит для тебя."
line-20,,这会让你陷入十分危险的处境。,And this will thrust you into peril.,Это поставит тебя в крайне опасное положение.
line-21,,......,......,...
line-24,,不。,No...,Нет.
line-25,,你必须想起来。,You must try to remember.,Ты должен вспомнить.
line-34,模糊的声音,......知觉......,...consciousness...,...чувства...
line-35,模糊的声音,开始循环............阻升主......停跳液注入完成......,Circulation resumed... vitals stabilized... cardioplegia solution injected...,...начинаем циркуляцию... прекратить подачу... введение кардиоплегического раствора завершено...
line-39,模糊的声音,......体温过低............海克塞米松20cc，静推。,"Body temperature low... administering Hexamethasone 20 c.c., now...","...гипотермия... 20 кубиков дексаметазона, внутривенно."
line-43,模糊的声音,止血钳！,Get the hemostat!,Зажим!
line-44,模糊的声音,......状态正常......开始切除......注意室颤......,...Conditions stable... beginning resection... be careful of VFib...,...состояние в норме... начинаем иссечение... следите за фибрилляцией желудочков...
line-47,模糊的声音,......抱歉......,...Sorry...,...прости...
line-48,模糊的声音,又让你受苦了。,For making you suffer again...,Тебе снова пришлось страдать.
line-66,？？？,......,......,...
line-67,？？？,博士......,Doctor...,Доктор...
line-69,？？？,.......手！,...hand!,...рука!
line-70,？？？,抓......紧！,Take my...,Держись... крепче!
line-71,？？？,抓紧我的手！！,Take my hand!!,Держись за мою руку!!
line-79,？？？,......,......,...
line-80,？？？,紧急......,Emergency...,Срочно...
line-81,？？？,......救......,...Help...,...спа...
line-82,？？？,......束了......！,...It's done...!,...кончено...!
line-89,？？？,博士，博士！,"Doctor, Doctor!","Доктор, Доктор!"
line-92,？？？,医生，博士他还好吗？,"Medic, how's Doctor doing?","Медик, с Доктором всё в порядке?"
line-93,？？？,刚才，刚才博士......明明已经拉住我的手了。,"But, just a moment ago... we were holding hands...",Только что... Доктор определённо сжал мою ладонь.
line-94,？？？,但是到现在，博士都没有清醒......怎么办......,So why... why is Doctor still not waking up...?,Но он всё ещё не пришёл в себя... Что же нам делать?..
line-96,医疗干员,阿米娅！别那么着急，稍微冷静点！,"Amiya! Don't panic, just calm down first!","Амия! Не спеши так, успокойся немного!"
line-98,阿米娅,啊......抱，抱歉。,Ah... S-sorry.,А... П-прости.
line-100,医疗干员,一遇到和博士有关的事情，你就变得慌慌张张的。,You always get so flustered when it comes to the doctor.,"Ты всегда начинаешь паниковать, когда дело касается Доктора."
line-101,医疗干员,只不过，阿米娅，如果博士还是.....你该怎么办？,"But, Amiya, if the worst came to pass... what would you do then?","Но всё же, Амия, а если Доктор всё ещё... что ты будешь делать?"
line-103,阿米娅,——我做好心理准备了。就像我们之前说的那样做。,...I'm already mentally prepared for that. We would continue to follow the plan.,"— Я морально готова. Мы поступим так, как договаривались."
line-105,医疗干员,......我知道了。就按你说的做。,"...I understand. Anyway, I'll do what you requested.","...Я поняла. Сделаю, как ты скажешь."
line-107,阿米娅,那就......拜托你了。,All right... I appreciate it.,Тогда... полагаюсь на тебя.
line-109,阿米娅,那博士......,About the Doctor...,Доктор...
line-111,医疗干员,放心吧阿米娅，博士的状况已经稳定了。,"Don't worry, Amiya. All the vital signs are stable now.","Не волнуйся, Амия, состояние Доктора стабилизировалось."
line-112,医疗干员,我再检查一次好了，包在我身上。,"I'll do one more inspection, just for you.","Я проверю ещё раз, предоставь это мне."
line-114,阿米娅,那就......拜托你了！,Thank you... Thank you very much!,Тогда... пожалуйста!
line-118,医疗干员,嗯。呼吸比较微弱，血压正常。应该不要紧的。,"Mhm. Breathing is slightly shallow, but blood pressure is normal. There should be no cause for concern.","Хм. Дыхание слабое, давление в норме. Всё должно быть в порядке."
line-125,阿米娅,——！,...!,—!
line-127,医疗干员,......,...,...
line-128,医疗干员,你醒了？,Are you awake?,Вы очнулись?
line-129,医疗干员,阿米娅，成功了，博士清醒了！,"Amiya, it's a success! The Doctor has woken up!","Амия, получилось! Доктор пришёл в себя!"
line-131,阿米娅,博士......？,Doctor...?,Доктор?..
line-132,阿米娅,太好了，太好了......博士......,I'm so happy... Doctor...,Я так рада... Доктор...
line-134,医疗干员,啊，小心！你现在还不能......,"Ah, careful! You mustn't do that...","А, осторожно! Вам ещё нельзя..."
line-139,医疗干员,先别动，你的身体还没有完全适应。,Don't try to move yet. Your body still hasn't fully adapted to this.,"Не двигайтесь пока, ваше тело ещё не до конца восстановилось."
line-141,阿米娅,博士......？,Doctor...?,Доктор?..
line-145,,你们......是谁？,Who... are you?,Кто... вы такие?
line-148,阿米娅,啊——博士——我......,"Ah, Doctor... It's me...",А — Доктор — я...
line-150,阿米娅,......,...,...
line-152,阿米娅,我叫阿米娅。,"It's me, Amiya.",Меня зовут Амия.
line-153,阿米娅,我们是来救你的。,We've come to rescue you.,Мы пришли спасти вас.
line-154,,......我是......？,...Who... am I...?,...А кто... я?..
line-157,阿米娅,你......,You...,Вы...
line-158,阿米娅,你和我们一样，也是“罗德岛”组织的一员。,"You're a member of Rhodes Island, just like us...","Вы, как и мы, член организации «Rhodes Island»."
line-159,阿米娅,......是我的同伴。,...as well as my partner.,...Мой компаньон.
line-160,阿米娅,——Dr.{@nickname}。,...Dr. {@nickname}.,— Доктор {@nickname}.
line-161,阿米娅,你是我，最重要的同伴。,You're the most important person to me.,Вы — мой самый важный компаньон.
line-162,阿米娅,博士......不记得了吗？,Doctor... you don't remember?,Доктор... вы не помните?
line-163,,......我真的能相信你吗？;......;是吗......初次见面，阿米娅。,"...Can I trust you?;...;I see... Pleased to meet you, Amiya.","...Я правда могу вам доверять?; ......; Вот как... Приятно познакомиться, Амия."
line-166,阿米娅,......,...,...
line-167,阿米娅,我知道。我知道这对于博士你来说很难接受。,I understand. I know this is a bit much to take in right now.,"Я знаю. Я понимаю, что вам, Доктор, сейчас трудно это принять."
line-168,阿米娅,我没有奢望你现在就能回忆起过去，也不会要求你现在就信任我。,"I don't expect you to remember everything right away, and I'm not asking you to trust me right now.","Я не смею надеяться, что вы сразу всё вспомните, и не требую, чтобы вы начали доверять мне прямо сейчас."
line-171,阿米娅,难道说，Dr.{@nickname}也不记得我了......,"Dr. {@nickname}, do you really not remember me at all...?",Неужели Доктор {@nickname} совсем меня не помнит...
line-172,阿米娅,......,...,...
line-173,阿米娅,就算是这样......我也不会放弃的。,Even if that's the case... I won't give up.,Но даже так... я не сдамся.
line-174,阿米娅,我们为了找到你，已经付出了很多很多......,"We've already sacrificed so much, just to find you...","Мы многим пожертвовали, чтобы найти вас..."
line-177,阿米娅,啊，你，你好。,"Ah, um, hello.","А, з-здравствуйте."
line-178,阿米娅,......,...,...
line-180,阿米娅,不，我不是......我不知道该怎么说......很多事情都不再是以前那样了。,"I, I don't know how to put this, but so many things have changed from before.","Нет, я не... Я не знаю, как сказать... Многое изменилось."
line-181,阿米娅,就连我，肯定也变得和过去不一样......,That includes me as well.,"Даже я, должно быть, стала другой..."
line-184,阿米娅,至少，对我来说，博士始终是我最重要的人。无论发生什么事，这一点是不会改变的。,"However, you'll always be the most important person to me, Doctor. No matter what happens, this will never change.","Но для меня Доктор всегда будет самым важным человеком. И что бы ни случилось, это не изменится."
line-185,阿米娅,所以，请你.....请你多给我一点时间。,"So that's why, please... give me a little more time.","Поэтому, пожалуйста... дайте мне немного времени."
line-186,阿米娅,哪怕只是一小段时间......,However little it might be...,Хотя бы совсем чуть-чуть...
line-187,,......,......,...
line-190,医疗干员,博士真的......失忆了吗？,Does the doctor... really have amnesia?,Доктор правда... потерял память?
line-192,阿米娅,......,...,...
line-193,阿米娅,没关系，如果，这样能给博士一点空间的话......,I'm sure everything will be fine if we give Doctor some space...,"Ничего, если это поможет Доктору прийти в себя..."
line-194,,这里到底是......,Where is this...,Где мы вообще находимся?..
line-196,阿米娅,这里——,It's safe here—,Здесь —
line-203,阿米娅,诶？发生了什————,Huh? What's happening—,Э? Что слу...
line-205,全副武装的男性,阿米娅，有情况！,"Amiya, we've got a problem!","Амия, у нас проблемы!"
line-207,全副武装的男性,有人闯进了设施！,Someone broke into the facility!,В комплекс кто-то ворвался!
line-219,全副武装的男性,他们的打扮......不是乌萨斯士兵！,The way they're dressed... they don't look like Ursus soldiers!,Они одеты... это не солдаты Урсуса!
line-223,整合运动成员,——————,...,——————
line-226,全副武装的男性,你们想干什么！,What's the meaning of this?!,Что вам нужно?!
line-233,全副武装的男性,敌袭！阿米娅，敌人装备了重火力兵器！,"They're attacking! Amiya, they're heavily equipped with weapons!","Вражеская атака! Амия, враги вооружены тяжёлым вооружением!"
line-240,医疗干员,唔唔唔唔！,Aaaahh!,Гх-х-х!
line-242,阿米娅,大家注意！利用掩体，保护好博士！,"Be careful, everyone! Take cover, and protect Doctor!","Внимание всем! Используйте укрытия, защищайте Доктора!"
line-243,阿米娅,这打扮难道是......整合运动？怎么会......,These outfits... are they from the Reunion Movement? But how is that possible...,Эта одежда... Неужели Воссоединение? Но как...
line-244,阿米娅,近卫人员......做好战斗准备！,"Guards, prepare for battle!",Оперативники ближнего боя... к бою!
line-246,近卫干员,明白！,Roger!,Вас понял!
