ID,Character,Original Text,Reference,Translation
__translator__,,Translator,,nep0num
__language__,,Language,en_US,ru_RU
__episode__,,Episode ID,,act19side
__chapter__,,Chapter Name,activities/act19side/level/act19side_sub-1-1,困心
,,,,
char-1,斐尔迪南,斐尔迪南,Ferdinand,Фердинанд
char-2,多萝西,多萝西,Dorothy,Дороти
,,,,
line-11,斐尔迪南,这是你想要的数据。,"Here, the data you asked for.","Вот данные, которые тебе нужны."
line-13,多萝西,谢谢你，斐尔迪南。没想到你会亲自来找我。,"Thanks, Ferdinand. I didn't think you'd hand it over personally.","Спасибо, Фердинанд. Не ожидала, что ты придешь лично."
line-15,斐尔迪南,多亏了你与政府部门斡旋，我们回收了洛肯水箱的大部分数据。这一点没必要让太多人知道。,"We were able to retrieve most of the Loken Watertank data thanks to you. The fewer that know about this, the better.",Благодаря твоему посредничеству в работе с государственными ведомствами мы смогли восстановить большую часть данных о «Резервуаре Локена». Незачем лишний раз об этом распространяться.
line-17,斐尔迪南,而且......我想了解下你需要这部分数据的原因。,And I'm curious as to why you wanted these data.,"И... я бы хотел узнать причину, по которой тебе понадобились эти данные."
line-19,多萝西,......,......,...
line-22,,她静静地看着面前的显示器，无比专注，甚至放轻了呼吸。,"She gazes at the monitor in front of her, so focused that even her breathing slows down.","Она молча смотрела на монитор перед собой с невероятной сосредоточенностью, даже дыхание затаила."
line-23,,屏幕上正在播放一段录像，录像的主角是一个白发女孩。,A video of a girl with white hair is playing.,"На экране воспроизводилась запись, главной героиней которой была беловолосая девочка."
line-24,,大部分时间里，女孩都在睡觉、进食，或者蜷缩在空房间里发呆。,"The girl spends most of her time sleeping, eating, or sitting in a corner with a blank look on her face.","Большую часть времени девочка просто спала, ела или сидела, съежившись, в пустой комнате."
line-25,,偶尔她会被领到实验室里，隔着一米多厚的隔离墙，将另一间实验室里的桌椅捏成废铁。,"From time to time, she is led into a lab, where she crushes furniture placed in a room separated by a 1-meter thick wall.","Иногда ее приводили в лабораторию, где через метр толстых изоляционных стен она превращала мебель в другой лаборатории в груду металлолома."
line-27,多萝西,真是个美丽的孩子。,What a beautiful child.,Какое красивое дитя.
line-29,斐尔迪南,你的语气让我想起洛肯·威廉姆斯。我以为只有疯子才会把受试者当成“杰作”到处炫耀。,You remind me of Loken Williams. I thought only madmen boast about their test subjects.,"Твой тон напоминает мне Локена Уильямса. Я думал, только безумцы могут выставлять своих подопытных напоказ, называя их «шедеврами»."
line-31,多萝西,我知道，许多人谴责他突破了道德底线。,"Sure, he's been accused of crossing a moral line.","Я знаю, многие осуждают его за нарушение моральных принципов."
line-33,斐尔迪南,道德？那是庸人为了躲避风险而给自己套上的枷锁。,Morals are shackles that the short-sighted impose upon themselves.,"Мораль? Это лишь оковы, которые обыватели надевают на себя, чтобы избежать риска."
line-35,斐尔迪南,科学本就是超脱常识的。以道德为标准去评价一个科学家，对他而言是莫大的侮辱。,Science has never been bound by common sense. There is no greater insult to a scientist than to be judged by moral standards.,Наука по своей сути выходит за рамки здравого смысла. Оценивать ученого с точки зрения морали — величайшее оскорбление для него.
line-37,斐尔迪南,威廉姆斯最大的问题在于，他被眼前无穷无尽的未知逼疯了，丧失了一个科学家应有的理性。,"Williams's problem was that he allowed the infinite unknown to get the better of his sanity, and he abandoned the logic and reason a scientist must grip.","Главная проблема Уильямса в том, что бесконечное неизвестное перед его глазами свело его с ума, лишив ученого положенной ему рациональности."
line-38,斐尔迪南,你可以看一眼最后那段录像，看看这个你口中的“美丽的孩子”是怎么把实验室变成天灾现场的——,See at the end of the video how your 'beautiful child' turned the lab into a nightmarish catastrophe.,"Можешь взглянуть на последнюю часть записи и увидеть, как этот «красивый ребенок», о котором ты говоришь, превратил лабораторию в зону бедствия —"
line-41,,屏幕上的画面发生了变化。,The monitor is showing a different image.,Картинка на экране изменилась.
line-42,,当时的监控器并未录下任何声音，可此起彼伏的悲鸣依然穿透了屏幕，冲击着数年之后的另一间实验室。,"There is no recorded sound, but the screams seem to pierce the screen and fill a lab from another time.","Тогдашние камеры наблюдения не записали ни звука, но непрекращающиеся крики все равно пронзали экран, проникая в другую лабораторию спустя много лет."
line-43,,再多坍塌的砖石都掩盖不掉那满地的血色。,The fallen debris does not hide the bloodstains.,Никакие груды рухнувших обломков не могли скрыть пролитую повсюду кровь.
line-45,多萝西,......,......,...
line-47,多萝西,这个孩子......她最后去哪了？,What happened to the girl?,Этот ребенок... куда она делась в конце концов?
line-49,斐尔迪南,与她有关的数据有明显的被篡改的痕迹。很显然，就和洛肯水箱的全部遗产一样，她对某些组织来说还有利用价值。,"Records pertaining to her have been tampered with. Like the other legacies of Loken Watertank, she has value to somebody, somewhere.","Данные о ней были явно изменены. Очевидно, как и все наследие «Резервуара Локена», она до сих пор представляет ценность для некоторых организаций."
line-51,多萝西,斐尔迪南，我想找到她。,I want to find her.,"Фердинанд, я хочу найти её."
line-53,斐尔迪南,......,......,...
line-55,斐尔迪南,我假定你并不是为了继续威廉姆斯的实验而去寻找这个受试者。,May I assume you're considering ending Williams's experiments?,"Полагаю, ты ищешь этого подопытного не для того, чтобы продолжить эксперименты Уильямса."
line-56,斐尔迪南,她太不可控了。莱茵生命无法承受如此巨大的风险。,She is too difficult to control. A risk Rhine Lab cannot afford.,Она слишком непредсказуема. Rhein Life не может позволить себе такой огромный риск.
line-58,多萝西,......她从来不是自愿地走进实验室。我不能提出这么残忍的要求。,She didn't volunteer to be a test subject. I can't ask something so cruel of her.,...Она никогда добровольно не шла в лабораторию. Я не могу требовать чего-то настолько жестокого.
line-60,斐尔迪南,难道你是想治愈她？,You want to heal her?,Неужели ты хочешь её исцелить?
line-62,斐尔迪南,我们都不是医生，但只要是看过了整个实验过程的人，就不该再抱着这样的妄想。,"We're not doctors, but anyone whose seen the experiments in their entirety should not harbor such delusions.","Мы не врачи, но любой, кто видел весь ход этого эксперимента, не должен питать подобных иллюзий."
line-64,多萝西,不，斐尔迪南。,"No, Ferdinand.","Нет, Фердинанд."
line-66,多萝西,我只是想找到她，然后......抱抱她。,All I want to do is find her... and give her a hug.,"Я просто хочу найти её, а потом... обнять."
line-68,斐尔迪南,抱......抱她？,A... a hug?,Об... обнять?
line-70,多萝西,这个孩子......她太孤独了。,The girl... she's all alone.,Этот ребенок... она так одинока.
line-71,多萝西,他们夺去了她的家人，又将她变得与所有人都不一样。,"They took her family from her, and made her something entirely different from all other people.",Они отняли у неё семью и сделали её непохожей на всех остальных.
line-73,多萝西,我忍不住想......她现在在哪里？,I can't help but think... where is she now?,Я не могу перестать думать... где она сейчас?
line-75,多萝西,她有没有认识新朋友，会不会遇上新的敌人？,Has she made new friends? Or new enemies?,"Нашла ли она новых друзей, не встретит ли она новых врагов?"
line-76,多萝西,我好想听听她的声音......,I want to hear her voice...,Мне бы очень хотелось услышать её голос...
line-78,多萝西,我改变不了她的过去，但我希望她至少还能拥有未来。,"I can't change her past, but the future may not be lost yet.","Я не могу изменить её прошлое, но я надеюсь, что у неё хотя бы будет будущее."
line-80,斐尔迪南,多萝西，你知道吗？你时常让我感到......捉摸不透。,"You know, Dorothy... I really have no idea what you're thinking at times.","Дороти, знаешь что? Ты часто заставляешь меня... недоумевать."
line-81,斐尔迪南,像你这样感情用事的科学家很少见。理性同样无法约束你，说不定哪一天，你会变得比威廉姆斯更加疯狂。,"Not many scientists are as sentimental as you are. You're not bound by logic or reason either. Perhaps, one day, your madness will put Williams's to shame...","Редко встретишь ученого, который так руководствуется эмоциями. Рациональность тебя тоже не сдерживает, кто знает, возможно, однажды ты станешь безумнее Уильямса."
line-83,多萝西,......疯狂吗？我曾无数次在梦中见过类似的情形。,"Madness? I've seen this in my dreams, many times.",...Безумнее? Я бесчисленное количество раз видела подобное в своих снах.
line-85,多萝西,这也是我很想找到这个孩子的原因。,That's why I want to find the girl.,Именно поэтому я так хочу найти этого ребенка.
line-87,多萝西,要是她还活着......要是有人能从这么悲惨的过去中拯救她......,If she's still alive... if anyone can save her from her past...,"Если она еще жива... если найдется кто-то, кто сможет спасти её из этого трагического прошлого..."
line-88,多萝西,那么我相信，假如有一天我当真疯了，也一定会有人来阻止我。,"Then maybe someone will be there to stop me, if I really do go over the edge.","Тогда я верю: если однажды я и правда сойду с ума, обязательно найдется кто-то, кто остановит и меня."
